phyname	dN	dNse	dS	dSse	dNdS	genea1	genea1mvld
Mvsl_MvDv_A1pair_1131.results.txt	0.85248	0.32154	79.66479	307.58198	0.0107008	MvSl-1064-A1-R4_MC01-1g01720	MvSlatifolia-1318-D-TG7-PbcR_C01g00025
Mvsl_MvDv_A1pair_1132.results.txt	0.51762	0.27344	71.75775	393.09458	0.00721344	MvSl-1064-A1-R4_MC01-1g01722	MvSlatifolia-1318-D-TG7-PbcR_C01g00026
Mvsl_MvDv_A1pair_1133.results.txt	1.19124	0.91141	12.18559	22.42001	0.0977581	MvSl-1064-A1-R4_MC01-1g01723	MvSlatifolia-1318-D-TG7-PbcR_C01g00027
Mvsl_MvDv_A1pair_1134.results.txt	0.00000	0.00000	0.00000	0.00000	0	MvSl-1064-A1-R4_MC01-1g01724	MvSlatifolia-1318-D-TG7-PbcR_C01g00028
Mvsl_MvDv_A1pair_1135.results.txt	1.49407	0.50960	47.12294	87.52078	0.0317058	MvSl-1064-A1-R4_MC01-1g01725	MvSlatifolia-1318-D-TG7-PbcR_C01g00030
Mvsl_MvDv_A1pair_1136.results.txt	23.03463	52.79486	8.70826	20.67216	2.64515	MvSl-1064-A1-R4_MC01-1g01726	MvSlatifolia-1318-D-TG7-PbcR_C01g00031
Mvsl_MvDv_A1pair_1138.results.txt	2.98150	2.28779	1.12765	1.44076	2.64399	MvSl-1064-A1-R4_MC01-1g01728	MvSlatifolia-1318-D-TG7-PbcR_C01g00033
Mvsl_MvDv_A1pair_1139.results.txt	1.20458	0.62171	2.51018	2.60124	0.479878	MvSl-1064-A1-R4_MC01-1g01729	MvSlatifolia-1318-D-TG7-PbcR_C01g00034
Mvsl_MvDv_A1pair_1140.results.txt	0.00000	0.03679	0.00000	0.07056	0	MvSl-1064-A1-R4_MC01-1g01730	MvSlatifolia-1318-D-TG7-PbcR_C01g00035
Mvsl_MvDv_A1pair_1141.results.txt	5.30280	8.17354	1.52092	2.57302	3.48657	MvSl-1064-A1-R4_MC01-1g01731	MvSlatifolia-1318-D-TG7-PbcR_C01g00036
Mvsl_MvDv_A1pair_1142.results.txt	0.00000	0.00000	0.00000	0.00000	0	MvSl-1064-A1-R4_MC01-1g01732	MvSlatifolia-1318-D-TG7-PbcR_C01g00037
Mvsl_MvDv_A1pair_1143.results.txt	0.00000	0.00114	0.00001	0.00000	0	MvSl-1064-A1-R4_MC01-1g01733	MvSlatifolia-1318-D-TG7-PbcR_C01g00038
Mvsl_MvDv_A1pair_1144.results.txt	0.00000	0.01263	0.00001	0.03077	0	MvSl-1064-A1-R4_MC01-1g01734	MvSlatifolia-1318-D-TG7-PbcR_C01g00039
Mvsl_MvDv_A1pair_1145.results.txt	0.00000	0.00006	0.00002	0.00000	0	MvSl-1064-A1-R4_MC01-1g01735	MvSlatifolia-1318-D-TG7-PbcR_C01g00040
Mvsl_MvDv_A1pair_1149.results.txt	0.00000	0.00092	0.00001	0.00000	0	MvSl-1064-A1-R4_MC01-1g01741	MvSlatifolia-1318-D-TG7-PbcR_C01g00046
Mvsl_MvDv_A1pair_115.results.txt	0.90847	0.40197	3.19469	3.62520	0.284369	MvSl-1064-A1-R4_A1g00149	MvSlatifolia-1318-D-TG7-PbcR_C03g03173
Mvsl_MvDv_A1pair_1150.results.txt	6.01168	7.96701	9.46783	23.76775	0.634959	MvSl-1064-A1-R4_MC01-1g01742	MvSlatifolia-1318-D-TG7-PbcR_C01g00047
Mvsl_MvDv_A1pair_1151.results.txt	3.26229	3.54106	3.17965	3.49199	1.02599	MvSl-1064-A1-R4_MC01-1g01743	MvSlatifolia-1318-D-TG7-PbcR_C01g00048
Mvsl_MvDv_A1pair_1152.results.txt	1.52350	0.58937	8.81399	16.99301	0.17285	MvSl-1064-A1-R4_MC01-1g01744	MvSlatifolia-1318-D-TG7-PbcR_C01g00049
Mvsl_MvDv_A1pair_1156.results.txt	0.00000	0.00000	0.00000	0.00000	0	MvSl-1064-A1-R4_MC01-1g01748	MvSlatifolia-1318-D-TG7-PbcR_C01g00054
Mvsl_MvDv_A1pair_1157.results.txt	1.72644	0.80625	5.82076	8.58503	0.2966	MvSl-1064-A1-R4_MC01-1g01751	MvSlatifolia-1318-D-TG7-PbcR_C01g00057
Mvsl_MvDv_A1pair_1160.results.txt	1.16901	0.42829	47.68588	330.35154	0.0245148	MvSl-1064-A1-R4_MC01-1g01754	MvSlatifolia-1318-D-TG7-PbcR_C01g00060
Mvsl_MvDv_A1pair_1161.results.txt	3.71457	3.02474	4.08467	5.30932	0.909393	MvSl-1064-A1-R4_MC01-1g01755	MvSlatifolia-1318-D-TG7-PbcR_C01g00061
Mvsl_MvDv_A1pair_1162.results.txt	1.67486	1.03460	0.01692	0.06554	98.987	MvSl-1064-A1-R4_MC01-1g01756	MvSlatifolia-1318-D-TG7-PbcR_C01g00062
Mvsl_MvDv_A1pair_1163.results.txt	0.04149	0.04236	0.00042	0.00302	98.7855	MvSl-1064-A1-R4_MC01-1g01757	MvSlatifolia-1318-D-TG7-PbcR_C01g00063
Mvsl_MvDv_A1pair_1164.results.txt	0.00000	0.00000	0.00001	0.00000	0	MvSl-1064-A1-R4_MC01-1g01760	MvSlatifolia-1318-D-TG7-PbcR_C01g00066
Mvsl_MvDv_A1pair_1166.results.txt	0.00001	0.00000	0.00000	0.00000	10000	MvSl-1064-A1-R4_MC01-1g01762	MvSlatifolia-1318-D-TG7-PbcR_C01g00068
Mvsl_MvDv_A1pair_1167.results.txt	0.89283	0.35904	2.23803	3.09968	0.398936	MvSl-1064-A1-R4_MC01-1g01763	MvSlatifolia-1318-D-TG7-PbcR_C01g00069
Mvsl_MvDv_A1pair_1169.results.txt	0.00000	0.00000	0.00001	0.00000	0	MvSl-1064-A1-R4_MC01-1g01766	MvSlatifolia-1318-D-TG7-PbcR_C01g00072
Mvsl_MvDv_A1pair_117.results.txt	0.00005	0.00000	0.05311	0.01044	0.000941442	MvSl-1064-A1-R4_A1g00151	MvSlatifolia-1318-D-TG7-PbcR_C03g03171
Mvsl_MvDv_A1pair_1170.results.txt	0.00000	0.00000	0.00001	0.00000	0	MvSl-1064-A1-R4_MC01-1g01767	MvSlatifolia-1318-D-TG7-PbcR_C01g00073
Mvsl_MvDv_A1pair_1171.results.txt	0.81207	0.31454	2.86064	2.47616	0.283877	MvSl-1064-A1-R4_MC01-1g01768	MvSlatifolia-1318-D-TG7-PbcR_C01g00074
Mvsl_MvDv_A1pair_1172.results.txt	0.00000	0.00000	0.00001	0.00000	0	MvSl-1064-A1-R4_MC01-1g01769	MvSlatifolia-1318-D-TG7-PbcR_C01g00075
