gene	chr	chrom	DE	expmean	dN	dNse	dS	dSse	dnds	haploid
MvSl-1064-A1-R4_A1g00958	faBlack	NRR	NON	7.09191	0.0029	0.00291	0.00003	0.00013	96.3455	A1
MvSl-1064-A1-R4_A1g00970	faBlack	NRR	Down	6.27788	0.00001	0	0.01046	0	0.000956014	A1
MvSl-1064-A1-R4_A1g00971	faBlack	NRR	NON	5.85832	0.00233	0.00234	0.00002	0.00015	115.92	A1
MvSl-1064-A1-R4_A1g00972	faBlack	NRR	Up	6.78475	0.00001	0.00022	0.01004	0.00972	0.000996006	A1
MvSl-1064-A1-R4_A1g00977	faBlack	NRR	NON	3.9466	0.00001	0.00024	0.00885	0.00942	0.00112993	A1
MvSl-1064-A1-R4_A1g00997	fBlue	NRR	Up	6.89267	0.00104	0.00104	0.00001	0.00002	102.97	A1
MvSl-1064-A1-R4_A1g00998	fBlue	NRR	NON	4.44409	0.00298	0.00298	0.00003	0.00018	99.0033	A1
MvSl-1064-A1-R4_A1g01017	gPurple	NRR	NON	8.34288	0.02385	0.00895	0.02346	0.00887	1.01662	A1
MvSl-1064-A1-R4_A1g01129	faBlack	NRR	NON	7.16336	0.00077	0.00077	0.00468	0.0027	0.164526	A1
MvSl-1064-A1-R4_A1g01136	faBlack	NRR	Up	4.57031	0.00822	0.00337	0.00576	0.00409	1.42706	A1
MvSl-1064-A1-R4_A1g01137	faBlack	NRR	Up	6.91238	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_A1g01159	fBlue	NRR	NON	6.87054	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_A1g01160	fBlue	NRR	NON	7.04855	0	0.00005	0.00002	0.00248	0	A1
MvSl-1064-A1-R4_A1g01162	fBlue	NRR	Down	-1.25634	0.00309	0.00355	0.00861	0.00994	0.358881	A1
MvSl-1064-A1-R4_A1g01164	faBlack	NRR	Up	5.97584	0.01891	0.00935	0.01453	0.01384	1.30144	A1
MvSl-1064-A1-R4_A1g01173	faBlack	NRR	NON	7.20324	0.0039	0.00393	0.01776	0.01267	0.219593	A1
MvSl-1064-A1-R4_A1g01184	faBlack	NRR	NON	7.08549	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_A1g01212	faBlack	NRR	Up	4.25857	0.00001	0	0.00587	0	0.00170355	A1
MvSl-1064-A1-R4_A1g01219	faBlack	NRR	NON	11.6253	0.00114	0.00109	0.00183	0.00174	0.622917	A1
MvSl-1064-A1-R4_A1g01227	gPurple	NRR	NON	7.6003	0	0.00015	0.00002	0	0	A1
MvSl-1064-A1-R4_A1g01228	faBlack	NRR	NON	3.36564	0.00537	0.0038	0.00598	0.00598	0.897978	A1
MvSl-1064-A1-R4_A1g01261	eOrange	NRR	Up	11.3493	0.00124	0.00087	0.00153	0.00152	0.810405	A1
MvSl-1064-A1-R4_A1g01271	faBlack	NRR	NON	8.03721	0.73258	0.12798	1.56575	0.70055	0.467878	A1
MvSl-1064-A1-R4_A1g01272	faBlack	NRR	NON	9.1595	0.16406	0.03915	0.25049	0.11647	0.654956	A1
MvSl-1064-A1-R4_A1g01347	faBlack	NRR	Down	6.26581	0.00208	0.00104	0.00002	0	103.483	A1
MvSl-1064-A1-R4_A1g01348	faBlack	NRR	NON	7.30728	0.00427	0.00214	0.00004	0.00018	106.484	A1
MvSl-1064-A1-R4_A1g01350	faBlack	NRR	NON	6.08116	0	0	0	0	0	A1
MvSl-1064-A1-R4_A1g01359	faBlack	NRR	Up	6.06904	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_A1g01366	faBlack	NRR	NON	6.3787	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_A1g01367	faBlack	NRR	NON	4.41408	0.00114	0.00099	0.0104	0.00577	0.109614	A1
MvSl-1064-A1-R4_A1g01368	faBlack	NRR	NON	6.1141	0.0009	0.00063	0.00261	0.00183	0.344814	A1
MvSl-1064-A1-R4_A1g01369	faBlack	NRR	NON	8.73697	0	0	0.00002	0.0014	0	A1
MvSl-1064-A1-R4_A1g01376	faBlack	NRR	Down	6.37736	0.00256	0.00192	0.01062	0.00805	0.241052	A1
MvSl-1064-A1-R4_A1g01384	faBlack	NRR	Up	8.18365	0.0008	0.00081	0.00001	0	79.2079	A1
MvSl-1064-A1-R4_A1g01385	faBlack	NRR	NON	4.91286	0	0	0.00431	0	0	A1
MvSl-1064-A1-R4_A1g01388	faBlack	NRR	NON	5.14593	0.0011	0.00111	0.00459	0.00468	0.239646	A1
MvSl-1064-A1-R4_A1g01392	faBlack	NRR	NON	5.70466	0.0031	0.00139	0.00548	0.00246	0.565683	A1
MvSl-1064-A1-R4_A1g01406	faBlack	NRR	NON	11.597	0.00112	0.00112	0.00001	0.00002	110.891	A1
MvSl-1064-A1-R4_A1g01407	faBlack	NRR	NON	6.94867	0.00667	0.00335	0.00013	0.00007	51.2683	A1
MvSl-1064-A1-R4_A1g01431	fBlue	NRR	NON	6.77971	0	0.00002	0.00002	0.0018	0	A1
