gene	rich1	rich2
MvSl-1064-A1-R4_A1g00215	264.247	500.699
MvSl-1064-A1-R4_A1g00216	51.2417	71.0426
MvSl-1064-A1-R4_A1g00217	545.722	719.572
MvSl-1064-A1-R4_A1g00218	27.7936	16.3546
MvSl-1064-A1-R4_A1g00219	129.548	129.56
MvSl-1064-A1-R4_A1g00220	20.8147	48.4183
MvSl-1064-A1-R4_A1g00221	7.19926	8.45898
MvSl-1064-A1-R4_A1g00222	34.0914	34.3051
MvSl-1064-A1-R4_A1g00223	7.60294	2.17841
MvSl-1064-A1-R4_A1g00224	7.45716	7.26866
MvSl-1064-A1-R4_A1g00225	0	0
MvSl-1064-A1-R4_A1g00226	6.26431	8.29773
MvSl-1064-A1-R4_A1g00227	214.225	346.181
MvSl-1064-A1-R4_A1g00228	266.446	322.027
MvSl-1064-A1-R4_A1g00229	0	0
MvSl-1064-A1-R4_A1g00230	1083	1710
MvSl-1064-A1-R4_A1g00231	1.07469	3.20679
MvSl-1064-A1-R4_A1g00232	65.2277	44.1095
MvSl-1064-A1-R4_A1g00233	20.2368	28.1886
MvSl-1064-A1-R4_A1g00234	34.5211	46.0681
MvSl-1064-A1-R4_A1g00235	1572.53	1756.2
MvSl-1064-A1-R4_A1g00236	4565.09	6781.21
MvSl-1064-A1-R4_A1g00237	186.776	118.836
MvSl-1064-A1-R4_A1g00238	2.05327	3.05704
MvSl-1064-A1-R4_A1g00239	206.122	373.413
MvSl-1064-A1-R4_A1g00240	262.018	295.162
MvSl-1064-A1-R4_A1g00241	2197	3043
MvSl-1064-A1-R4_A1g00242	1563	2397
MvSl-1064-A1-R4_A1g00243	22	25
MvSl-1064-A1-R4_A1g00244	20	15
MvSl-1064-A1-R4_A1g00245	1186	1953
MvSl-1064-A1-R4_A1g00246	1117	1634
MvSl-1064-A1-R4_A1g00247	76.7426	105.296
MvSl-1064-A1-R4_A1g00248	2340.23	3660.12
MvSl-1064-A1-R4_A1g00249	309.405	177.614
MvSl-1064-A1-R4_A1g00250	81.2713	47.9602
MvSl-1064-A1-R4_A1g00251	191.639	89.2334
MvSl-1064-A1-R4_A1g00252	410.64	203.61
MvSl-1064-A1-R4_A1g00253	519.479	343.938
MvSl-1064-A1-R4_A1g00254	611	616
MvSl-1064-A1-R4_A1g00255	168	369.739
MvSl-1064-A1-R4_A1g00256	511.971	361.099
MvSl-1064-A1-R4_A1g00257	2443.35	1584.8
MvSl-1064-A1-R4_A1g00258	0	0
MvSl-1064-A1-R4_A1g00259	0	0
MvSl-1064-A1-R4_A1g00260	312.841	301.938
MvSl-1064-A1-R4_A1g00261	0	0
MvSl-1064-A1-R4_A1g00262	3	8
MvSl-1064-A1-R4_A1g00263	1082.78	1108.4
MvSl-1064-A1-R4_A1g00264	14	2.2006e-07
MvSl-1064-A1-R4_A1g00265	69.847	44.8402
MvSl-1064-A1-R4_A1g00266	756.114	835.73
MvSl-1064-A1-R4_A1g00267	1	0
MvSl-1064-A1-R4_A1g00268	1	2
MvSl-1064-A1-R4_A1g00269	4653	5376
MvSl-1064-A1-R4_A1g00270	2448	2669
MvSl-1064-A1-R4_A1g00271	4.5516	11.7918
MvSl-1064-A1-R4_A1g00272	0.210201	1.77448
MvSl-1064-A1-R4_A1g00273	5.71019	12.8675
MvSl-1064-A1-R4_A1g00274	22.589	17.0915
MvSl-1064-A1-R4_A1g00275	37.6315	229.092
MvSl-1064-A1-R4_A1g00276	1	2
MvSl-1064-A1-R4_A1g00277	608	658
MvSl-1064-A1-R4_A1g00278	19.8596	11.7123
MvSl-1064-A1-R4_A1g00279	29.7403	28
MvSl-1064-A1-R4_A1g00280	2041	2496
MvSl-1064-A1-R4_A1g00281	1971	2038
MvSl-1064-A1-R4_A1g00282	0	0
MvSl-1064-A1-R4_A1g00283	55.4505	52.205
MvSl-1064-A1-R4_A1g00284	0	0
MvSl-1064-A1-R4_A1g00285	16.2788	26.2037
MvSl-1064-A1-R4_A1g00286	0	0
MvSl-1064-A1-R4_A1g00287	126.506	164.863
MvSl-1064-A1-R4_A1g00288	6.66952	7.49297
MvSl-1064-A1-R4_A1g00289	60.0842	54.3013
MvSl-1064-A1-R4_A1g00290	2402	3411
MvSl-1064-A1-R4_A1g00291	371.022	362.662
MvSl-1064-A1-R4_A1g00292	4021	5445
MvSl-1064-A1-R4_A1g00293	305.883	415.533
MvSl-1064-A1-R4_A1g00294	153.106	178.126
MvSl-1064-A1-R4_A1g00295	332	308
MvSl-1064-A1-R4_A1g00296	299.975	235.108
MvSl-1064-A1-R4_A1g00297	203.313	255.789
MvSl-1064-A1-R4_A1g00298	340.217	400.253
MvSl-1064-A1-R4_A1g00299	151.57	135.86
MvSl-1064-A1-R4_A1g00300	231.356	275.136
MvSl-1064-A1-R4_A1g00301	0	8.16303
MvSl-1064-A1-R4_A1g00302	6.4176	4.93611
MvSl-1064-A1-R4_A1g00303	0	0
MvSl-1064-A1-R4_A1g00304	0	0
MvSl-1064-A1-R4_A1g00305	903.664	399.45
MvSl-1064-A1-R4_A1g00306	1830	1045
MvSl-1064-A1-R4_A1g00307	2756	5000
MvSl-1064-A1-R4_A1g00308	462.077	790.376
MvSl-1064-A1-R4_A1g00309	0	0.0097858
MvSl-1064-A1-R4_A1g00310	1535.85	1597.06
MvSl-1064-A1-R4_A1g00311	3866	4777
MvSl-1064-A1-R4_A1g00312	2199	3149
MvSl-1064-A1-R4_A1g00313	2035.28	2503.6
MvSl-1064-A1-R4_A1g00314	43.3937	41.2236
MvSl-1064-A1-R4_A1g00315	10.3866	5.15092
MvSl-1064-A1-R4_A1g00316	154.408	138.594
MvSl-1064-A1-R4_A1g00317	174.194	339.998
MvSl-1064-A1-R4_A1g00318	45.401	69.8152
MvSl-1064-A1-R4_A1g00319	50.185	55.0887
MvSl-1064-A1-R4_A1g00320	10	13
MvSl-1064-A1-R4_A1g00321	290.599	389.134
MvSl-1064-A1-R4_A1g00322	133.299	121.037
MvSl-1064-A1-R4_A1g00323	3	9.52941
MvSl-1064-A1-R4_A1g00324	11.9264	16.2387
MvSl-1064-A1-R4_A1g00325	1	2
MvSl-1064-A1-R4_A1g00326	0	0
MvSl-1064-A1-R4_A1g00327	630	1183
MvSl-1064-A1-R4_A1g00328	360	545
MvSl-1064-A1-R4_A1g00329	231	300
MvSl-1064-A1-R4_A1g00330	183.055	312.728
MvSl-1064-A1-R4_A1g00331	146.254	168.951
MvSl-1064-A1-R4_A1g00332	5	3
MvSl-1064-A1-R4_A1g00333	2.02664	2.05589
MvSl-1064-A1-R4_A1g00334	283.834	622.405
MvSl-1064-A1-R4_A1g00335	254.099	149.67
MvSl-1064-A1-R4_A1g00336	1	2
MvSl-1064-A1-R4_A1g00337	0	0
MvSl-1064-A1-R4_A1g00338	2	3
