gene	water1	water2	rich1	rich2	di1	di2
MvSl-1064-A2-R4_MC01g02812	3036	3009	2798	2913	3059	3104
MvSl-1064-A2-R4_MC01g02813	875	924	1400	1192	1441	1693
MvSl-1064-A2-R4_MC01g02814	2846	2177	11144	9380	2972	2906
MvSl-1064-A2-R4_MC01g02815	906	855	1128	1290	1127	880
MvSl-1064-A2-R4_MC01g02816	35	44	119	292	22	23
MvSl-1064-A2-R4_MC01g02817	2723	2486	935	879	3014	2798
MvSl-1064-A2-R4_MC01g02818	492	378	327	410	394	345
MvSl-1064-A2-R4_MC01g02819	1077	859	2295	2592	1058	720
MvSl-1064-A2-R4_MC01g02820	5128	5250	5305	4170	6657	5737
MvSl-1064-A2-R4_MC01g02821	2141	1807	2404	2198	3414	3063
MvSl-1064-A2-R4_MC01g02822	329	387	388	233	563	257
MvSl-1064-A2-R4_MC01g02823	3260	3106	2379	2569	3472	3052
MvSl-1064-A2-R4_MC01g02824	1327	1195	2502	2471	1555	1349
MvSl-1064-A2-R4_MC01g02825	464	332	931	1013	455	413
MvSl-1064-A2-R4_MC01g02826	1729	1346	7566	7276	2080	1859
MvSl-1064-A2-R4_MC01g02827	1036	1133	487	546	2324	2496
MvSl-1064-A2-R4_MC01g02828	12590	15736	15357	11635	18062	20211
MvSl-1064-A2-R4_MC01g02829	17.1362	30	15.1739	8.29552	79.3275	53.1368
MvSl-1064-A2-R4_MC01g02830	0	10.5483	14.4624	12.0081	35.4326	37.6406
MvSl-1064-A2-R4_MC01g02831	0	0	0	0	0	3.96558
MvSl-1064-A2-R4_MC01g02832	1.00334	0	0	0	0	1.011
MvSl-1064-A2-R4_MC01g02833	181.368	200.275	96.0624	77.2075	174.195	162.022
MvSl-1064-A2-R4_MC01g02834	276.237	520.231	204.423	207.924	377.176	239.308
MvSl-1064-A2-R4_MC01g02835	1.1645	0	0	0	0	0
MvSl-1064-A2-R4_MC01g02836	3461	3674	3297	3692	4617	4065
MvSl-1064-A2-R4_MC01g02837	2950	2021	22482	15641	3182	2086
MvSl-1064-A2-R4_MC01g02838	1430	1312	3843	3840	2287	1958
MvSl-1064-A2-R4_MC01g02839	1448	1552	1442	1573	1478	1514
MvSl-1064-A2-R4_MC01g02840	5039	3015	32675	26034	5127	4124
MvSl-1064-A2-R4_MC01g02841	4659	4605	12811	11999	6517	5378
MvSl-1064-A2-R4_MC01g02842	617	491	3483	3104	630	474
MvSl-1064-A2-R4_MC01g02843	1017	903	936	973	1250	1083
MvSl-1064-A2-R4_MC01g02844	504.732	587.199	589.873	679.545	889.449	757.144
MvSl-1064-A2-R4_MC01g02845	2566	2168	8651	8075	4363	2823
MvSl-1064-A2-R4_MC01g02846	36	36	1	1	74	86
MvSl-1064-A2-R4_MC01g02847	222	154	217	162	2127	925
MvSl-1064-A2-R4_MC01g02848	762	754	1726	1552	1166	806
MvSl-1064-A2-R4_MC01g02849	194	176	689	918	364	265
MvSl-1064-A2-R4_MC01g02850	4073	2802	19536	15520	4166	3931
MvSl-1064-A2-R4_MC01g02851	2928	2589	5034	8115	11672	14547
MvSl-1064-A2-R4_MC01g02852	698	702	1206	1302	2597	2225
MvSl-1064-A2-R4_MC01g02853	915	838	3774	3191	1268	1226
MvSl-1064-A2-R4_MC01g02854	640	599	1761	1665	1130	997
MvSl-1064-A2-R4_MC01g02855	2889	2609	4673	4541	3337	3015
MvSl-1064-A2-R4_MC01g02856	1439.89	1524.31	1261.17	1161.74	1758.46	1298.61
MvSl-1064-A2-R4_MC01g02857	783	1154	659	762	1560	1418
MvSl-1064-A2-R4_MC01g02858	1404	1600	1019	1127	2329	2558
MvSl-1064-A2-R4_MC01g02859	467	644	898	1090	1522	1173
MvSl-1064-A2-R4_MC01g02860	4557	5376	7299	7945	5419	4324
MvSl-1064-A2-R4_MC01g02861	3057	2914	4345	4217	4163	4554
MvSl-1064-A2-R4_MC01g02862	13072	11979	2903	3745	13476	15544
MvSl-1064-A2-R4_MC01g02863	6332.14	6495.25	11885.9	7421.84	5488.79	5176.47
MvSl-1064-A2-R4_MC01g02864	455.381	397.024	6945.12	4080.82	255.333	267.12
MvSl-1064-A2-R4_MC01g02865	832	707	1397	1249	924	891
MvSl-1064-A2-R4_MC01g02866	20	16	383	442	17	19
MvSl-1064-A2-R4_MC01g02867	166	198	17	18	240	216
MvSl-1064-A2-R4_MC01g02868	4	22	5	2	8	5
MvSl-1064-A2-R4_MC01g02869	57.5856	79.9112	13.3594	11.5983	17.4089	17.4673
MvSl-1064-A2-R4_MC01g02870	0	3.86301	0	0	3.81462	0
MvSl-1064-A2-R4_MC01g02871	0	1.0486	2.08981	0	4.1831	2.04172
MvSl-1064-A2-R4_MC01g02872	1206	1495	2340	2473	1336	1207
MvSl-1064-A2-R4_MC01g02873	796	990	760	922	754	822
MvSl-1064-A2-R4_MC01g02874	822	1066	1209	1697	645	839
MvSl-1064-A2-R4_MC01g02875	14582	14096	6353	6690	8375	9306
MvSl-1064-A2-R4_MC01g02876	2	0	2	2	3	0
MvSl-1064-A2-R4_MC01g02877	2	8	3	0	0	3
MvSl-1064-A2-R4_MC01g02878	324	433	277	234	299	412
MvSl-1064-A2-R4_MC01g02879	205	233	244	177	174	335
MvSl-1064-A2-R4_MC01g02880	9.3457	19.933	22.7422	14.5849	20.5357	37.4692
MvSl-1064-A2-R4_MC01g02881	3263	2621	4854	4855	3791	3481
MvSl-1064-A2-R4_MC01g02882	313	311	6246	4805	415	457
MvSl-1064-A2-R4_MC01g02883	85	57	99	129	114	107
MvSl-1064-A2-R4_MC01g02884	2150	1961	2255	2611	3417	3717
MvSl-1064-A2-R4_MC01g02885	525	259	31	22	1045	1615
MvSl-1064-A2-R4_MC01g02886	50.1498	108	8	5	69.3119	130
MvSl-1064-A2-R4_MC01g02887	2	0	0	0	0	1
MvSl-1064-A2-R4_MC01g02888	2484.21	3482.35	1848.98	1869.68	3598.45	4152.6
MvSl-1064-A2-R4_MC01g02889	889	828	2519	2596	954	943
MvSl-1064-A2-R4_MC01g02890	5113.23	4055.69	3495.94	3562.85	3382.24	4812.34
MvSl-1064-A2-R4_MC01g02891	783	1044	2573	2137	2068	1638
MvSl-1064-A2-R4_MC01g02892	37	82	205	186	140	113
MvSl-1064-A2-R4_MC01g02893	1	1	2	2	2	0
MvSl-1064-A2-R4_MC01g02894	362.619	327.976	4711.91	2462.3	127.667	103.88
MvSl-1064-A2-R4_MC01g02895	4809.86	4818.75	15146.2	9309.48	4529.21	3611.53
MvSl-1064-A2-R4_MC01g02896	2760	2196	5040	6821	3543	2598
MvSl-1064-A2-R4_MC01g02897	1074	1000	2180	2009	858	1002
MvSl-1064-A2-R4_MC01g02898	3713	3976	2708	2579	4154	4308
MvSl-1064-A2-R4_MC01g02899	2841	2787	1438	1401	1624	3070
MvSl-1064-A2-R4_MC01g02900	3786	3524	3169	3112	4586	5333
MvSl-1064-A2-R4_MC01g02901	3	1	0	2	2	3
MvSl-1064-A2-R4_MC01g02902	2413	2255	2042	2015	2271	3227
MvSl-1064-A2-R4_MC01g02903	920.042	701.616	302.207	300.762	680.091	865.577
MvSl-1064-A2-R4_MC01g02904	1517	1701	3461	3415	2376	1946
MvSl-1064-A2-R4_MC01g02905	5429	4973	3262	2512	8776	5936
MvSl-1064-A2-R4_MC01g02906	1077	1075	2430	2480	1124	1053
MvSl-1064-A2-R4_MC01g02907	340	431	1247	1574	754	628
MvSl-1064-A2-R4_MC01g02908	1038	990	718	735	1305	1713
MvSl-1064-A2-R4_MC01g02909	1217.05	1239.52	1508.76	1338.89	1705.99	1668.86
MvSl-1064-A2-R4_MC01g02910	4662.7	5697.87	30339.7	36233.1	9227.98	9823.87
MvSl-1064-A2-R4_MC01g02911	0	5.2525	2.21304	3.2201	6.77174	3.38694
MvSl-1064-A2-R4_MC01g02912	1780	1957	1492	1528	2974	3018
MvSl-1064-A2-R4_MC01g02913	1176	1216	960	1050	1529	1574
MvSl-1064-A2-R4_MC01g02914	145	157	522	482	114	115
MvSl-1064-A2-R4_MC01g02915	4	7	7	10	2	1
MvSl-1064-A2-R4_MC01g02916	59.9016	80.9965	81.2737	91.4711	283.432	334.61
MvSl-1064-A2-R4_MC01g02917	89	115	564	739	88	66
MvSl-1064-A2-R4_MC01g02918	2563	2669	4800	4365	3458	3334
MvSl-1064-A2-R4_MC01g02919	42	50	7	7	7	11
MvSl-1064-A2-R4_MC01g02920	739	711	359	488	340	403
MvSl-1064-A2-R4_MC01g02921	0	3	10	10	1	1
MvSl-1064-A2-R4_MC01g02922	216	267	1273	1841	269	150
MvSl-1064-A2-R4_MC01g02923	2611	3344	849	948	3355	3051
MvSl-1064-A2-R4_MC01g02924	7718	10635	6339	6801	10695	10745
MvSl-1064-A2-R4_MC01g02925	1789	1493	3237	3012	1475	1627
MvSl-1064-A2-R4_MC01g02926	1535	1753	5380	5670	2270	1874
MvSl-1064-A2-R4_MC01g02927	1217	1221	946	974	915	1394
MvSl-1064-A2-R4_MC01g02928	903	1190	13	10	239	235
MvSl-1064-A2-R4_MC01g02929	1864	2693	19	11	225	244
MvSl-1064-A2-R4_MC01g02930	27486	41560	2421	2278	3820	2787
MvSl-1064-A2-R4_MC01g02931	4166	4356	7919	7516	4084	5310
MvSl-1064-A2-R4_MC01g02932	192	233	127	191	302	249
MvSl-1064-A2-R4_MC01g02933	1667.98	2861.2	1353.79	1216.12	1799.29	2518.65
MvSl-1064-A2-R4_MC01g02934	1	0	2	5	1	0
MvSl-1064-A2-R4_MC01g02935	188.341	201.413	69.3862	57.6448	208.646	279.619
MvSl-1064-A2-R4_MC01g02936	9.3478	23.6331	12.4649	7.58038	11.4837	17.7802
MvSl-1064-A2-R4_MC01g02937	1441	1225	1936	2361	3870	2602
MvSl-1064-A2-R4_MC01g02938	385	354	832	746	385	358
MvSl-1064-A2-R4_MC01g02939	7014	7048	16427	16883	9151	8607
MvSl-1064-A2-R4_MC01g02940	126	183	469	887	2320	2114
MvSl-1064-A2-R4_MC01g02941	683	615	1182	1090	700	607
MvSl-1064-A2-R4_MC01g02942	1003.39	1038	1038	1046	1054	919
MvSl-1064-A2-R4_MC01g02943	2809	2392	3771	3873	6507	6063
MvSl-1064-A2-R4_MC01g02944	953	1005	964	988	1033	1144
MvSl-1064-A2-R4_MC01g02945	403	383	183	251	301	198
MvSl-1064-A2-R4_MC01g02946	35	69	1	0	15	9
MvSl-1064-A2-R4_MC01g02947	9226	8809	3058	2909	14794	15018
MvSl-1064-A2-R4_MC01g02948	353.406	369.281	283.032	458.98	520.152	537.43
MvSl-1064-A2-R4_MC01g02949	1836	1977	164	430	2718	3609
MvSl-1064-A2-R4_MC01g02950	12	39	31	13	9	9
MvSl-1064-A2-R4_MC01g02951	2	0	7	3.26315	3.01721	0
MvSl-1064-A2-R4_MC01g02952	46	30	984	691	22	23
MvSl-1064-A2-R4_MC01g02953	881	860	930	949	1074	942
MvSl-1064-A2-R4_MC01g02954	438	410	690	639	581	575
MvSl-1064-A2-R4_MC01g02955	1816	1788	1433	1353	2401	2176
MvSl-1064-A2-R4_MC01g02956	2256	1889	1902	1981	2046	2459
MvSl-1064-A2-R4_MC01g02957	2233	2523	876	801	1825	2354
MvSl-1064-A2-R4_MC01g02958	201	175	219	221	193	148
MvSl-1064-A2-R4_MC01g02959	1830	1484	4953	4494	2047	2243
MvSl-1064-A2-R4_MC01g02960	1297	1688	2180	2425	3291	2484
MvSl-1064-A2-R4_MC01g02961	3800	3842	9126	9748	4493	4495
MvSl-1064-A2-R4_MC01g02962	39	50	13	4	37	29
MvSl-1064-A2-R4_MC01g02963	1006	1449	2644	2837	2944	1946
MvSl-1064-A2-R4_MC01g02964	5157	4893	2197	2205	7929	7313
MvSl-1064-A2-R4_MC01g02965	5982	5396	16517	13513	8622	9207
MvSl-1064-A2-R4_MC01g02966	1080	899	890	1058	519	1267
MvSl-1064-A2-R4_MC01g02967	374.175	344.245	315.287	383.643	364.944	354.284
MvSl-1064-A2-R4_MC01g02968	134.207	164.079	84.097	104.642	118.13	111.958
MvSl-1064-A2-R4_MC01g02969	309	324	434	515	262.184	275.485
MvSl-1064-A2-R4_MC01g02970	1391	1321	928	881	1761	2893
MvSl-1064-A2-R4_MC01g02971	1030	1098	1801	1984	1990	1733
MvSl-1064-A2-R4_MC01g02972	6307	5995	1432	1723	9708	9651
MvSl-1064-A2-R4_MC01g02973	4234	3715	1216	1286	4731	5345
MvSl-1064-A2-R4_MC01g02974	643	587	195	222	792	820
MvSl-1064-A2-R4_MC01g02975	2057	1873	3599	4332	1918	2463
MvSl-1064-A2-R4_MC01g02976	2446	2441	2662	2714	3713	4227
MvSl-1064-A2-R4_MC01g02977	4809	6032	7548	7792	7031	5225
MvSl-1064-A2-R4_MC01g02978	789	712	950	982	1126	1274
MvSl-1064-A2-R4_MC01g02979	140	169	255	298	264	165
MvSl-1064-A2-R4_MC01g02980	70	91	159	211	112	80
MvSl-1064-A2-R4_MC01g02981	1660	1388	1867	2163	1906	1553
MvSl-1064-A2-R4_MC01g02982	716	645	1786	2485	880	692
MvSl-1064-A2-R4_MC01g02983	1.5	2.59305	0	0.516507	0.5	1.57393
MvSl-1064-A2-R4_MC01g02984	1706	1581	2438	2992	2850	2941
MvSl-1064-A2-R4_MC01g02985	1061	1138	1270	1078	1245	1318
MvSl-1064-A2-R4_MC01g02986	1276	1147	1923	1793	1576	1434
MvSl-1064-A2-R4_MC01g02987	3211	3373	3353	3717	3816	3862
MvSl-1064-A2-R4_MC01g02988	802	1070	177	203	844	1040
MvSl-1064-A2-R4_MC01g02989	1.5	2.59305	0	0.516507	0.5	1.57393
MvSl-1064-A2-R4_MC01g02990	2	2	5	4	172	143
MvSl-1064-A2-R4_MC01g02991	2439	2376	2396	2403	3426	3947
MvSl-1064-A2-R4_MC01g02992	6347	6087	9621	9613	9719	8180
MvSl-1064-A2-R4_MC01g02993	3365	2940	8561	8810	11596	8334
MvSl-1064-A2-R4_MC01g02994	2798	2567	2659	2859	14491	13726
MvSl-1064-A2-R4_MC01g02995	2315	2290	4219	4025	9134	7071
MvSl-1064-A2-R4_MC01g02996	3628	2708	4667	4141	4034	3280
MvSl-1064-A2-R4_MC01g02997	313.47	337.961	152.497	165.809	434.777	447.539
MvSl-1064-A2-R4_MC01g02998	19.3354	25.6728	17.8953	6.80489	22.3038	34.6064
MvSl-1064-A2-R4_MC01g02999	120.601	169.221	33.2596	35.4148	137.958	216.329
MvSl-1064-A2-R4_MC01g03000	818	859	447	571	905	755
MvSl-1064-A2-R4_MC01g03001	1767	2118	840	1128	2457	2419
MvSl-1064-A2-R4_MC01g03002	3485	3348	5061	5360	3765	3418
MvSl-1064-A2-R4_MC01g03003	3114.06	2849	4712.63	5583.11	4290	3618.02
MvSl-1064-A2-R4_MC01g03004	5423	5667	7566	7211	7664	7555
MvSl-1064-A2-R4_MC01g03005	93.0005	127.708	27.9254	37.1724	88.8474	101.25
MvSl-1064-A2-R4_MC01g03006	23.3243	17.0314	4	5.02832	23.4225	23.5462
MvSl-1064-A2-R4_MC01g03007	729.133	874.56	275.504	312.941	567.172	628.523
MvSl-1064-A2-R4_MC01g03008	26.0636	28.3002	22.3442	15.6334	5.8049	10.2753
MvSl-1064-A2-R4_MC01g03009	68.1794	91.0668	40.0664	46.3684	94.483	104.306
MvSl-1064-A2-R4_MC01g03010	12.4801	13.3624	25.7724	22.267	13.5211	11.743
MvSl-1064-A2-R4_MC01g03011	211.619	222.889	408.148	353.15	301.704	346.065
MvSl-1064-A2-R4_MC01g03012	751.824	787.621	538.098	498.902	1955.07	2166.58
MvSl-1064-A2-R4_MC01g03013	2676	2903	3168	3040	3579	3206
MvSl-1064-A2-R4_MC01g03014	440	503	712	652	897	688
MvSl-1064-A2-R4_MC01g03015	180	184	708	692	576	521
MvSl-1064-A2-R4_MC01g03016	740	700.675	1601.99	1591	1248	1065.91
MvSl-1064-A2-R4_MC01g03017	20.0767	31.9522	12.3917	19	44.6158	29.4906
MvSl-1064-A2-R4_MC01g03018	52.1687	60.6476	36.5457	48.9315	161.556	218.271
MvSl-1064-A2-R4_MC01g03019	120	153	88	120	401	483
MvSl-1064-A2-R4_MC01g03020	104.168	136.69	158.191	198.593	219.386	180.614
MvSl-1064-A2-R4_MC01g03021	11370.8	11225.9	24673.6	27098.4	17715.4	13025.6
MvSl-1064-A2-R4_MC01g03022	1896	1849	2925	3170	2594	2225
MvSl-1064-A2-R4_MC01g03023	5312	6166	5063	5744	6330	5405
MvSl-1064-A2-R4_MC01g03024	211.619	222.889	408.148	353.15	301.704	346.065
MvSl-1064-A2-R4_MC01g03025	12.4801	13.3624	25.7724	22.267	13.5211	11.743
MvSl-1064-A2-R4_MC01g03026	525.427	693.043	223.07	211.147	626.011	722.684
MvSl-1064-A2-R4_MC01g03027	406.233	456.319	334.12	429.801	493.652	430.563
MvSl-1064-A2-R4_MC01g03028	0	0.5	1.01367	0	0	0.503369
MvSl-1064-A2-R4_MC01g03029	0	0	0	0	0	0
MvSl-1064-A2-R4_MC01g03030	4	4	4	0	3.08053	0
MvSl-1064-A2-R4_MC01g03031	13105	10739	43032	41731	15477	16048
MvSl-1064-A2-R4_MC01g03032	552	661	341	419	2014	1105
MvSl-1064-A2-R4_MC01g03033	174.71	193.361	128.822	105.524	347.288	235.584
MvSl-1064-A2-R4_MC01g03034	1845	2347	579	493	1426	1517
MvSl-1064-A2-R4_MC01g03035	253.872	360.852	114.818	105.84	102.413	185.017
MvSl-1064-A2-R4_MC01g03036	6643.68	6685.48	1496.28	1573.32	2360.76	4375.83
MvSl-1064-A2-R4_MC01g03037	0	3	1	0	1	0
MvSl-1064-A2-R4_MC01g03038	1092.19	1208.82	1204.61	1180.34	2004.32	1957.37
MvSl-1064-A2-R4_MC01g03039	44.4233	76.0215	68.7286	63.0783	82.1892	49.4845
MvSl-1064-A2-R4_MC01g03040	28	67	57	63	92	48
MvSl-1064-A2-R4_MC01g03041	154	197	171	146	256.113	169
MvSl-1064-A2-R4_MC01g03042	606.129	580.581	486.278	428.205	764.529	695.398
MvSl-1064-A2-R4_MC01g03043	219.782	299.48	334.882	203.783	257.065	320.914
MvSl-1064-A2-R4_MC01g03044	2900	3150	2255	3677	7934	8458
MvSl-1064-A2-R4_MC01g03045	12856	11006	11065	8243	2986	1825
MvSl-1064-A2-R4_MC01g03046	7313	8778	2728	2366	4625	4632
MvSl-1064-A2-R4_MC01g03047	953	934	1488	1533	1519	926
MvSl-1064-A2-R4_MC01g03048	2557	2575	4292	4161	3497	3358
MvSl-1064-A2-R4_MC01g03049	5815	6562	1985	2072	5478	4388
MvSl-1064-A2-R4_MC01g03050	1409	1108	3390	3206	1722	1623
MvSl-1064-A2-R4_MC01g03051	415.623	515.522	271.878	288.937	338.844	452.065
MvSl-1064-A2-R4_MC01g03052	959	969	2945	3318	1822	1344
MvSl-1064-A2-R4_MC01g03053	911	990	300	328	1219	1072
MvSl-1064-A2-R4_MC01g03054	4011	3130	3770	3426	3144	4527
MvSl-1064-A2-R4_MC01g03055	3.48966	5.61852	1.03313	2	3.79155	2.39158
MvSl-1064-A2-R4_MC01g03056	4.1611	2.03949	2.1432	1.07522	5.38415	2.05749
MvSl-1064-A2-R4_MC01g03057	509	543	287	230	578	500
MvSl-1064-A2-R4_MC01g03058	2117	2886	3153	3844	3312	2409
MvSl-1064-A2-R4_MC01g03059	90	125	89	95	90	93
MvSl-1064-A2-R4_MC01g03060	2	1.00822	1	1	16.5567	4.31314
MvSl-1064-A2-R4_MC01g03061	1617.6	1609.56	237.678	207.625	1479.97	1158.99
MvSl-1064-A2-R4_MC01g03062	265	311	192	249	369	248
MvSl-1064-A2-R4_MC01g03063	621	570	448	482	711	666
MvSl-1064-A2-R4_MC01g03064	1834	1810	2595	2267	1785	1531
MvSl-1064-A2-R4_MC01g03065	693	623	1911	2388	1144	943
MvSl-1064-A2-R4_MC01g03066	0	0	1	0	7.35034	15
MvSl-1064-A2-R4_MC01g03067	107.6	54.8557	295.797	300.191	116.526	155.946
MvSl-1064-A2-R4_MC01g03068	1128	1270	3267	3208	2390	2113
MvSl-1064-A2-R4_MC01g03069	45.7067	92.7648	158.828	181.324	86.2254	81.1883
MvSl-1064-A2-R4_MC01g03070	1398.78	1962.78	1531.12	1517.4	1732.33	1462.76
MvSl-1064-A2-R4_MC01g03071	0	1.18489	2.05978	1.08482	104.371	137.843
MvSl-1064-A2-R4_MC01g03072	2	0	3	1	2	7
MvSl-1064-A2-R4_MC01g03073	890	817	1456	2338	790	751
MvSl-1064-A2-R4_MC01g03074	6460	5325	2377	2488	5033	8755
MvSl-1064-A2-R4_MC01g03075	6242	6223	5041	5256	6285	6311
MvSl-1064-A2-R4_MC01g03076	1897	1827	2371	2255	2000	1873
MvSl-1064-A2-R4_MC01g03077	1697	1649	2187	2219	2091	2102
MvSl-1064-A2-R4_MC01g03078	241.379	249.516	111.683	80.2102	309.966	241.905
MvSl-1064-A2-R4_MC01g03079	127.569	83.9089	69.9836	57.5926	90.6986	84.3205
MvSl-1064-A2-R4_MC01g03080	115.421	96.4378	227.471	182.569	93.3405	66.6858
MvSl-1064-A2-R4_MC01g03081	4023.19	3903.65	6084.9	5693.53	4479.16	4877.76
MvSl-1064-A2-R4_MC01g03082	3844	4543	8205	9829	4196	2828
MvSl-1064-A2-R4_MC01g03083	402	319	1640	1966	616	410
MvSl-1064-A2-R4_MC01g03084	2495	2631	6790	6748	3824	3917
MvSl-1064-A2-R4_MC01g03085	4733	4055	7382	7501	5083	6072
MvSl-1064-A2-R4_MC01g03086	1.80714	0.660154	4.95449	12.7421	0	2.17464
MvSl-1064-A2-R4_MC01g03087	39.6158	119.032	7.11688	40.5157	50.3433	77.7779
MvSl-1064-A2-R4_MC01g03088	384.108	477.721	374.215	299.478	532.712	557.258
MvSl-1064-A2-R4_MC01g03089	42	51	225.802	290.792	41.8096	79.0497
MvSl-1064-A2-R4_MC01g03090	29.2273	42.3573	124.944	203.141	45.1488	53.7652
MvSl-1064-A2-R4_MC01g03091	246	384	2451	2081	203	220
MvSl-1064-A2-R4_MC01g03092	4208	4536	2380	2227	3606	3578
MvSl-1064-A2-R4_MC01g03093	11661.7	18850.3	1880.61	2429.04	25325.3	33703
MvSl-1064-A2-R4_MC01g03094	1318	1292	2690	2387	2488	1772
MvSl-1064-A2-R4_MC01g03095	345.083	364.51	452.346	470.69	470.9	405.194
MvSl-1064-A2-R4_MC01g03096	0	0.5	1.01367	0	0	0.503369
MvSl-1064-A2-R4_MC01g03097	3586	3712	776	1250	3341	1916
MvSl-1064-A2-R4_MC01g03098	168	193	59	46	185	211
MvSl-1064-A2-R4_MC01g03099	2325	2735	11296	12827	2655	2608
MvSl-1064-A2-R4_MC01g03100	2784	3414	4307	4414	4372	3673
MvSl-1064-A2-R4_MC01g03101	2689	2772	6152	5794	3850	4387
MvSl-1064-A2-R4_MC01g03102	1388	1376	4649	4869	2158	1933
MvSl-1064-A2-R4_MC01g03103	1884	1641	1380	996	1581	1706
MvSl-1064-A2-R4_MC01g03104	2978	3062	7662	7286	3610	2868
MvSl-1064-A2-R4_MC01g03105	6210	4872	3013	2543	4205	4218
MvSl-1064-A2-R4_MC01g03106	798	590	81	73	182	167
MvSl-1064-A2-R4_MC01g03107	4401	4799	4218	4079	4705	3782
MvSl-1064-A2-R4_MC01g03108	2273	2124	3128	2995	2877	2663
MvSl-1064-A2-R4_MC01g03109	28	47	4	2	13	20
MvSl-1064-A2-R4_MC01g03110	3.14726	3.10542	1.02618	0	18.3374	18.8407
MvSl-1064-A2-R4_MC01g03111	11	8	1	2	1	1
MvSl-1064-A2-R4_MC01g03112	7.03546	16.3211	4.02658	4.01451	2.05447	18.3657
MvSl-1064-A2-R4_MC01g03113	240	340.671	313	165	208	408
MvSl-1064-A2-R4_MC01g03114	331.381	331.495	1145.99	877.79	214.934	240.263
MvSl-1064-A2-R4_MC01g03115	32.3156	25.298	8.98592	1.29782	7.80517	8.34751
MvSl-1064-A2-R4_MC01g03116	16845	18063	6750	6441	15061	17851
MvSl-1064-A2-R4_MC01g03117	2965	2687	423	520	3134	4155
MvSl-1064-A2-R4_MC01g03118	739.566	306.104	1722.43	2437.26	366.454	369.949
MvSl-1064-A2-R4_MC01g03119	133	101	31	29	56	181.406
MvSl-1064-A2-R4_MC01g03120	1115.09	513.323	841.392	3438.78	786.61	605.72
MvSl-1064-A2-R4_MC01g03121	164.826	259.258	104.832	64.5828	429.472	609.714
MvSl-1064-A2-R4_MC01g03122	19.4709	40.5776	0	5.45903	16.4748	26.4821
MvSl-1064-A2-R4_MC01g03123	975.975	667.175	595.039	797.356	667.044	566.096
MvSl-1064-A2-R4_MC01g03124	561.548	729.489	117.66	173.652	515.464	553.234
MvSl-1064-A2-R4_MC01g03125	68.5324	77.3483	98.2216	98.1473	73.4837	111.465
MvSl-1064-A2-R4_MC01g03126	985	1039	5575	4589	1432	1190
MvSl-1064-A2-R4_MC01g03127	229.145	282.726	255.331	253.011	343.227	248.957
MvSl-1064-A2-R4_MC01g03128	120.103	90.7967	74.4486	61.6795	134.138	102.407
MvSl-1064-A2-R4_MC01g03129	42.5218	50.9083	19.8022	9.27336	55.3862	78.2463
MvSl-1064-A2-R4_MC01g03130	934.47	826.808	630.759	593.829	793.582	1150.95
MvSl-1064-A2-R4_MC01g03131	449.058	428.531	55.0841	75.6388	306.368	446.91
MvSl-1064-A2-R4_MC01g03132	15	6	0	2	15.0555	7.03508
MvSl-1064-A2-R4_MC01g03133	1082	856	3481	3456	1161	896
MvSl-1064-A2-R4_MC01g03134	22.8308	36.4988	44.7246	38.1081	128.696	167.016
MvSl-1064-A2-R4_MC01g03135	1161.36	836.406	2402.7	1462.28	1608.43	1402.81
MvSl-1064-A2-R4_MC01g03136	180.189	183.233	54.2174	56.8728	189.029	210.197
MvSl-1064-A2-R4_MC01g03137	400.011	382.119	1102.53	866.037	486.718	398.926
MvSl-1064-A2-R4_MC01g03138	9.39078	11.5764	7.96552	7	10.2652	27.7198
MvSl-1064-A2-R4_MC01g03139	2	2	0	0	6	7
MvSl-1064-A2-R4_MC01g03140	1671	1457	2134	2068	1960	1662
MvSl-1064-A2-R4_MC01g03141	0	3.81424	0	0	0.0637866	0
MvSl-1064-A2-R4_MC01g03142	16.2024	32.6942	164.785	303.626	48.8277	70.8249
MvSl-1064-A2-R4_MC01g03143	319.234	325.064	84.875	71.4541	303.179	346.718
MvSl-1064-A2-R4_MC01g03144	29	28	9	10	22	18
MvSl-1064-A2-R4_MC01g03145	1024	975	1766	1784	1571	1536
MvSl-1064-A2-R4_MC01g03146	1482.83	1715.91	639.547	601.965	2502.21	3146.8
MvSl-1064-A2-R4_MC01g03147	506	493	1002	866	638	518
MvSl-1064-A2-R4_MC01g03148	38	40	55	41	47	45
MvSl-1064-A2-R4_MC01g03149	779	626	1189	1121	836	760
MvSl-1064-A2-R4_MC01g03150	0	0	0	0	0	2
MvSl-1064-A2-R4_MC01g03151	1	1	0	0	0.16	5.35474
MvSl-1064-A2-R4_MC01g03152	3.31944	6.42914	8.26582	6.44	2.33975	6.38195
MvSl-1064-A2-R4_MC01g03153	0	0	0	0	0	3.54936
MvSl-1064-A2-R4_MC01g03154	0	0	0	0	0	0
MvSl-1064-A2-R4_MC01g03155	0	0	0	0	0	1
MvSl-1064-A2-R4_MC01g03156	7.09184	16.2089	10.8141	11.1877	2.23504	7.66467
MvSl-1064-A2-R4_MC01g03157	131.446	150.841	68.726	44.7696	128.054	130.28
MvSl-1064-A2-R4_MC01g03158	7.13128	22.8327	15.2681	7.90977	10.2371	8.12854
MvSl-1064-A2-R4_MC01g03159	0	0	0	0	0	2
MvSl-1064-A2-R4_MC01g03160	0	0	0	0	1.0079	0
