gid	A1_1	A1_2	A2_1	A2_2
MvSl-1064-A1-R4_A1g01512	42.7158	22.5001	32.9224	12.5176
MvSl-1064-A1-R4_A1g00003	781.594	703.645	1194.43	956.647
MvSl-1064-A1-R4_A1g01516	35	33	60	57
MvSl-1064-A1-R4_C24g01527	199.631	160.634	273.786	220
MvSl-1064-A1-R4_C24g01523	2.40715	8.27691	0	0.00982508
MvSl-1064-A1-R4_MC14g12006	14.5996	17.0222	3.7298	7.72953
MvSl-1064-A1-R4_MC14g12005	8.07671	0.00947087	3.31132	3.9583
MvSl-1064-A1-R4_MC14g11997	55.0687	152.025	2.7137	0.00382764
MvSl-1064-A1-R4_MC06g07032	36.9335	30.2859	390.981	195.661
MvSl-1064-A1-R4_MC06g07033	518.949	302.059	1402	1002.03
MvSl-1064-A1-R4_MC09-2g09582	0	0	0	0
MvSl-1064-A1-R4_MC09-2g09580	631.961	589.737	284.159	221.292
MvSl-1064-A1-R4_MC09-2g09578	63.5368	83.0766	51.8982	48.202
MvSl-1064-A1-R4_MC12g11286	681.904	749.507	756.18	695.046
MvSl-1064-A1-R4_MC12g11287	18.4965	43.41	26.1385	49.0701
MvSl-1064-A1-R4_MC01-1g01697	28.9329	32.2146	64.6961	43.489
MvSl-1064-A1-R4_MC01-1g01698	25	27	26	26
MvSl-1064-A1-R4_MC01-1g01699	1311.6	1453.13	572.33	555.898
MvSl-1064-A1-R4_MC01-1g01700	3	4	11	2
MvSl-1064-A1-R4_MC01-1g01701	3639	3429	4672	4503
MvSl-1064-A1-R4_MC01-1g01703	555.977	619.806	680.675	657.434
MvSl-1064-A1-R4_MC01-1g01705	395.884	412.881	408.931	412.593
MvSl-1064-A1-R4_MC01-1g01707	351.217	895.953	735.92	1038.73
MvSl-1064-A1-R4_MC01-1g01709	941	1211	1057	1237
MvSl-1064-A1-R4_MC01-1g01710	142	282	317	459
MvSl-1064-A1-R4_MC01-1g01711	3031	2543	3443	3127
MvSl-1064-A1-R4_MC01-1g01712	2752	2888	2660	2769
MvSl-1064-A1-R4_MC01-1g01713	295	261	363	306
MvSl-1064-A1-R4_MC01-1g01714	1	1	0	0
MvSl-1064-A1-R4_MC01-1g01715	50.4202	51.5107	60.9462	51.5099
MvSl-1064-A1-R4_MC01-1g01716	422.181	429.407	504.352	432.469
MvSl-1064-A1-R4_MC01-1g01717	822.982	712.781	960.251	780.384
MvSl-1064-A1-R4_MC01-1g01719	43.0313	36.5196	67.3624	57.1371
MvSl-1064-A1-R4_MC01-1g01720	1796.97	1707.47	2447.43	2166.39
MvSl-1064-A1-R4_MC01-1g01721	9.58512	8.39742	12.7805	7.48594
MvSl-1064-A1-R4_MC01-1g01722	21.0264	22	80.4772	70.0549
MvSl-1064-A1-R4_MC01-1g01725	889	943	946	1098
MvSl-1064-A1-R4_MC01-1g01726	2055	2046	2318	2388
MvSl-1064-A1-R4_MC01-1g01727	380.385	329.609	507.04	485.888
MvSl-1064-A1-R4_MC01-1g01728	2541.07	3338.73	3017.72	3514.54
MvSl-1064-A1-R4_MC01-1g01729	479	317	600	424
MvSl-1064-A1-R4_MC01-1g01730	522	534	588	555
MvSl-1064-A1-R4_MC01-1g01731	29373	25734	34039	31296
MvSl-1064-A1-R4_MC01-1g01732	6	8	8	4
MvSl-1064-A1-R4_MC01-1g01733	0	1	1	1
MvSl-1064-A1-R4_MC01-1g01734	274	339	396	341
MvSl-1064-A1-R4_MC01-1g01735	129	89	66	85
MvSl-1064-A1-R4_MC01-1g01737	6	12	9.04052	10.0608
MvSl-1064-A1-R4_MC01-1g01738	99.2854	90.8091	161.33	147.551
MvSl-1064-A1-R4_MC01-1g01740	141	162	336	309
MvSl-1064-A1-R4_MC01-1g01741	1284.11	1199.19	1553.08	1410
MvSl-1064-A1-R4_MC01-1g01742	3494.12	3477.94	3566.12	3426.76
MvSl-1064-A1-R4_MC01-1g01743	1274	1436	1487	1815
MvSl-1064-A1-R4_MC01-1g01744	4247	4073	4934	5138
MvSl-1064-A1-R4_MC01-1g01745	30	33	31	47
MvSl-1064-A1-R4_MC01-1g01746	64.0521	53.2724	86.0346	39.789
MvSl-1064-A1-R4_MC01-1g01747	0	0	0	0
MvSl-1064-A1-R4_MC01-1g01748	527	592	658	737
MvSl-1064-A1-R4_MC01-1g01749	122.09	70.0822	145.448	63.0664
