gene	water1	water2	rich1	rich2	di1	di2
MvSl-1064-A1-R4_A1g00720	888.818	879.569	1768.86	2737.18	862.19	799.483
MvSl-1064-A1-R4_A1g00724	67.7901	79.218	126.548	77.9319	215.162	204.557
MvSl-1064-A1-R4_A1g00725	24	27	41.1146	33.3025	60.4324	51.5144
MvSl-1064-A1-R4_A1g00730	119.131	154.951	79.3303	78.2726	96.1702	87.8796
MvSl-1064-A1-R4_A1g00733	5830	6835	2075	2172	2921	3101
MvSl-1064-A1-R4_A1g00736	114.211	85.4713	99.8292	86.3989	140.706	114.804
MvSl-1064-A1-R4_A1g00747	603.27	501.838	302.225	343.821	318.557	398.111
MvSl-1064-A1-R4_A1g00748	816	804	314	288	1410	1778
MvSl-1064-A1-R4_A1g00754	3521.47	3051.29	1333.8	1423.87	2102.86	2507.06
MvSl-1064-A1-R4_A1g00758	635.457	650.442	824	908.295	476	653.516
MvSl-1064-A1-R4_A1g00759	709.126	674.833	778.126	884.159	552.956	663.155
MvSl-1064-A1-R4_A1g00760	190.283	236.267	413.047	350.488	328.612	380.128
MvSl-1064-A1-R4_A1g00761	76.824	86.2625	134.642	139.69	160.771	207.712
MvSl-1064-A1-R4_A1g00762	41.1426	33.3264	7.57885	9.38399	85.693	66.4444
MvSl-1064-A1-R4_A1g00765	44	23	10	14.4609	13.1837	13.1859
MvSl-1064-A1-R4_A1g00769	1.01779	3.21664	7.30591	5.09087	4.19422	1.01774
MvSl-1064-A1-R4_A1g00770	27.415	48.0338	8.72209	15.0448	4.94839	11.4343
MvSl-1064-A1-R4_A1g00771	19.1887	15.0879	26.1998	26	9.18118	7.12742
MvSl-1064-A1-R4_A1g00776	9	1	13	5	86.933	57.5962
MvSl-1064-A1-R4_A1g00780	116.436	108.117	83.5775	43.4213	166.858	190.426
MvSl-1064-A1-R4_A1g00781	4.812	12.7273	14.228	1.05568	13.4688	18.6274
MvSl-1064-A1-R4_A1g00787	31.1807	41.2464	75.2249	46.7833	572.313	769.619
MvSl-1064-A1-R4_A1g00790	14.6437	4.62396	26.1739	27.6059	9.85669	8.09653
MvSl-1064-A1-R4_A1g00791	0	1.08004	4.36491	4.22212	2.0902	1.04174
MvSl-1064-A1-R4_A1g00795	2	1	3	4	0	1.03521
MvSl-1064-A1-R4_A1g00797	4.57651	2.39158	2.3607	0	1.47642	4.32651
MvSl-1064-A1-R4_A1g00810	153.527	174.531	189.136	267.602	97.1374	123.184
MvSl-1064-A1-R4_A1g00811	67	63	36	24	65	64
MvSl-1064-A1-R4_A1g00813	6.11341	2.06446	5.11941	1.02208	79.7815	94.2053
MvSl-1064-A1-R4_A1g00814	58.5855	75.3829	73.6086	110.922	171.965	188.715
MvSl-1064-A1-R4_A1g00815	68.614	63.5991	12.944	6.83033	271.604	541.205
MvSl-1064-A1-R4_A1g00816	87.2091	126.456	20.746	38.1565	99.1594	131.774
MvSl-1064-A1-R4_A1g00818	2.09081	1.10916	1.0709	0	1.07725	2.22159
MvSl-1064-A1-R4_A1g00821	4.55506	4.52079	0.0669808	2.68589	1.54433	2.90101
MvSl-1064-A1-R4_A1g00824	1620.44	2525.87	505.661	701.986	761.207	966.498
MvSl-1064-A1-R4_A1g00826	0	1	4	1.01355	0	0
MvSl-1064-A1-R4_A1g00827	44.3062	223	144.6	275	140.259	155.366
MvSl-1064-A1-R4_A1g00828	54.1028	56.0471	142.333	341.175	32.381	40.7309
MvSl-1064-A1-R4_A1g00830	0	2	3	3	1.01298	1
MvSl-1064-A1-R4_A1g00831	1	3.50783	3.14882	4.87898	0	2
MvSl-1064-A1-R4_A1g00833	151.149	150.263	412.795	258.88	67.0477	108.771
MvSl-1064-A1-R4_A1g00839	5176	5230	5704	4900	2889	3188
MvSl-1064-A1-R4_A1g00841	127	80	1172	258	62	68
MvSl-1064-A1-R4_A1g00849	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00851	33.1731	33.1943	15.1823	14.0953	14.1355	21.1084
MvSl-1064-A1-R4_A1g00852	94.0888	66.5531	4.5255	0	0	13.2569
MvSl-1064-A1-R4_A1g00857	91.6275	124.28	120.267	197.677	66.4893	63.7303
MvSl-1064-A1-R4_A1g00859	111.104	111.186	259.422	373.411	122.709	123.551
MvSl-1064-A1-R4_A1g00861	46.4827	36	30	10	25.213	33.4616
MvSl-1064-A1-R4_A1g00863	275.989	194.694	195.485	246.702	416.524	352.706
MvSl-1064-A1-R4_A1g00864	2.46022	0	1.26938	0	4.31051	0
MvSl-1064-A1-R4_A1g00865	194.326	151.013	39.613	42.7701	27.2748	76.3025
MvSl-1064-A1-R4_A1g00871	1.12251	1.07977	1.07519	1.08581	0	0
MvSl-1064-A1-R4_A1g00872	5.57023	6.13629	13.4044	7.26668	3.4427	8.3319
MvSl-1064-A1-R4_A1g00874	0	7.06393	0	0	3.86512	6.42215
MvSl-1064-A1-R4_A1g00875	6	10	2	0	4	4
MvSl-1064-A1-R4_A1g00877	237.314	195.158	138.194	174.706	96.5709	147.73
MvSl-1064-A1-R4_A1g00882	1081.33	987.524	563.504	569.007	1248.11	1798.66
MvSl-1064-A1-R4_A1g00884	2523.8	3275.18	1208.04	2508.8	870	1829.44
MvSl-1064-A1-R4_A1g00889	124.955	131.991	79.9249	60.2061	201.735	370.109
MvSl-1064-A1-R4_A1g00891	375.149	279.964	83.9921	145.628	165.721	236.409
MvSl-1064-A1-R4_A1g00896	1.95246	0	0	0	130.941	120.506
MvSl-1064-A1-R4_A1g00898	0	2.02858	0	0	0	0
MvSl-1064-A1-R4_A1g00900	3.03915	2	4	1.01261	3.03483	5.19684
MvSl-1064-A1-R4_A1g00901	1.12366	3.35956	2.55175	3.44945	59.507	33.2772
MvSl-1064-A1-R4_A1g00904	9.99414	3.22597	1.07923	0	3.34808	4.71764
MvSl-1064-A1-R4_A1g00906	9	5	7	5	4.18568	4
MvSl-1064-A1-R4_A1g00909	141.958	176.702	76.9094	105.051	121.004	129.379
MvSl-1064-A1-R4_A1g00914	10092.6	17567.9	4935.83	7360.61	3262.71	4513.06
MvSl-1064-A1-R4_A1g00915	17.4329	21.6637	13.1382	17.4645	1.34704	5.23865
MvSl-1064-A1-R4_A1g00917	11.6349	6.33015	6.18569	0	1.5767	1.46365
