gene	M1	M2	M3
Minter-1389-PBcR_C01g00413	1001	938	601
Minter-1389-PBcR_C01g00414	1833	1601	945
Minter-1389-PBcR_C01g00415	8218	8302	4147
Minter-1389-PBcR_C01g00416	4043	3538	2364
Minter-1389-PBcR_C01g00418	39999	36909	25397
Minter-1389-PBcR_C01g00419	17457	17913	14096
Minter-1389-PBcR_C01g00420	10705	10678	6145
Minter-1389-PBcR_C01g00421	1305	1447	808
Minter-1389-PBcR_C01g00422	1052	1052	486
Minter-1389-PBcR_C01g00423	1911	2469	991
Minter-1389-PBcR_C01g00424	5296	4805	3027
Minter-1389-PBcR_C01g00425	7484	6556	5602
Minter-1389-PBcR_C01g00426	1801	2219	884
Minter-1389-PBcR_C01g00427	623	732	315
Minter-1389-PBcR_C01g00428	7686	7756	5018
Minter-1389-PBcR_C01g00429	4047	4751	3335
Minter-1389-PBcR_C01g00430	4360	4604	3024
Minter-1389-PBcR_C01g00433	817	1080	438
Minter-1389-PBcR_C01g00434	175	221	72
Minter-1389-PBcR_C01g00435	615	551	442
Minter-1389-PBcR_C01g00437	4128	4169	1768
Minter-1389-PBcR_C01g00438	1728	1982	896
Minter-1389-PBcR_C01g00439	1722	2121	848
Minter-1389-PBcR_C01g00440	3269	3446	2047
Minter-1389-PBcR_C01g00441	655	710	282
Minter-1389-PBcR_C01g00442	5588	6362	2757
Minter-1389-PBcR_C01g00444	2391	2478	1111
Minter-1389-PBcR_C01g00445	1551	1924	1090
Minter-1389-PBcR_C01g00446	2569	3286	1745
Minter-1389-PBcR_C01g00447	443	729	250
Minter-1389-PBcR_C01g00448	2044	2854	1271
Minter-1389-PBcR_C01g00449	823	1059	446
Minter-1389-PBcR_C01g00450	1025	1445	678
Minter-1389-PBcR_C01g00451	4848	6881	3236
Minter-1389-PBcR_C01g00452	1981	1707	1197
Minter-1389-PBcR_C01g00453	257	332	145
Minter-1389-PBcR_C01g00455	1525	2034	966
Minter-1389-PBcR_C01g00456	1771	2110	1347
Minter-1389-PBcR_C01g00457	2684	3812	1529
Minter-1389-PBcR_C01g00458	2684	3382	1105
Minter-1389-PBcR_C01g00459	4636	5681	2208
Minter-1389-PBcR_C01g00460	1764	2461	1082
Minter-1389-PBcR_C01g00461	735	787	404
Minter-1389-PBcR_C01g00462	851	1056	446
Minter-1389-PBcR_C01g00463	87	103	43
Minter-1389-PBcR_C01g00464	13480	13373	8098
Minter-1389-PBcR_C01g00465	17	20	1
Minter-1389-PBcR_C01g00466	3484	3958	2121
Minter-1389-PBcR_C01g00467	1604	1648.65	884.423
Minter-1389-PBcR_C01g00468	1855	1697	1131
Minter-1389-PBcR_C01g00469	2416	2915	1578
Minter-1389-PBcR_C01g00470	873	733	541
Minter-1389-PBcR_C01g00471	2797	2577	2008
Minter-1389-PBcR_C01g00472	7967	5521	6658
Minter-1389-PBcR_C01g00473	1632	2128	807
Minter-1389-PBcR_C01g00474	2023	2659	1242
Minter-1389-PBcR_C01g00475	204	262	109
Minter-1389-PBcR_C01g00476	4867	6113	2476
Minter-1389-PBcR_C01g00477	15170	16941	9386
Minter-1389-PBcR_C01g00478	2266	2656	1243
Minter-1389-PBcR_C01g00479	3389	4102	1773
Minter-1389-PBcR_C01g00482	1218	1309	584
Minter-1389-PBcR_C01g00483	1401	1352	1003
Minter-1389-PBcR_C01g00484	1993	1966	1566
Minter-1389-PBcR_C01g00485	3579	4527	1602
Minter-1389-PBcR_C01g00486	597	1354	251
Minter-1389-PBcR_C01g00487	1341	1885	932
Minter-1389-PBcR_C01g00488	1246	1342	734
Minter-1389-PBcR_C01g00489	432	410	269
Minter-1389-PBcR_C01g00490	4324	5492	2441
Minter-1389-PBcR_C01g00492	2617	2977	1436
Minter-1389-PBcR_C01g00493	888	864	586
Minter-1389-PBcR_C01g00494	8435	6358	8571
Minter-1389-PBcR_C01g00496	5633	5557	2107
Minter-1389-PBcR_C01g00498	2919	2453	1190
Minter-1389-PBcR_C01g00499	4105	4488	3242
Minter-1389-PBcR_C01g00500	4165.09	3961.24	3104.2
Minter-1389-PBcR_C01g00502	330	414	163
Minter-1389-PBcR_C01g00504	3565	3838	3131
Minter-1389-PBcR_C01g00505	560	631	311
Minter-1389-PBcR_C01g00507	72	88	41
Minter-1389-PBcR_C01g00508	36	88	27
Minter-1389-PBcR_C01g00509	3762	4357	2079
Minter-1389-PBcR_C01g00510	1673	1814	873
Minter-1389-PBcR_C01g00512	3881	4133	2492
Minter-1389-PBcR_C01g00513	846	544	273
Minter-1389-PBcR_C01g00514	2481	2921	1474
Minter-1389-PBcR_C01g00515	1715	1564	913
Minter-1389-PBcR_C01g00516	1502	1889	618
Minter-1389-PBcR_C01g00517	2313	2859	866
Minter-1389-PBcR_C01g00519	1074	1205	655
Minter-1389-PBcR_C01g00520	503	659	220
Minter-1389-PBcR_C01g00521	1120	1548	499
Minter-1389-PBcR_C01g00522	7790	6557	6174
Minter-1389-PBcR_C01g00523	7564	7332	5275
Minter-1389-PBcR_C01g00524	1717	1587	1048
Minter-1389-PBcR_C01g00525	9268	9585	6096
Minter-1389-PBcR_C01g00526	3897	4569	2278
Minter-1389-PBcR_C01g00527	783	954	534
Minter-1389-PBcR_C01g00529	736	1058	462
Minter-1389-PBcR_C01g00531	6	8	2
Minter-1389-PBcR_C01g00532	4202	4557	2938
Minter-1389-PBcR_C01g00533	745	1016	445
Minter-1389-PBcR_C01g00534	1911	2249	1424
Minter-1389-PBcR_C01g00535	807	1017	477
Minter-1389-PBcR_C01g00536	1235	1789	892
Minter-1389-PBcR_C01g00537	2077	2262	989
Minter-1389-PBcR_C01g00538	2816	3110	1693
Minter-1389-PBcR_C01g00539	1658	2015	1260
Minter-1389-PBcR_C01g00540	2168	2414	1127
Minter-1389-PBcR_C01g00542	574	717	442
Minter-1389-PBcR_C01g00543	2128	1779	1509
Minter-1389-PBcR_C01g00544	19991	18718	14447
Minter-1389-PBcR_C01g00545	4004	5061	3247
Minter-1389-PBcR_C01g00546	1162	1229	950
Minter-1389-PBcR_C01g00548	485	531	237
Minter-1389-PBcR_C01g00549	3386.76	3594.92	2469.34
Minter-1389-PBcR_C01g00551	889	1584	765
Minter-1389-PBcR_C01g00552	6117	6680	3427
Minter-1389-PBcR_C01g00553	1910	1399	2104
Minter-1389-PBcR_C01g00555	19320	20699	12232
Minter-1389-PBcR_C01g00556	4009	5724	2845
Minter-1389-PBcR_C01g00557	4811	4537	3624
Minter-1389-PBcR_C01g00558	3386	4956	1977
Minter-1389-PBcR_C01g00559	2597	2595	1843
Minter-1389-PBcR_C01g00560	29534	39560	17091
Minter-1389-PBcR_C01g00563	6624	7895	3650
Minter-1389-PBcR_C01g00564	1459	2167	627
Minter-1389-PBcR_C01g00565	1419	1709	862
Minter-1389-PBcR_C01g00566	1314	2201	613
Minter-1389-PBcR_C01g00567	4025	4331	2678
Minter-1389-PBcR_C01g00568	5564	5151	3926
Minter-1389-PBcR_C01g00569	9738	10415	5881
Minter-1389-PBcR_C01g00570	1753	1919	1050
Minter-1389-PBcR_C01g00574	0	1	0
Minter-1389-PBcR_C01g00575	2292	2808	994
Minter-1389-PBcR_C01g00576	3918	3820	2273
Minter-1389-PBcR_C01g00578	4184	3313	2617
Minter-1389-PBcR_C01g00579	902	1362	622
Minter-1389-PBcR_C01g00580	2972	4280	1924
Minter-1389-PBcR_C01g00581	1075	1786	438
Minter-1389-PBcR_C01g00582	802	930	400
Minter-1389-PBcR_C01g00583	4482	5332	3035
Minter-1389-PBcR_C01g00584	823	1145	425
Minter-1389-PBcR_C01g00585	158	320	110
Minter-1389-PBcR_C01g00587	428	471	265
Minter-1389-PBcR_C01g00588	1789	1797	962
Minter-1389-PBcR_C01g00589	2309	2941	1140
Minter-1389-PBcR_C01g00593	1644	2006	1193
Minter-1389-PBcR_C01g00595	327	477	129
Minter-1389-PBcR_C01g00596	1707	1846	922
Minter-1389-PBcR_C01g00597	365	304	249
Minter-1389-PBcR_C01g00598	365	539	209
Minter-1389-PBcR_C01g00599	1976	2468	1816
Minter-1389-PBcR_C01g00600	2884.06	3062	1941.06
Minter-1389-PBcR_C01g00601	3774	2614	3893
Minter-1389-PBcR_C01g00602	4484	4155	3369
Minter-1389-PBcR_C01g00603	6988	8408	6056
Minter-1389-PBcR_C01g00604	1221	1259	824
Minter-1389-PBcR_C01g00605	5168	4930	4151
Minter-1389-PBcR_C01g00606	4631	4849	2482
Minter-1389-PBcR_C01g00607	3748	4046	2211
Minter-1389-PBcR_C01g00608	550	748	191
Minter-1389-PBcR_C01g00609	2709	4149	2182
Minter-1389-PBcR_C01g00612	467	530	224
Minter-1389-PBcR_C01g00613	159	120	89
Minter-1389-PBcR_C01g00615	1145	1170	668
Minter-1389-PBcR_C01g00616	1435	1686	750
Minter-1389-PBcR_C01g00617	9682	8268	6823
Minter-1389-PBcR_C01g00620	2567	2933	1621
Minter-1389-PBcR_C01g00622	5721	6160	4274
Minter-1389-PBcR_C01g00623	1633	1897	846
Minter-1389-PBcR_C01g00624	1334	1302	803
Minter-1389-PBcR_C01g00625	163	112	53
Minter-1389-PBcR_C01g00626	630	619	314
Minter-1389-PBcR_C01g00627	1617	1447	993
Minter-1389-PBcR_C01g00628	1903	1731	1597
Minter-1389-PBcR_C01g00629	8837	9717	4979
Minter-1389-PBcR_C01g00630	2488	2739	1197
Minter-1389-PBcR_C01g00631	2170.57	2256.71	1434.59
Minter-1389-PBcR_C01g00637	7684	8172	5007
Minter-1389-PBcR_C01g00638	2131	2717	1079
Minter-1389-PBcR_C01g00639	4353	4622	2737
Minter-1389-PBcR_C01g00640	1790	1821	1101
Minter-1389-PBcR_C01g00641	253	380	150
Minter-1389-PBcR_C01g00643	5126	5653	3202
Minter-1389-PBcR_C01g00644	4651	5715	2365
Minter-1389-PBcR_C01g00645	1958	1810	859
Minter-1389-PBcR_C01g00646	15107	11964	9300
Minter-1389-PBcR_C01g00647	10761	11734	5412
Minter-1389-PBcR_C01g00649	5786	6501	1845
Minter-1389-PBcR_C01g00650	2571	3075	1982
Minter-1389-PBcR_C01g00651	2442	2811	1246
Minter-1389-PBcR_C01g00652	2724.42	3212.04	1666.73
Minter-1389-PBcR_C01g00653	2436	3137	1467
Minter-1389-PBcR_C01g00654	2057	2438	1374
Minter-1389-PBcR_C01g00655	1340	2260	828
Minter-1389-PBcR_C01g00656	2257	2540	1231
Minter-1389-PBcR_C01g00657	467	659	243
Minter-1389-PBcR_C01g00658	1752	2101	1192
Minter-1389-PBcR_C01g00660	3934	5821	2229
Minter-1389-PBcR_C01g00661	3616	4215	2215
Minter-1389-PBcR_C01g00662	3874	4262	2481
Minter-1389-PBcR_C01g00664	795	1148	523
Minter-1389-PBcR_C01g00665	1315	1501	748
Minter-1389-PBcR_C01g00666	1465	1445	803
Minter-1389-PBcR_C01g00667	2330	2205	1750
Minter-1389-PBcR_C01g00668	3241	3819	1642
Minter-1389-PBcR_C01g00669	1034	966	517
Minter-1389-PBcR_C01g00671	9	9	6
Minter-1389-PBcR_C01g00673	4788	4098	2059
Minter-1389-PBcR_C01g00674	1120	1098	563
Minter-1389-PBcR_C01g00675	7103	8160	5839
Minter-1389-PBcR_C01g00676	1939	2039	657
Minter-1389-PBcR_C01g00677	1544	1598	974
Minter-1389-PBcR_C01g00678	2007	1721	1439
Minter-1389-PBcR_C01g00679	478	716	311
Minter-1389-PBcR_C01g00680	3185	3110	2086
Minter-1389-PBcR_C01g00681	1132	1227	619
Minter-1389-PBcR_C01g00683	3314	3575	1790
Minter-1389-PBcR_C01g00687	2845	3443	1252
Minter-1389-PBcR_C01g00688	249	487	142
Minter-1389-PBcR_C01g00689	3841	4098	2278
Minter-1389-PBcR_C01g00690	1401	1288	837
Minter-1389-PBcR_C01g00691	2007	1364	1304
Minter-1389-PBcR_C01g00692	2908	3176	1468
Minter-1389-PBcR_C01g00693	853	1209	542
Minter-1389-PBcR_C01g00694	4076	3912	1629
Minter-1389-PBcR_C01g00695	1596	1758	854
Minter-1389-PBcR_C01g00696	1337	1620	765
Minter-1389-PBcR_C01g00697	2737	3464	1664
Minter-1389-PBcR_C01g00698	2587	3143	1531
Minter-1389-PBcR_C01g00699	1717	1954	1059
Minter-1389-PBcR_C01g00700	1605	1190.35	1611.58
Minter-1389-PBcR_C01g00701	241	350	142
Minter-1389-PBcR_C01g00702	2922	3513	1724
Minter-1389-PBcR_C01g00703	7514	7995	4161
Minter-1389-PBcR_C01g00704	4334	4426	3026
