gene A1 A2 ave_count
MvSl-1064-A1-R4_A1g01125 34.1463 30.74 32.4431
MvSl-1064-A1-R4_A1g01128 18.1314 15.1006 16.616
MvSl-1064-A1-R4_A1g01130 10.1276 7.04088 8.58424
MvSl-1064-A1-R4_A1g01131 249.453 279.392 264.423
MvSl-1064-A1-R4_A1g01138 5.01839 7.01325 6.01582
MvSl-1064-A1-R4_A1g01142 321.383 368.277 344.83
MvSl-1064-A1-R4_A1g01145 75.6065 59.9842 67.7953
MvSl-1064-A1-R4_A1g01155 24.0166 14.9565 19.4866
MvSl-1064-A1-R4_A1g01158 10 20 15
MvSl-1064-A1-R4_A1g01172 126.336 149.755 138.046
MvSl-1064-A1-R4_A1g01179 268.198 243.52 255.859
MvSl-1064-A1-R4_A1g01186 227.765 205.521 216.643
MvSl-1064-A1-R4_A1g01190 831.231 754.467 792.849
MvSl-1064-A1-R4_A1g01191 395 383 389
MvSl-1064-A1-R4_A1g01192 2786.49 3044.73 2915.61
MvSl-1064-A1-R4_A1g01193 301.826 316.077 308.952
MvSl-1064-A1-R4_A1g01218 2387.16 2367.43 2377.3
MvSl-1064-A1-R4_A1g01226 203.269 151.442 177.356
MvSl-1064-A1-R4_A1g01230 2060 1715 1887.5
MvSl-1064-A1-R4_A1g01233 12 26 19
MvSl-1064-A1-R4_A1g01234 2036 2066 2051
MvSl-1064-A1-R4_A1g01240 997.291 997.436 997.364
MvSl-1064-A1-R4_A1g01246 10.5435 18.2915 14.4175
MvSl-1064-A1-R4_A1g01249 2386.59 2040.96 2213.78
MvSl-1064-A1-R4_A1g01254 212.016 240.129 226.072
MvSl-1064-A1-R4_A1g01255 624.034 974.819 799.427
MvSl-1064-A1-R4_A1g01257 29.885 39.1488 34.5169
MvSl-1064-A1-R4_A1g01267 1723.24 1889.67 1806.45
MvSl-1064-A1-R4_A1g01268 2305.94 2009.04 2157.49
MvSl-1064-A1-R4_A1g01269 2990.04 3526.4 3258.22
MvSl-1064-A1-R4_A1g01273 97.4144 79.4444 88.4294
MvSl-1064-A1-R4_A1g01294 774.999 649.723 712.361
MvSl-1064-A1-R4_A1g01305 1146.03 1705.46 1425.74
MvSl-1064-A1-R4_A1g01306 87.78 54.5476 71.1638
MvSl-1064-A1-R4_A1g01308 10 7 8.5
MvSl-1064-A1-R4_A1g01312 333.974 392.574 363.274
MvSl-1064-A1-R4_A1g01315 137.38 87.4103 112.395
MvSl-1064-A1-R4_A1g01316 1101.96 1237.96 1169.96
MvSl-1064-A1-R4_A1g01318 42.1948 75.28 58.7374
MvSl-1064-A1-R4_A1g01337 312.372 316.666 314.519
MvSl-1064-A1-R4_A1g01338 429.162 445.374 437.268
MvSl-1064-A1-R4_A1g01344 35.8815 58.8781 47.3798
