gid	A1_1	A1_2	A2_1	A2_2
MvSl-1064-A1-R4_MC01-2g03155	3594	4496	4173	3190
MvSl-1064-A1-R4_MC01-2g03156	6592	9253	9969	5962
MvSl-1064-A1-R4_MC01-2g03157	498	624	538	277
MvSl-1064-A1-R4_MC01-2g03158	4006	3489	3205	3364
MvSl-1064-A1-R4_MC01-2g03159	1239	1421	1139	1153
MvSl-1064-A1-R4_MC01-2g03160	1884	1640	1421	1236
MvSl-1064-A1-R4_MC01-2g03161	1028	854	566	716
MvSl-1064-A1-R4_MC01-2g03162	1375	1490	1178	1230
MvSl-1064-A1-R4_MC01-2g03163	33	19	31	38
MvSl-1064-A1-R4_MC01-2g03164	1166	1280	1412	1048.33
MvSl-1064-A1-R4_MC01-2g03165	1827	3108	3778	2058
MvSl-1064-A1-R4_MC01-2g03166	2088.34	4086	243.29	150.696
MvSl-1064-A1-R4_MC01-2g03167	874	765	556	538
MvSl-1064-A1-R4_MC01-2g03168	76	69	89.162	55.1038
MvSl-1064-A1-R4_MC01-2g03169	99.46	103.502	94.4614	75.554
MvSl-1064-A1-R4_MC01-2g03171	1460	1671	1674.84	1787.9
MvSl-1064-A1-R4_MC01-2g03173	7	7	2	3
MvSl-1064-A1-R4_MC01-2g03174	30.4	16.6667	10.2857	24.7273
MvSl-1064-A1-R4_MC01-2g03175	5390	4605	4103	4558
MvSl-1064-A1-R4_MC02g03178	1.00087	0	0	0
MvSl-1064-A1-R4_MC02g03179	3443	3358	3278	3105
MvSl-1064-A1-R4_MC02g03180	921	959	864	845
MvSl-1064-A1-R4_MC02g03181	14190	13109	13822	13725
MvSl-1064-A1-R4_MC02g03182	5692	6078	5485	5589
MvSl-1064-A1-R4_MC02g03183	1709	1808	1634	1688
MvSl-1064-A1-R4_MC02g03184	546.724	605.713	364.22	402.086
MvSl-1064-A1-R4_MC02g03185	5433	4966	3710	4269
MvSl-1064-A1-R4_MC02g03186	71344	61027	52710	67811
MvSl-1064-A1-R4_MC02g03187	22	13	24	31
MvSl-1064-A1-R4_MC02g03188	27	24	28	44
MvSl-1064-A1-R4_MC02g03189	2086	2964	3051	2086
MvSl-1064-A1-R4_MC02g03190	1229	1228	1323	1141
MvSl-1064-A1-R4_MC02g03191	1633	1562	1226	1202
MvSl-1064-A1-R4_MC02g03192	1229	1296	1697	1274
MvSl-1064-A1-R4_MC02g03193	289	252	199	153
MvSl-1064-A1-R4_MC02g03194	607	543	390	523
MvSl-1064-A1-R4_MC02g03195	86	47	48	38
MvSl-1064-A1-R4_MC02g03196	0	0	0	0
MvSl-1064-A1-R4_MC02g03197	5	3	8	2
MvSl-1064-A1-R4_MC02g03198	1	1	2	2
MvSl-1064-A1-R4_MC02g03199	1504	1282	1113	1426
MvSl-1064-A1-R4_MC02g03200	8424	8171	11000	9744
MvSl-1064-A1-R4_MC02g03201	2595	2999	3468	3021
MvSl-1064-A1-R4_MC02g03202	238	217	169	238
MvSl-1064-A1-R4_MC02g03203	1983	1807	1515	1446
MvSl-1064-A1-R4_MC02g03204	282	172	114	109
MvSl-1064-A1-R4_MC02g03205	2446	1777	999	856
MvSl-1064-A1-R4_MC02g03206	4252	4552	5033	4566
MvSl-1064-A1-R4_MC02g03207	1692	1964	1635	1486
MvSl-1064-A1-R4_MC02g03208	710	732	618	549
MvSl-1064-A1-R4_MC02g03209	3375	3711	3110	3449
MvSl-1064-A1-R4_MC02g03210	1.03044	0	0	2
MvSl-1064-A1-R4_MC02g03211	3709	3432	2379	2640
MvSl-1064-A1-R4_MC02g03212	11660	12689	10260	10020
MvSl-1064-A1-R4_MC02g03213	2767	3225	2957	2551
MvSl-1064-A1-R4_MC02g03214	1612	1477	1496	1426
MvSl-1064-A1-R4_MC02g03215	880	816	637	766
MvSl-1064-A1-R4_MC02g03216	170.746	185.747	149.264	244.468
MvSl-1064-A1-R4_MC02g03217	3630	3326	2966	3037
MvSl-1064-A1-R4_MC02g03218	1045	1156	944	930
MvSl-1064-A1-R4_MC02g03219	237.092	289.726	335.551	214.609
MvSl-1064-A1-R4_MC02g03220	2928	3309	3288	2712
MvSl-1064-A1-R4_MC02g03221	10361	11991	14167	11087
MvSl-1064-A1-R4_MC02g03222	1179	1364	1181	1052
MvSl-1064-A1-R4_MC02g03223	2210	2234	2312	2502
MvSl-1064-A1-R4_MC02g03224	623	838	1407	865
MvSl-1064-A1-R4_MC02g03225	1242	1459	1486	1049
MvSl-1064-A1-R4_MC02g03226	10326.7	11897	9575.3	8304.4
MvSl-1064-A1-R4_MC02g03227	1724	1446	919	1160
MvSl-1064-A1-R4_MC02g03228	1135	1329	1127	1021
MvSl-1064-A1-R4_MC02g03229	794	651	372	350
MvSl-1064-A1-R4_MC02g03230	1679	1604	1213	1516
MvSl-1064-A1-R4_MC02g03231	108	95	93	93
MvSl-1064-A1-R4_MC02g03232	412	511	416	361
MvSl-1064-A1-R4_MC02g03233	5588	6473	8453	5890
MvSl-1064-A1-R4_MC02g03234	922	926	772	962
MvSl-1064-A1-R4_MC02g03235	6362	7303	7058	6919
MvSl-1064-A1-R4_MC02g03236	1944	2305	1884	1709
MvSl-1064-A1-R4_MC02g03237	1041	1252	1129	933
MvSl-1064-A1-R4_MC02g03238	5752.73	7433.31	6742.38	5233.35
MvSl-1064-A1-R4_MC02g03239	59.6032	76.6729	80.314	55.2474
MvSl-1064-A1-R4_MC02g03240	4476	3777	3083	4236
MvSl-1064-A1-R4_MC02g03241	1727	1794	1585	1427
MvSl-1064-A1-R4_MC02g03242	1031	1010	831	846
MvSl-1064-A1-R4_MC02g03243	1216	1235	1113	1164
MvSl-1064-A1-R4_MC02g03244	239	224	193	239
MvSl-1064-A1-R4_MC02g03245	3168	3005	2688	2872
MvSl-1064-A1-R4_MC02g03246	11337	12793	13879	13899
MvSl-1064-A1-R4_MC02g03247	2465	2154	1552	1832
MvSl-1064-A1-R4_MC02g03248	221	123	126	186
MvSl-1064-A1-R4_MC02g03249	119	60	58	86
MvSl-1064-A1-R4_MC02g03250	10636	8923	8162	9549
MvSl-1064-A1-R4_MC02g03251	919	1271	1517	874
MvSl-1064-A1-R4_MC02g03252	51153	62758	49833	44384
MvSl-1064-A1-R4_MC02g03253	2243	1807	2146	2371
MvSl-1064-A1-R4_MC02g03254	7167	5567	6090	7604
MvSl-1064-A1-R4_MC02g03255	817	728	772	796
MvSl-1064-A1-R4_MC02g03256	2687	2491	2298	2674
MvSl-1064-A1-R4_MC02g03257	3221	2588	2279	3172
MvSl-1064-A1-R4_MC02g03258	95	83	41	96
MvSl-1064-A1-R4_MC02g03259	2	2	2	1
MvSl-1064-A1-R4_MC02g03260	1567	1711	1527	1513
MvSl-1064-A1-R4_MC02g03261	1726	1739	1801	1590
MvSl-1064-A1-R4_MC02g03262	517	580	679	774
MvSl-1064-A1-R4_MC02g03263	2539	2383	1895	2458
MvSl-1064-A1-R4_MC02g03264	424.386	374.58	513.321	527.672
MvSl-1064-A1-R4_MC02g03265	5	4	6	2
MvSl-1064-A1-R4_MC02g03266	767	821	593	684
MvSl-1064-A1-R4_MC02g03267	369	336	247	322
MvSl-1064-A1-R4_MC02g03268	2527	3268	2070	1916
MvSl-1064-A1-R4_MC02g03269	911	1033	765	739
MvSl-1064-A1-R4_MC02g03270	10242	10025	6755	7069
MvSl-1064-A1-R4_MC02g03271	584	618	683	531
MvSl-1064-A1-R4_MC02g03272	1753	1866	1841	1764
MvSl-1064-A1-R4_MC02g03273	1628	2117	1760	1388
MvSl-1064-A1-R4_MC02g03274	274	217	75	62
MvSl-1064-A1-R4_MC02g03275	3862	3829	2945	2605
MvSl-1064-A1-R4_MC02g03276	388	425	306	259
MvSl-1064-A1-R4_MC02g03277	1704	1509	1829	1804
MvSl-1064-A1-R4_MC02g03278	800	1205	1546	995
MvSl-1064-A1-R4_MC02g03279	1128	1258	1246	1010
MvSl-1064-A1-R4_MC02g03280	17.3669	13	8	14
MvSl-1064-A1-R4_MC02g03281	1	0	0	0
MvSl-1064-A1-R4_MC02g03282	3	1	1	4
MvSl-1064-A1-R4_MC02g03283	29	17	17	11
MvSl-1064-A1-R4_MC02g03284	877.875	760.565	416.747	553.154
MvSl-1064-A1-R4_MC02g03285	189.014	119.429	86.9874	118.68
MvSl-1064-A1-R4_MC02g03286	299.608	199.427	89	155
MvSl-1064-A1-R4_MC02g03287	18.027	13.1402	2.69493	19.7048
MvSl-1064-A1-R4_MC02g03288	2134.49	2049.3	958.278	880.92
MvSl-1064-A1-R4_MC02g03289	4.63308	2	2	1
MvSl-1064-A1-R4_MC02g03290	2194	1724	1514	1860
MvSl-1064-A1-R4_MC02g03291	2615	3912	3680	2599
MvSl-1064-A1-R4_MC02g03292	1636	1571	1103	1339
MvSl-1064-A1-R4_MC02g03293	2292	2447	2195	1799
MvSl-1064-A1-R4_MC02g03294	1174	663	465	652
MvSl-1064-A1-R4_MC02g03295	13444	10443	8882	12389
MvSl-1064-A1-R4_MC02g03296	2232	2484	2517	1549
MvSl-1064-A1-R4_MC02g03297	6984.94	4926.16	1678.35	2101.04
MvSl-1064-A1-R4_MC02g03298	56.9218	44.2646	25.9412	30.3641
MvSl-1064-A1-R4_MC02g03299	21.2812	13.4785	25.6698	28.7055
MvSl-1064-A1-R4_MC02g03300	365	379	471	408
MvSl-1064-A1-R4_MC02g03301	1235	1412	1501	1088
MvSl-1064-A1-R4_MC02g03302	1285	886	925	955
MvSl-1064-A1-R4_MC02g03303	525	351	302	421
MvSl-1064-A1-R4_MC02g03304	2391	1935	1693	2029
MvSl-1064-A1-R4_MC02g03305	1399	1506	1355	1312
MvSl-1064-A1-R4_MC02g03306	3966	4493	3694	3771
MvSl-1064-A1-R4_MC02g03307	5532	4599	3879	4195
MvSl-1064-A1-R4_MC02g03308	2555	2876	3478	3611
MvSl-1064-A1-R4_MC02g03309	1794	2061	1952	1691
MvSl-1064-A1-R4_MC02g03310	1778	1846	1733	1744
MvSl-1064-A1-R4_MC02g03311	2266	2203	1895	2139
MvSl-1064-A1-R4_MC02g03312	1960	2007	1377	1523
MvSl-1064-A1-R4_MC02g03313	1058	1228	906	946
MvSl-1064-A1-R4_MC02g03314	3314	3123	2962	3110
MvSl-1064-A1-R4_MC02g03315	3754	2858	2704	3068
MvSl-1064-A1-R4_MC02g03316	175	114	55	76
MvSl-1064-A1-R4_MC02g03317	943	740	345	543
MvSl-1064-A1-R4_MC02g03318	4951	4589	3743	3928
MvSl-1064-A1-R4_MC02g03319	1450.68	1083.97	930.938	972.246
MvSl-1064-A1-R4_MC02g03320	5440.65	4906.57	4076.22	4282.6
MvSl-1064-A1-R4_MC02g03321	1073	1055	704	645
MvSl-1064-A1-R4_MC02g03322	2879	2609	2521	2769
MvSl-1064-A1-R4_MC02g03323	0	0	1	1
MvSl-1064-A1-R4_MC02g03324	216	191	175	137
MvSl-1064-A1-R4_MC02g03325	1236	1575	1395	1108
MvSl-1064-A1-R4_MC02g03326	1217	1445	1607	1250
MvSl-1064-A1-R4_MC02g03327	110	90	260	98
MvSl-1064-A1-R4_MC02g03328	4339	4107	3855	4179
MvSl-1064-A1-R4_MC02g03329	2818	2482	2454	2319
MvSl-1064-A1-R4_MC02g03330	17222	18237	15616	15098
MvSl-1064-A1-R4_MC02g03331	6674	5682	4714	5874
MvSl-1064-A1-R4_MC02g03332	919	962	857	764
MvSl-1064-A1-R4_MC02g03333	1919	1767	1587	1451
MvSl-1064-A1-R4_MC02g03334	715	554	445	575
MvSl-1064-A1-R4_MC02g03335	1312	1529	1340	1335
MvSl-1064-A1-R4_MC02g03336	3059	3035	2798	2873
MvSl-1064-A1-R4_MC02g03337	1301	1473	1362	1170
MvSl-1064-A1-R4_MC02g03338	2222	1816	1641	1709
MvSl-1064-A1-R4_MC02g03339	1059	1196	934	985
MvSl-1064-A1-R4_MC02g03340	982	1020	907	934
MvSl-1064-A1-R4_MC02g03341	939	873	710	757
MvSl-1064-A1-R4_MC02g03342	814.871	811.346	540.492	764.08
MvSl-1064-A1-R4_MC02g03343	1600.08	1439.28	1064.67	1256.52
MvSl-1064-A1-R4_MC02g03344	82.8977	54.5901	330.942	67.1529
MvSl-1064-A1-R4_MC02g03345	231.137	147.036	20.875	33.3944
MvSl-1064-A1-R4_MC02g03346	3111.77	2884.66	2782.84	2665.93
MvSl-1064-A1-R4_MC02g03347	309.214	359.602	116	107
MvSl-1064-A1-R4_MC02g03348	75.8726	110.04	96.9685	63.2249
MvSl-1064-A1-R4_MC02g03349	97.9459	109.931	77.1895	86.7836
MvSl-1064-A1-R4_MC02g03350	275.499	180.148	289.579	336.662
MvSl-1064-A1-R4_MC02g03351	4.3316	2.42483	7	15
MvSl-1064-A1-R4_MC02g03352	3993.49	4164.18	1773.1	1565.18
MvSl-1064-A1-R4_MC02g03353	0	0	0	0
MvSl-1064-A1-R4_MC02g03354	665.394	605.441	513.461	347.056
MvSl-1064-A1-R4_MC02g03355	1058.81	1114.58	1263.29	899.895
MvSl-1064-A1-R4_MC02g03356	423.787	376.61	413.674	372.416
MvSl-1064-A1-R4_MC02g03357	1096	1086	1179	997
MvSl-1064-A1-R4_MC02g03358	18.0971	23.2879	34.2708	33.6751
MvSl-1064-A1-R4_MC02g03359	4893.1	3968.33	1432.79	1809.93
MvSl-1064-A1-R4_MC02g03360	86.3086	57.2686	256.547	220.796
MvSl-1064-A1-R4_MC02g03361	568.417	369.176	121.475	158.506
MvSl-1064-A1-R4_MC02g03362	1556.23	825.442	192.373	311.246
MvSl-1064-A1-R4_MC02g03363	4209.61	3505.9	3158.04	3315.87
MvSl-1064-A1-R4_MC02g03364	5	10	42	57
MvSl-1064-A1-R4_MC02g03365	39.9909	31.4624	7.07717	14.3373
MvSl-1064-A1-R4_MC02g03366	66.7678	27.9689	6.54733	6.87104
MvSl-1064-A1-R4_MC02g03367	1027.33	845.881	581.346	671.761
MvSl-1064-A1-R4_MC02g03368	1178.6	983.273	663.839	822.49
MvSl-1064-A1-R4_MC02g03369	192.296	120.732	35.4663	4.90594
MvSl-1064-A1-R4_MC02g03370	21.6224	9.15334	7.09204	12.3714
MvSl-1064-A1-R4_MC02g03371	843.185	655.648	670.881	581.836
MvSl-1064-A1-R4_MC02g03372	24.5606	30.684	29.2117	29.2742
MvSl-1064-A1-R4_MC02g03373	162.344	164.498	60.0577	71.6123
MvSl-1064-A1-R4_MC02g03374	5051.44	4098.71	2365.82	2584.87
MvSl-1064-A1-R4_MC02g03375	31.6899	24.9979	0	4.3635
MvSl-1064-A1-R4_MC02g03376	594.237	366.067	330.281	362.866
MvSl-1064-A1-R4_MC02g03377	273.623	248.46	196.01	266.53
MvSl-1064-A1-R4_MC02g03378	0	0	0	0
MvSl-1064-A1-R4_MC02g03379	69	99	82	71
MvSl-1064-A1-R4_MC02g03380	693	625	626	567
MvSl-1064-A1-R4_MC02g03381	1533	1265	821	1306
MvSl-1064-A1-R4_MC02g03382	2340	2236	2424	2174
MvSl-1064-A1-R4_MC02g03383	12	2.11707	25.6043	31
MvSl-1064-A1-R4_MC02g03384	7077.06	5650.1	1082.68	928.203
MvSl-1064-A1-R4_MC02g03385	333.495	263.255	291.448	216.836
MvSl-1064-A1-R4_MC02g03386	3.1741	5.05411	2.71231	2.2093
MvSl-1064-A1-R4_MC02g03387	13.0365	5.43581	3.63006	6.36158
MvSl-1064-A1-R4_MC02g03388	0	0	1.90934	0
MvSl-1064-A1-R4_MC02g03389	570	699	766	510
MvSl-1064-A1-R4_MC02g03390	678	787	658	534
MvSl-1064-A1-R4_MC02g03391	656.053	582.162	477.323	511.325
MvSl-1064-A1-R4_MC02g03392	89.1473	61.1191	247.942	242.82
MvSl-1064-A1-R4_MC02g03393	0	2	0	0
MvSl-1064-A1-R4_MC02g03394	586.453	466.651	141.667	117.229
MvSl-1064-A1-R4_MC02g03395	32.9561	19.9593	17.9542	15
MvSl-1064-A1-R4_MC02g03396	997.477	880.701	858.418	920.337
MvSl-1064-A1-R4_MC02g03397	451.237	321.298	300.732	299.357
MvSl-1064-A1-R4_MC02g03398	2.47211	4.14074	0	2.26036
MvSl-1064-A1-R4_MC02g03399	0	1.42842	5.99568	0
MvSl-1064-A1-R4_MC02g03400	15.9877	13.2088	3.06863	1.92402
MvSl-1064-A1-R4_MC02g03401	0	0	2.11227	0
MvSl-1064-A1-R4_MC02g03402	39.115	24.371	82.2668	30.0977
MvSl-1064-A1-R4_MC02g03403	101.105	61.2568	59.9148	81.3075
MvSl-1064-A1-R4_MC02g03404	1.00226	0	0	0
MvSl-1064-A1-R4_MC02g03405	41.4835	22.9626	28.3357	29.9319
MvSl-1064-A1-R4_MC02g03406	0	0	0.761838	0
MvSl-1064-A1-R4_MC02g03407	2.06039	0	1.5025	0
MvSl-1064-A1-R4_MC02g03408	0	0	0	1.06158
MvSl-1064-A1-R4_MC02g03409	0	0	0	1.01852
MvSl-1064-A1-R4_MC02g03410	0	0	1	1
MvSl-1064-A1-R4_MC02g03411	0	0	0	0
MvSl-1064-A1-R4_MC02g03412	0	0	0	0
MvSl-1064-A1-R4_MC02g03413	1.39409	1.09826	0	0
MvSl-1064-A1-R4_MC02g03414	0	0	0	0
MvSl-1064-A1-R4_MC02g03416	1	0	6.92E-07	0
MvSl-1064-A1-R4_MC02g03417	213.609	248.799	114.677	100.725
MvSl-1064-A1-R4_MC02g03418	24.1643	15.2839	29.2271	17.1909
MvSl-1064-A1-R4_MC02g03419	0	0	0	0
MvSl-1064-A1-R4_MC02g03424	120.994	191.36	107.459	102.896
MvSl-1064-A1-R4_MC02g03425	19.0953	21.9631	23.1916	22.2695
MvSl-1064-A1-R4_MC02g03426	0	1.4135	0	0
MvSl-1064-A1-R4_MC02g03430	132.881	116.972	50.5844	0.555382
MvSl-1064-A1-R4_MC02g03432	8.00372	1.62896	52.495	64.765
MvSl-1064-A1-R4_MC02g03433	9.17268	9.21641	702.497	441.464
MvSl-1064-A1-R4_MC02g03434	0.00980698	0.00967521	2.09384	54.8257
MvSl-1064-A1-R4_MC02g03438	0	0	0	0
MvSl-1064-A1-R4_MC02g03442	8.00372	2.71155	242.599	108.571
MvSl-1064-A1-R4_MC02g03443	1.84181	5.81296	2.65427	1.14043
MvSl-1064-A1-R4_MC02g03444	14.4074	8.63706	1.58989	0
MvSl-1064-A1-R4_MC02g03445	0	0	25.5405	14.6906
MvSl-1064-A1-R4_MC02g03446	24.3421	21.2275	18.5817	11.3147
MvSl-1064-A1-R4_MC02g03447	7	4.2088	8	6.17441
MvSl-1064-A1-R4_MC02g03448	1.00572	0	0	0
MvSl-1064-A1-R4_MC02g03449	0	0	0	0
MvSl-1064-A1-R4_MC02g03450	6.27941	3	0	0
MvSl-1064-A1-R4_MC02g03451	10	6	40.0273	50.1513
MvSl-1064-A1-R4_MC02g03452	1.77168	0	3.31506	0
MvSl-1064-A1-R4_MC02g03453	89.7887	79.1668	1193.75	932.146
MvSl-1064-A1-R4_MC02g03454	1109.08	1072.71	1236.04	1094.29
MvSl-1064-A1-R4_MC02g03455	124.16	105.341	28	7.24408
MvSl-1064-A1-R4_MC02g03456	17837.9	14873.9	15275	16910
MvSl-1064-A1-R4_MC02g03457	1502	2263	1860	1284
MvSl-1064-A1-R4_MC02g03458	1714	1612	1248	1340
MvSl-1064-A1-R4_MC02g03459	94	60	61	73
MvSl-1064-A1-R4_MC02g03460	239	124	107	221
MvSl-1064-A1-R4_MC02g03461	367	171	216	302
MvSl-1064-A1-R4_MC02g03462	816	493	500	746
MvSl-1064-A1-R4_MC02g03463	589	462	419	526
MvSl-1064-A1-R4_MC02g03464	1352	1496	1230	1250
MvSl-1064-A1-R4_MC02g03465	420	506	421	365
MvSl-1064-A1-R4_MC02g03466	71	61	60	50
MvSl-1064-A1-R4_MC02g03467	77.2653	55.489	97.4777	127.379
MvSl-1064-A1-R4_MC02g03468	25.8703	13.8391	34.203	38.8185
MvSl-1064-A1-R4_MC02g03469	144.199	102.101	20.0058	16.0048
MvSl-1064-A1-R4_MC02g03470	53.0802	20.6249	14.3042	19.4821
MvSl-1064-A1-R4_MC02g03471	443.533	198.822	109.697	126.386
MvSl-1064-A1-R4_MC02g03472	504.405	363.562	548.013	582.097
MvSl-1064-A1-R4_MC02g03473	533.505	428.839	437.949	471.265
MvSl-1064-A1-R4_MC02g03474	11.529	9.41845	11.4725	19.5942
MvSl-1064-A1-R4_MC02g03475	9.79405	13.7635	6	8.45596
MvSl-1064-A1-R4_MC02g03476	209.065	173.4	118.784	135.985
MvSl-1064-A1-R4_MC02g03477	15.7097	25.6525	14.1072	10.8685
MvSl-1064-A1-R4_MC02g03480	763.569	660.656	506.761	473.875
MvSl-1064-A1-R4_MC02g03481	70.3873	68.5971	31.0804	26
MvSl-1064-A1-R4_MC02g03482	785.894	787.864	306.4	303.119
MvSl-1064-A1-R4_MC02g03483	1056.83	1144.06	872.945	796.202
MvSl-1064-A1-R4_MC02g03484	667.328	799.153	565.03	364.426
MvSl-1064-A1-R4_MC02g03485	112	132	92	89
MvSl-1064-A1-R4_MC02g03486	1459	1856	1682	1498
MvSl-1064-A1-R4_MC02g03487	2172	2218	2279	1962
MvSl-1064-A1-R4_MC02g03488	1483	1511	1372	1311
MvSl-1064-A1-R4_MC02g03489	5315	6919	8645	5809
MvSl-1064-A1-R4_MC02g03490	1437	1525	1088	1050
MvSl-1064-A1-R4_MC02g03491	802.346	638.62	402.596	466.478
MvSl-1064-A1-R4_MC02g03493	1202.45	1276.63	636.705	545.682
MvSl-1064-A1-R4_MC02g03494	266	300	293.633	244.889
MvSl-1064-A1-R4_MC02g03495	649.201	618.686	157.395	188.93
MvSl-1064-A1-R4_MC02g03496	18.1629	24.8948	1.02637	5.99987
MvSl-1064-A1-R4_MC02g03497	2.62205	3.06592	3.09977	1
MvSl-1064-A1-R4_MC02g03498	5832	7410	5334	4310
MvSl-1064-A1-R4_MC02g03499	649.904	999.74	836.995	602
MvSl-1064-A1-R4_MC02g03500	91.4745	59.9829	44.7788	53.056
MvSl-1064-A1-R4_MC02g03501	101.882	71.3881	81.641	103.032
MvSl-1064-A1-R4_MC02g03502	50	25	13	21
MvSl-1064-A1-R4_MC02g03503	55	34	26	27
MvSl-1064-A1-R4_MC02g03504	1696	1235	1107	1633
MvSl-1064-A1-R4_MC02g03505	2279	2115	1682	1846
MvSl-1064-A1-R4_MC02g03506	41	55	17	28
MvSl-1064-A1-R4_MC02g03507	9022	9849	7834	7303
MvSl-1064-A1-R4_MC02g03508	32.1571	22	142	92
MvSl-1064-A1-R4_MC02g03509	28	17	4	7
MvSl-1064-A1-R4_MC02g03510	708.307	750.673	523.939	498.343
MvSl-1064-A1-R4_MC02g03511	930.468	936.76	560.508	581.946
MvSl-1064-A1-R4_MC02g03512	854.815	467.703	364.996	532.873
MvSl-1064-A1-R4_MC02g03513	447.803	409.592	578.24	688.904
MvSl-1064-A1-R4_MC02g03514	20.2561	13.2151	22	30.4549
MvSl-1064-A1-R4_MC02g03515	2508.38	1900.12	2007.62	2160.72
MvSl-1064-A1-R4_MC02g03516	369.124	388.192	406.947	362.795
MvSl-1064-A1-R4_MC02g03517	353.607	403.305	501.317	379.319
MvSl-1064-A1-R4_MC02g03518	211.603	147.368	179.023	207.86
MvSl-1064-A1-R4_MC02g03519	127.792	80.8514	55.7627	78
MvSl-1064-A1-R4_MC02g03520	17.184	19	9.1031	11.1311
MvSl-1064-A1-R4_MC02g03521	86.4079	57	90.4291	126.826
MvSl-1064-A1-R4_MC02g03522	37.3824	28.4105	525.429	770.48
MvSl-1064-A1-R4_MC02g03523	165.235	144.815	1.00259	2.00644
MvSl-1064-A1-R4_MC02g03524	821	831	729	635
MvSl-1064-A1-R4_MC02g03525	661	756	699	488
MvSl-1064-A1-R4_MC02g03526	1850.22	1448.97	1233.7	1633.93
MvSl-1064-A1-R4_MC02g03527	437	419	377	372
MvSl-1064-A1-R4_MC02g03528	1429	1522	1562	1455
MvSl-1064-A1-R4_MC02g03529	1746	2035	1884	1581
MvSl-1064-A1-R4_MC02g03530	2130	2203	1997	2078
MvSl-1064-A1-R4_MC02g03531	1012	1067	939	902
MvSl-1064-A1-R4_MC02g03532	4928	4531	3627	3690
MvSl-1064-A1-R4_MC02g03533	25.6311	32.7957	10.7055	14.7637
MvSl-1064-A1-R4_MC02g03534	7.38039	11.9557	7.26887	9.21438
MvSl-1064-A1-R4_MC02g03535	2661	2366	1970	2275
MvSl-1064-A1-R4_MC02g03536	2594	2392	1836	1844
MvSl-1064-A1-R4_MC02g03537	58	58	67	60
MvSl-1064-A1-R4_MC02g03538	869	971	861	830
MvSl-1064-A1-R4_MC02g03539	6493	7016	6583	6130
MvSl-1064-A1-R4_MC02g03541	116	169	132	113
MvSl-1064-A1-R4_MC02g03542	525	649	554	459
MvSl-1064-A1-R4_MC02g03543	2213	2419	2718	2260
MvSl-1064-A1-R4_MC02g03544	6459	7021	5534	4659
MvSl-1064-A1-R4_MC02g03546	1075	1670	1810	1190
MvSl-1064-A1-R4_MC02g03547	2486	3148	2594	1989
MvSl-1064-A1-R4_MC02g03548	783.535	586.09	488.482	480.479
MvSl-1064-A1-R4_MC02g03549	190.898	189.16	185.649	142.049
MvSl-1064-A1-R4_MC02g03550	0	0	0	0
MvSl-1064-A1-R4_MC02g03551	1243	1247	988	1040
MvSl-1064-A1-R4_MC02g03552	1211	1170	990	947
MvSl-1064-A1-R4_MC02g03553	1009.29	712.207	774.226	621.643
MvSl-1064-A1-R4_MC02g03554	0	1	1	0
MvSl-1064-A1-R4_MC02g03555	110.022	81.8261	43.7413	55.7349
MvSl-1064-A1-R4_MC02g03557	115.482	79.1304	92.1088	123.206
MvSl-1064-A1-R4_MC02g03558	397.575	386.152	260.45	278.593
MvSl-1064-A1-R4_MC02g03559	61	58.9116	47.7491	51.9232
MvSl-1064-A1-R4_MC02g03560	3	6	8	2
MvSl-1064-A1-R4_MC02g03561	5004	4759	3650	4164
MvSl-1064-A1-R4_MC02g03562	812	991	695	693
MvSl-1064-A1-R4_MC02g03563	73	58	36	42
MvSl-1064-A1-R4_MC02g03564	249.004	263	218.001	162
MvSl-1064-A1-R4_MC02g03565	202.855	180.112	259.652	300.365
MvSl-1064-A1-R4_MC02g03566	9.62009	2.14552	3.22671	0
MvSl-1064-A1-R4_MC02g03567	533.145	414.747	284.88	395.89
MvSl-1064-A1-R4_MC02g03568	1455.47	1488.45	1417.88	1405.76
MvSl-1064-A1-R4_MC02g03569	5840	7498	4942	4398
MvSl-1064-A1-R4_MC02g03570	83	53	32	51
MvSl-1064-A1-R4_MC02g03571	16	18	7	16
MvSl-1064-A1-R4_MC02g03572	4220	4560	4022	3851
MvSl-1064-A1-R4_MC02g03573	322	313	214	250
MvSl-1064-A1-R4_MC02g03574	247	271	355	256
MvSl-1064-A1-R4_MC02g03575	42	56	97	50
MvSl-1064-A1-R4_MC02g03576	2723	4278	5896	2853
MvSl-1064-A1-R4_MC02g03577	1016.05	871.241	635.948	722.571
MvSl-1064-A1-R4_MC02g03578	7.15109	1.19817	3.90296	3.98693
MvSl-1064-A1-R4_MC02g03579	4863.79	3566.97	93.2616	116.28
MvSl-1064-A1-R4_MC02g03580	210	179	128	166
MvSl-1064-A1-R4_MC02g03581	863	1106	1427	999
MvSl-1064-A1-R4_MC02g03582	2198	2701	2559	2069
MvSl-1064-A1-R4_MC02g03583	2907	2822	2413	2451
MvSl-1064-A1-R4_MC02g03584	201.098	258.256	70.5588	77.677
MvSl-1064-A1-R4_MC02g03585	7044	6443	4378	5077
MvSl-1064-A1-R4_MC02g03586	149	179	207	139
MvSl-1064-A1-R4_MC02g03587	3229	3083	3103	3174
MvSl-1064-A1-R4_MC02g03588	1645	1989	2227	1802
MvSl-1064-A1-R4_MC02g03589	1851	1854	1703	1374
