gida1	A1_1	A1_2	A2_1	A2_2						
MvSl-1064-A1-R4_MC13g11317	141.649	108.188	143	114						
MvSl-1064-A1-R4_MC13g11318	58.2216	45.3634	82.0229	47.2744						
MvSl-1064-A1-R4_MC13g11319	6.00871	1	3	3						
MvSl-1064-A1-R4_MC13g11320	5533.12	4613.65	6263.15	5219.37						
MvSl-1064-A1-R4_MC13g11321	141.365	79.8365	171.699	161.838						
MvSl-1064-A1-R4_MC13g11324	95.9113	78.5831	97.9577	56.1563						
MvSl-1064-A1-R4_MC13g11325	172.921	202.377	458.261	418.129						
MvSl-1064-A1-R4_MC13g11326	375.177	449.311	440.036	512.684						
MvSl-1064-A1-R4_MC13g11327	9.77056	11.6467	16.2427	13.6493						
MvSl-1064-A1-R4_MC13g11328	381.318	376.275	281.889	321.107						
MvSl-1064-A1-R4_MC13g11329	100.711	140.505	232.025	213.264						
MvSl-1064-A1-R4_MC13g11330	986.066	1295.92	871.72	676.938						
MvSl-1064-A1-R4_MC13g11331	3021.2	4449.81	1248.96	1470.8						
MvSl-1064-A1-R4_MC13g11332	66.0193	72.5119	66.9505	68.3471						
MvSl-1064-A1-R4_MC13g11333	81.3575	99.2802	161.331	127.267						
MvSl-1064-A1-R4_MC13g11334	363.77	373.014	378.183	727.796						
MvSl-1064-A1-R4_MC13g11339	4	6	12	9						
MvSl-1064-A1-R4_MC13g11340	130.089	103.417	143.042	138.844						
MvSl-1064-A1-R4_MC13g11347	45	28	54	29						
MvSl-1064-A1-R4_MC13g11348	136	144	150	171						
MvSl-1064-A1-R4_MC13g11349	85	85	103	102						
MvSl-1064-A1-R4_MC13g11350	10648	8021	12108	8770						
MvSl-1064-A1-R4_MC13g11351	898	625	1092	402						
MvSl-1064-A1-R4_MC13g11352	824	442	938	341						
MvSl-1064-A1-R4_MC13g11353	1566	1640	1725	1631						
MvSl-1064-A1-R4_MC13g11354	1205	1469	1328	1670						
MvSl-1064-A1-R4_MC13g11355	786	1062	937	1021						
MvSl-1064-A1-R4_MC13g11356	29	30	6	19						
MvSl-1064-A1-R4_MC13g11357	1	0	1	0						
MvSl-1064-A1-R4_MC13g11358	0	0	1	0						
MvSl-1064-A1-R4_MC13g11359	15.1631	28.8321	42.6035	38.522						
MvSl-1064-A1-R4_MC13g11360	481.065	604.102	758.729	834.841						
MvSl-1064-A1-R4_MC13g11361	156	103	81	69.9882						
MvSl-1064-A1-R4_MC13g11362	399	424	552	527						
MvSl-1064-A1-R4_MC13g11363	1176	1371	1564	1616						
MvSl-1064-A1-R4_MC13g11364	2969	2735	2826	2791						
MvSl-1064-A1-R4_MC13g11365	131.079	111	117.208	72.112						
MvSl-1064-A1-R4_MC13g11366	6	7	9	3						
MvSl-1064-A1-R4_MC13g11367	0	0	0	0						
MvSl-1064-A1-R4_MC13g11368	8.62194	7.75403	28.4162	12.8829						
MvSl-1064-A1-R4_MC13g11369	23.2017	18.1634	32.4026	25						
MvSl-1064-A1-R4_MC13g11370	1037.98	941.981	1448.4	1127.25						
MvSl-1064-A1-R4_MC13g11371	2541	2190	2983	2938						
MvSl-1064-A1-R4_MC13g11372	625	825	767	890						
MvSl-1064-A1-R4_MC13g11373	1542	1504	1674	1805						
MvSl-1064-A1-R4_MC13g11374	23	18	41	28						
MvSl-1064-A1-R4_MC13g11375	620	652	861	881						
MvSl-1064-A1-R4_MC13g11376	943.891	754.815	1310.92	914						
MvSl-1064-A1-R4_MC13g11377	16	15	31	24						
MvSl-1064-A1-R4_MC13g11378	4525	3235	6002	4679						
MvSl-1064-A1-R4_MC13g11379	1184	744	1384	1152						
MvSl-1064-A1-R4_MC13g11380	4	3	6	7						
MvSl-1064-A1-R4_MC13g11381	725.598	658.588	1392.82	1035.82						
MvSl-1064-A1-R4_MC13g11382	414	691	385	539						
MvSl-1064-A1-R4_MC13g11383	1016	1303	952	1046						
MvSl-1064-A1-R4_MC13g11384	6	2	7	5						
MvSl-1064-A1-R4_MC13g11385	339	407	429	483						
MvSl-1064-A1-R4_MC13g11386	7119	7029	6155	4970						
MvSl-1064-A1-R4_MC13g11387	1575	1614	1875	1970						
MvSl-1064-A1-R4_MC13g11388	872	1136	1174	1122						
MvSl-1064-A1-R4_MC13g11389	75	125	104	124						
MvSl-1064-A1-R4_MC13g11390	167.958	283.887	221.495	298.529						
MvSl-1064-A1-R4_MC13g11391	1063	1576	1387	1770						
MvSl-1064-A1-R4_MC13g11392	3327	3545	4197	4070						
MvSl-1064-A1-R4_MC13g11393	12	13	34	18						
MvSl-1064-A1-R4_MC13g11394	3695	3012	5405	3635						
MvSl-1064-A1-R4_MC13g11395	2645	2779	3450	3806						
MvSl-1064-A1-R4_MC13g11396	4821	4859	4837	7120						
MvSl-1064-A1-R4_MC13g11397	1899	1742	2237	2214						
MvSl-1064-A1-R4_MC13g11398	8776	6180	13005	9307						
MvSl-1064-A1-R4_MC13g11399	280	230	260	258						
MvSl-1064-A1-R4_MC13g11400	5567	2782	7553	4632						
MvSl-1064-A1-R4_MC13g11401	6770	5619	6399	5625						
MvSl-1064-A1-R4_MC13g11402	10	3	5	6						
MvSl-1064-A1-R4_MC13g11403	1	1	0	0						
MvSl-1064-A1-R4_MC13g11404	1207	1292	1125	1297						
MvSl-1064-A1-R4_MC13g11405	464	471	519	387						
MvSl-1064-A1-R4_MC13g11406	322	240	407	289						
MvSl-1064-A1-R4_MC13g11407	619	611	930	652						
MvSl-1064-A1-R4_MC13g11408	196	190	199.05	227.113						
MvSl-1064-A1-R4_MC13g11409	15	23	10	29						
MvSl-1064-A1-R4_MC13g11410	684	1396	1015	1752						
MvSl-1064-A1-R4_MC13g11411	3180	2913	4068	3227						
MvSl-1064-A1-R4_MC13g11412	151	246	178	264						
MvSl-1064-A1-R4_MC13g11413	443	491	499	563						
MvSl-1064-A1-R4_MC13g11414	996	1187	1013	1239						
MvSl-1064-A1-R4_MC13g11415	2085	1606	2497	1993						
MvSl-1064-A1-R4_MC13g11416	29	42	111	86						
MvSl-1064-A1-R4_MC13g11417	32	21	70	55						
MvSl-1064-A1-R4_MC13g11418	95	102	308	257						
MvSl-1064-A1-R4_MC13g11419	3102	2326	4209	3561						
MvSl-1064-A1-R4_MC13g11420	2081	2320	2364	2766						
MvSl-1064-A1-R4_MC13g11421	18	16	14	15						
MvSl-1064-A1-R4_MC13g11422	388	472	495	532						
MvSl-1064-A1-R4_MC13g11423	1635	1872	1545	1985						
MvSl-1064-A1-R4_MC13g11424	4621	5364	4712	6014						
MvSl-1064-A1-R4_MC13g11425	285	249	327	227						
MvSl-1064-A1-R4_MC13g11426	0	1	1	3						
MvSl-1064-A1-R4_MC13g11428	26	35	16.6095	19						
MvSl-1064-A1-R4_MC13g11429	3	0	4	5						
MvSl-1064-A1-R4_MC13g11430	22	20	31	12						
MvSl-1064-A1-R4_MC13g11431	0.079123	0	0	0						
MvSl-1064-A1-R4_MC13g11432	14.9209	13	42.1563	32						
MvSl-1064-A1-R4_MC13g11433	3667	4869	3772	4540						
MvSl-1064-A1-R4_MC13g11434	42	65	90	81						
MvSl-1064-A1-R4_MC13g11435	1399.66	1268.76	1697.8	1371.73						
MvSl-1064-A1-R4_MC13g11436	300	552	380	392						
MvSl-1064-A1-R4_MC13g11437	288	299	430	468						
MvSl-1064-A1-R4_MC13g11438	969	1228	1060	1113						
MvSl-1064-A1-R4_MC13g11439	1206	1073	1293	1222						
MvSl-1064-A1-R4_MC13g11440	2067	1813	2138	1726						
MvSl-1064-A1-R4_MC13g11441	595	953	672	757						
MvSl-1064-A1-R4_MC13g11442	1770	1494	2187	1716						
MvSl-1064-A1-R4_MC13g11443	2200	1918	4344	3258						
MvSl-1064-A1-R4_MC13g11444	363	249	484	311						
MvSl-1064-A1-R4_MC13g11445	4286	4770	3679	4513						
MvSl-1064-A1-R4_MC13g11446	1880	1976	2005	2222						
MvSl-1064-A1-R4_MC13g11447	3525	2874	4198	3371						
MvSl-1064-A1-R4_MC13g11448	2983	2614	3311	3303						
MvSl-1064-A1-R4_MC13g11449	555	335	486	405						
MvSl-1064-A1-R4_MC13g11450	403	316	532	454						
MvSl-1064-A1-R4_MC13g11451	626	534	602	524						
MvSl-1064-A1-R4_MC13g11452	2277	2698	2120	2428						
MvSl-1064-A1-R4_MC13g11453	639	717	700	813						
MvSl-1064-A1-R4_MC13g11454	93	60	48	65						
MvSl-1064-A1-R4_MC13g11455	0	3	2	2						
MvSl-1064-A1-R4_MC13g11456	1842	2245	2469	2292						
MvSl-1064-A1-R4_MC13g11457	1650	1718	1873	2114						
MvSl-1064-A1-R4_MC13g11458	1111	1086	1212	1269						
MvSl-1064-A1-R4_MC13g11459	19.8857	17.3463	13.096	15.1097						
MvSl-1064-A1-R4_MC13g11460	992	867	1240	1008						
MvSl-1064-A1-R4_MC13g11461	2055	2163	2195	2418						
MvSl-1064-A1-R4_MC13g11462	249	297	485	608						
MvSl-1064-A1-R4_MC13g11463	153	186	219	266						
MvSl-1064-A1-R4_MC13g11464	15763	13544	21874	19083						
MvSl-1064-A1-R4_MC13g11465	107	44	92	42						
MvSl-1064-A1-R4_MC13g11466	5527	8438	5613	10186						
MvSl-1064-A1-R4_MC13g11467	1490	1519	1772	1933						
MvSl-1064-A1-R4_MC13g11468	755	699	815	820						
MvSl-1064-A1-R4_MC13g11469	626	760	759	809						
MvSl-1064-A1-R4_MC13g11470	3371	4001	2994	3791						
MvSl-1064-A1-R4_MC13g11471	1832	1956	2008	2114						
MvSl-1064-A1-R4_MC13g11472	1653	2004	1624	1899						
MvSl-1064-A1-R4_MC13g11473	954	1178	987	1181						
MvSl-1064-A1-R4_MC13g11474	5445	7639	5868	6730						
MvSl-1064-A1-R4_MC13g11475	47	46	64	55						
MvSl-1064-A1-R4_MC13g11476	1680	1708	2058	1926						
MvSl-1064-A1-R4_MC13g11477	10488	6760	10727	6128						
MvSl-1064-A1-R4_MC13g11478	1806	2684	1829	2672						
MvSl-1064-A1-R4_MC13g11479	1352	2450	1370	2209						
MvSl-1064-A1-R4_MC13g11480	1132	1345	1283	1292						
MvSl-1064-A1-R4_MC13g11481	333	606	415	511						
MvSl-1064-A1-R4_MC13g11482	0	0	0	0						
MvSl-1064-A1-R4_MC13g11483	383.112	305.674	420.013	309.233						
MvSl-1064-A1-R4_MC13g11484	1042.26	1334.86	1149.43	1141.28						
MvSl-1064-A1-R4_MC13g11485	1.60541	0	27.4027	36.8223						
MvSl-1064-A1-R4_MC13g11488	4.74057	8.74549	3.28549	4.8667						
MvSl-1064-A1-R4_MC13g11489	5.16239	0	2.91419	3.58047						
MvSl-1064-A1-R4_MC13g11490	1734	2266	1519	1728						
MvSl-1064-A1-R4_MC13g11491	0	1	0	0						
MvSl-1064-A1-R4_MC13g11492	94	71	116	99						
MvSl-1064-A1-R4_MC13g11493	0	0	0	0						
MvSl-1064-A1-R4_MC13g11494	1793	1983	1998	1895						
MvSl-1064-A1-R4_MC13g11495	277	296	336	354						
MvSl-1064-A1-R4_MC13g11496	702	851	800	875						
MvSl-1064-A1-R4_MC13g11497	478	479	527	576						
MvSl-1064-A1-R4_MC13g11498	213	173	286	266						
MvSl-1064-A1-R4_MC13g11499	346	308	409	420						
MvSl-1064-A1-R4_MC13g11500	122	215	146	192						
MvSl-1064-A1-R4_MC13g11501	127	119	120	131						
MvSl-1064-A1-R4_MC13g11502	189	180	167	177						
MvSl-1064-A1-R4_MC13g11503	582	493	663	481						
MvSl-1064-A1-R4_MC13g11504	61	48	60	62						
MvSl-1064-A1-R4_MC13g11505	19	13	17	21						
MvSl-1064-A1-R4_MC13g11506	601	708	625	801						
MvSl-1064-A1-R4_MC13g11507	1878	3431	2095	3182						
MvSl-1064-A1-R4_MC13g11508	753	716	784	807						
MvSl-1064-A1-R4_MC13g11509	2492	2765	1982	2211						
MvSl-1064-A1-R4_MC13g11510	2921	2794	3150	3203						
MvSl-1064-A1-R4_MC13g11511	770	817	837	953						
MvSl-1064-A1-R4_MC13g11512	5110	4777	6729	6907						
MvSl-1064-A1-R4_MC13g11513	1873	2149	2216	2229						
MvSl-1064-A1-R4_MC13g11514	259	209	265	175						
MvSl-1064-A1-R4_MC13g11515	5540	4929	6061	5761						
MvSl-1064-A1-R4_MC13g11516	1795	2154	1659	1678						
MvSl-1064-A1-R4_MC13g11517	1032	1191	1196	1308						
MvSl-1064-A1-R4_MC13g11518	2039	2164	2375	2132						
MvSl-1064-A1-R4_MC13g11519	785	499	700	476						
MvSl-1064-A1-R4_MC13g11520	213	164	162	126						
MvSl-1064-A1-R4_MC13g11521	2302	1992	2060	2290						
MvSl-1064-A1-R4_MC13g11522	477	307	525	394						
MvSl-1064-A1-R4_MC13g11523	68	47	121	71						
MvSl-1064-A1-R4_MC13g11524	129	86	133	115						
MvSl-1064-A1-R4_MC13g11525	1898	1759	2070	1927						
MvSl-1064-A1-R4_MC13g11526	1369	1531	1606	1937						
MvSl-1064-A1-R4_MC13g11527	1931	1908	2490	2605						
MvSl-1064-A1-R4_MC13g11528	3983	4891	4235	5045						
MvSl-1064-A1-R4_MC13g11529	3613	2447	5035	3924						
MvSl-1064-A1-R4_MC13g11530	1465	5274	1290	3193						
MvSl-1064-A1-R4_MC13g11531	1100	1477	1165	1460						
MvSl-1064-A1-R4_MC13g11532	5278	7021	4724	5091						
MvSl-1064-A1-R4_MC13g11533	1315	1518	1227	1364						
MvSl-1064-A1-R4_MC13g11534	49541	62298	53850	62868						
MvSl-1064-A1-R4_MC13g11535	10235	9063	10500	9422						
MvSl-1064-A1-R4_MC13g11536	0	3	3	3						
MvSl-1064-A1-R4_MC13g11537	826	769	802	931						
MvSl-1064-A1-R4_MC13g11538	131	110	191	187						
MvSl-1064-A1-R4_MC13g11539	738	585	879	796						
MvSl-1064-A1-R4_MC13g11540	6	14	3	21						
MvSl-1064-A1-R4_MC13g11541	26	52	28	41						
MvSl-1064-A1-R4_MC13g11542	114	215	215	307						
MvSl-1064-A1-R4_MC13g11543	91	106	145	150						
MvSl-1064-A1-R4_MC13g11544	479	530	876	852						
MvSl-1064-A1-R4_MC13g11545	686	620	783	733						
MvSl-1064-A1-R4_MC13g11546	3508	4504	3742	4414						
MvSl-1064-A1-R4_MC13g11547	1455	1476	1562	1583						
MvSl-1064-A1-R4_MC13g11548	1291	1386	1411	1425						
MvSl-1064-A1-R4_MC13g11549	1892	1812	1810	2217						
MvSl-1064-A1-R4_MC13g11550	1601.07	1442.23	2558.14	2330.06						
MvSl-1064-A1-R4_MC13g11551	74.4056	222.515	906.516	1310.15						
MvSl-1064-A1-R4_MC13g11552	402	451	351	327						
MvSl-1064-A1-R4_MC13g11553	154.872	146.299	177.444	143.732						
MvSl-1064-A1-R4_MC13g11554	2.0046	3	0	4						
MvSl-1064-A1-R4_MC13g11555	10	4	4	4						
MvSl-1064-A1-R4_MC13g11556	318.905	395.664	469.117	549.294						
MvSl-1064-A1-R4_MC13g11557	48.3747	35.8914	40.8736	18.3279						
MvSl-1064-A1-R4_MC13g11558	56.3205	55.5654	77.1378	47.4561						
MvSl-1064-A1-R4_MC13g11559	0	0	1	0						
MvSl-1064-A1-R4_MC13g11560	1546	2104	1541	1908						
MvSl-1064-A1-R4_MC13g11561	1512	1975	1598	2166						
MvSl-1064-A1-R4_MC13g11562	551	786	534	791						
MvSl-1064-A1-R4_MC13g11563	37	57	28	43						
MvSl-1064-A1-R4_MC13g11564	8330	9246	11424	12120						
MvSl-1064-A1-R4_MC13g11565	938	918	1125	1166						
MvSl-1064-A1-R4_MC13g11566	2009	2069	2217	2467						
MvSl-1064-A1-R4_MC13g11567	2832	3103	2700	2697						
MvSl-1064-A1-R4_MC13g11568	889	1073	913	984						
MvSl-1064-A1-R4_MC13g11569	624	619	669	692						
MvSl-1064-A1-R4_MC13g11570	315	454	384	517						
MvSl-1064-A1-R4_MC13g11571	267	265	304	330						
MvSl-1064-A1-R4_MC13g11572	77.9867	43.1671	94.951	53.4227						
MvSl-1064-A1-R4_MC13g11573	2118	3731	2901	3401						
MvSl-1064-A1-R4_MC13g11574	587	666	552	663						
MvSl-1064-A1-R4_MC13g11575	563	431	540	462						
MvSl-1064-A1-R4_MC13g11576	437	478	749	779						
MvSl-1064-A1-R4_MC13g11577	1624	1577	1707	1704						
MvSl-1064-A1-R4_MC13g11578	6580	6672	6977	7677						
MvSl-1064-A1-R4_MC13g11579	2633	3141	3103	2958						
MvSl-1064-A1-R4_MC13g11580	486	500	488	534						
MvSl-1064-A1-R4_MC13g11581	2	2	1	3						
MvSl-1064-A1-R4_MC13g11582	698	814	715	851						
MvSl-1064-A1-R4_MC13g11583	1332	1711	1216	1281						
MvSl-1064-A1-R4_MC13g11584	246	343	626	628						
MvSl-1064-A1-R4_MC13g11585	1203	1332	1299	1454						
MvSl-1064-A1-R4_MC13g11586	1079	1134	1216	1464						
MvSl-1064-A1-R4_MC13g11587	1581	2632	1583	2550						
MvSl-1064-A1-R4_MC13g11588	263	422	249	308						
MvSl-1064-A1-R4_MC13g11589	2037	3379	1745	2878						
MvSl-1064-A1-R4_MC13g11590	489	529	601	583						
MvSl-1064-A1-R4_MC13g11591	1901	2396	1825	1913						
MvSl-1064-A1-R4_MC13g11592	1280	1755	1509	1834						
MvSl-1064-A1-R4_MC13g11593	383	523	373	414						
MvSl-1064-A1-R4_MC13g11594	806	965	1040	1424						
MvSl-1064-A1-R4_MC13g11595	1510	1820	1620	1984						
MvSl-1064-A1-R4_MC13g11596	13	10	10	8						
MvSl-1064-A1-R4_MC13g11597	762	1415	981	1214						
MvSl-1064-A1-R4_MC13g11598	37	51	91	71						
MvSl-1064-A1-R4_MC13g11599	51423	85422	80814	91607						
MvSl-1064-A1-R4_MC13g11600	1017	1315	1192	1250						
MvSl-1064-A1-R4_MC13g11601	715	819	809	857						
MvSl-1064-A1-R4_MC13g11602	745	947	1087	1172						
MvSl-1064-A1-R4_MC13g11603	3957.29	3900.24	4986.93	4870.31						
MvSl-1064-A1-R4_MC13g11604	384.518	610.132	428.726	552.168						
MvSl-1064-A1-R4_MC13g11605	4268	6155	5114	6749						
MvSl-1064-A1-R4_MC13g11606	257	355	367	426						
MvSl-1064-A1-R4_MC13g11607	1142	735	1394	938						
MvSl-1064-A1-R4_MC13g11608	68	68	59	83						
MvSl-1064-A1-R4_MC13g11609	8	1	13	4						
MvSl-1064-A1-R4_MC13g11610	45.4995	45.361	53.2985	37.7091						
MvSl-1064-A1-R4_MC13g11611	571	523	744	621						
MvSl-1064-A1-R4_MC13g11612	9.31182	6.50033	3.18567	2.08918						
MvSl-1064-A1-R4_MC13g11613	15	18	39	31						
MvSl-1064-A1-R4_MC13g11614	87752	109316	89718	132537						
MvSl-1064-A1-R4_MC13g11615	23	14	12	12						
MvSl-1064-A1-R4_MC13g11616	1660	1597	2893	2614						
MvSl-1064-A1-R4_MC13g11617	2482	2361	2738	2948						
MvSl-1064-A1-R4_MC13g11618	7	5	12	8						
MvSl-1064-A1-R4_MC13g11619	1687	647	1516	1038						
MvSl-1064-A1-R4_MC13g11620	12	6	10	11						
MvSl-1064-A1-R4_MC13g11621	2667	2300	3163	2950						
MvSl-1064-A1-R4_MC13g11622	9	5	18	22						
MvSl-1064-A1-R4_MC13g11623	515	301	982	644						
MvSl-1064-A1-R4_MC13g11624	156	88	290	129						
MvSl-1064-A1-R4_MC13g11625	573	841	573	764						
MvSl-1064-A1-R4_MC13g11626	554	595	552	588						
MvSl-1064-A1-R4_MC13g11627	498	590	692.328	665						
MvSl-1064-A1-R4_MC13g11628	27	21	76	37						
MvSl-1064-A1-R4_MC13g11629	448	201	711	238						
MvSl-1064-A1-R4_MC13g11630	5629	5036	5925	5247						
MvSl-1064-A1-R4_MC13g11631	2494	2654	2579	3007						
MvSl-1064-A1-R4_MC13g11632	1294	1517	1250	1512						
MvSl-1064-A1-R4_MC13g11633	1213	1342	1206	1352						
MvSl-1064-A1-R4_MC13g11634	1922	2703	2191	3195						
MvSl-1064-A1-R4_MC13g11635	144	150	213	207						
MvSl-1064-A1-R4_MC13g11636	49	34	66	48						
MvSl-1064-A1-R4_MC13g11637	1	1	2	1						
MvSl-1064-A1-R4_MC13g11638	323	362	449	404						
MvSl-1064-A1-R4_MC13g11639	418	423	461	454						
MvSl-1064-A1-R4_MC13g11640	734	1136	722	900						
MvSl-1064-A1-R4_MC13g11641	2039	2233	2003	2107						
MvSl-1064-A1-R4_MC13g11642	1828	1998	2009	2084						
MvSl-1064-A1-R4_MC13g11643	185	174	225	226						
MvSl-1064-A1-R4_MC13g11644	4433	4711	4569	4234						
MvSl-1064-A1-R4_MC13g11645	3852	6654	2629	3440						
MvSl-1064-A1-R4_MC13g11646	334	528	341	384						
MvSl-1064-A1-R4_MC13g11647	1452	1764	1530	1667						
MvSl-1064-A1-R4_MC13g11648	6396	8393	5987	7451						
MvSl-1064-A1-R4_MC13g11649	73	114	86	125						
MvSl-1064-A1-R4_MC13g11650	852	1051	814	1007						
MvSl-1064-A1-R4_MC13g11651	284	325	355	379						
MvSl-1064-A1-R4_MC13g11652	1194	950	1262	1097						
MvSl-1064-A1-R4_MC13g11653	3478	5968	3861	6333						
MvSl-1064-A1-R4_MC13g11654	985	845	1161	1056						
MvSl-1064-A1-R4_MC13g11655	476	368	589	545						
MvSl-1064-A1-R4_MC13g11656	471	606	620	749						
MvSl-1064-A1-R4_MC13g11657	1328	1581	1437	1684						
MvSl-1064-A1-R4_MC13g11658	2238	1964	2557	2417						
MvSl-1064-A1-R4_MC13g11659	1359	989	1622	1472						
MvSl-1064-A1-R4_MC13g11660	1701	1806	2102	2018						
MvSl-1064-A1-R4_MC13g11661	411	369	411	433						
MvSl-1064-A1-R4_MC13g11662	1605	1427	1940	1712						
MvSl-1064-A1-R4_MC13g11663	9914	7901	9424	8908						
MvSl-1064-A1-R4_MC13g11664	2493	3666	2338	2804						
MvSl-1064-A1-R4_MC13g11665	1139	1244	1068	1207						
MvSl-1064-A1-R4_MC13g11666	1139	1128	1039	1098						
MvSl-1064-A1-R4_MC13g11667	0	0	0	0						
MvSl-1064-A1-R4_MC13g11668	1	4	3	3						
MvSl-1064-A1-R4_MC13g11669	1245	1398	1382	1697						
MvSl-1064-A1-R4_MC13g11670	430	605	613	551						
MvSl-1064-A1-R4_MC13g11671	649	614	1056	1031						
MvSl-1064-A1-R4_MC13g11672	7833	7043	7933	6719						
MvSl-1064-A1-R4_MC13g11673	14463	12994	16472	16490						
MvSl-1064-A1-R4_MC13g11674	556	494	656	702						
MvSl-1064-A1-R4_MC13g11675	17.2062	31	31.2653	29						
MvSl-1064-A1-R4_MC13g11676	86	85	81	77						
MvSl-1064-A1-R4_MC13g11677	1601	1633	1983	1977						
MvSl-1064-A1-R4_MC13g11678	2199	2433	2168	2367						
MvSl-1064-A1-R4_MC13g11679	1951	2293	2102	2289						
MvSl-1064-A1-R4_MC13g11680	48	19	38	18						
MvSl-1064-A1-R4_MC13g11681	1379	1195	1202	1424						
MvSl-1064-A1-R4_MC13g11682	239	278	375	376						
MvSl-1064-A1-R4_MC13g11683	778	957	782	932						
MvSl-1064-A1-R4_MC13g11684	2865	3211	2847	3107						
MvSl-1064-A1-R4_MC13g11685	46	27	71	46						
MvSl-1064-A1-R4_MC13g11686	3969	6578	5129	7709						
MvSl-1064-A1-R4_MC13g11687	708	1021	1008	1267						
MvSl-1064-A1-R4_MC13g11688	533	340	321	332						
MvSl-1064-A1-R4_MC13g11689	899	974	1039	1133						
MvSl-1064-A1-R4_MC13g11690	184	186	175	165						
MvSl-1064-A1-R4_MC13g11691	558	588	620	682						
MvSl-1064-A1-R4_MC13g11692	506	586	1147	969						
MvSl-1064-A1-R4_MC13g11693	2001	2096	2529	2645						
MvSl-1064-A1-R4_MC13g11694	2616	2158	3238	3255						
MvSl-1064-A1-R4_MC13g11695	2103	2006	2251	2046						
MvSl-1064-A1-R4_MC13g11696	1321	1244	1572	1519						
MvSl-1064-A1-R4_MC13g11697	955	676	1154	761						
MvSl-1064-A1-R4_MC13g11698	1189	1038	1269	1172						
MvSl-1064-A1-R4_MC13g11699	2	2	1	0						
MvSl-1064-A1-R4_MC13g11700	13	8	15	9						
MvSl-1064-A1-R4_MC13g11701	3455	3230	3946	3415						
MvSl-1064-A1-R4_MC13g11702	987	1255	1161	1367						
MvSl-1064-A1-R4_MC13g11703	305	421	690	504						
MvSl-1064-A1-R4_MC13g11704	346	649	418	532						
MvSl-1064-A1-R4_MC13g11705	4054	3758	5242	4334						
MvSl-1064-A1-R4_MC13g11706	790	1060	1013	1229						
MvSl-1064-A1-R4_MC13g11707	539	522	584	668						
MvSl-1064-A1-R4_MC13g11708	213	178	245	271						
MvSl-1064-A1-R4_MC13g11709	1155	1343	1141	1452						
MvSl-1064-A1-R4_MC13g11710	55.2402	53.2171	95.5846	72.3454						
MvSl-1064-A1-R4_MC13g11711	7492	6694	9347	8553						
MvSl-1064-A1-R4_MC13g11712	2722	2823	2415	3009						
MvSl-1064-A1-R4_MC13g11713	2781	3025	3425	3767						
MvSl-1064-A1-R4_MC13g11714	388	301	985	692						
MvSl-1064-A1-R4_MC13g11715	272.366	340.11	4517.3	3130.73						
MvSl-1064-A1-R4_MC13g11716	1.00912	3	151.87	130.369						
MvSl-1064-A1-R4_MC13g11717	0	0	4.75118	0						
MvSl-1064-A1-R4_MC13g11718	0	0	0	0						
MvSl-1064-A1-R4_MC13g11719	1.20472	0	0	1.29266						
MvSl-1064-A1-R4_MC13g11720	37.1359	17.4095	40.5046	18.1512						
MvSl-1064-A1-R4_MC13g11721	0	0	0	0						
MvSl-1064-A1-R4_MC13g11723	0	5.92399	0	2.37047						
MvSl-1064-A1-R4_MC13g11724	0	0	0	0						
MvSl-1064-A1-R4_MC13g11726	0	0	0	0						
MvSl-1064-A1-R4_MC13g11727	1.29518	0	0	0						
MvSl-1064-A1-R4_MC13g11728	0	0	0	0						
MvSl-1064-A1-R4_MC14g11733	100.354	111.155	138.105	122.662						
MvSl-1064-A1-R4_MC14g11734	931	757	1121	915						
MvSl-1064-A1-R4_MC14g11735	1641	1250	1801	1636						
MvSl-1064-A1-R4_MC14g11736	305	457	347	426						
MvSl-1064-A1-R4_MC14g11737	4800	4709	5640	5203						
MvSl-1064-A1-R4_MC14g11738	379	322	353	362						
MvSl-1064-A1-R4_MC14g11739	4	4	0	0						
MvSl-1064-A1-R4_MC14g11740	18	18	3	4						
MvSl-1064-A1-R4_MC14g11741	2728	2748	2513	2612						
MvSl-1064-A1-R4_MC14g11742	424	557	467	552						
MvSl-1064-A1-R4_MC14g11743	164	223	173	216						
MvSl-1064-A1-R4_MC14g11744	2343	2162	2750	2495						
MvSl-1064-A1-R4_MC14g11745	112.395	269.524	196.521	312.955						
MvSl-1064-A1-R4_MC14g11746	1127.29	1765.64	1122.84	1503.98						
MvSl-1064-A1-R4_MC14g11747	36.6546	39.1766	105.265	95.5077						
MvSl-1064-A1-R4_MC14g11748	1312.39	1361.06	1658	1764						
MvSl-1064-A1-R4_MC14g11749	166.67	114.627	192.95	127.524						
MvSl-1064-A1-R4_MC14g11750	5819	4112	7778	5636						
MvSl-1064-A1-R4_MC14g11751	1230	1388	1275	1419						
MvSl-1064-A1-R4_MC14g11752	754	925	927	921						
MvSl-1064-A1-R4_MC14g11753	592	710	701	662						
MvSl-1064-A1-R4_MC14g11754	1140	1322	1367	1560						
MvSl-1064-A1-R4_MC14g11755	1511	1306	1846	1690						
MvSl-1064-A1-R4_MC14g11756	5141	3444	5763	4243						
MvSl-1064-A1-R4_MC14g11757	279	157	139	171						
MvSl-1064-A1-R4_MC14g11758	2973	3112	3325	3446						
MvSl-1064-A1-R4_MC14g11759	4701	3777	5347	4778						
MvSl-1064-A1-R4_MC14g11760	1304	1527	1496	1497						
