gida1	A1_1	A1_2	A2_1	A2_2						
MvSl-1064-A1-R4_A1g00628	191.806	276.024	0	5.07442						
MvSl-1064-A1-R4_A1g01431	2310	1884	2786	2221						
MvSl-1064-A1-R4_A1g01432	382	251	777	890						
MvSl-1064-A1-R4_A1g00997	2055	2302	353	296						
MvSl-1064-A1-R4_A1g00998	363	470	530	704						
MvSl-1064-A1-R4_A1g00956	530	703	2066.24	2127.02						
MvSl-1064-A1-R4_A1g00957	531	560	749	890						
MvSl-1064-A1-R4_A1g00958	2426	2793	1903	2152						
MvSl-1064-A1-R4_A1g00959	124	168	855	1000						
MvSl-1064-A1-R4_A1g00960	5251	4249	5598	4109						
MvSl-1064-A1-R4_A1g01045	14.571	24.9351	323.846	144.975						
MvSl-1064-A1-R4_A1g00968	1490.95	1247.97	1468	1543						
MvSl-1064-A1-R4_A1g00184	1283	1358	1520	1869						
MvSl-1064-A1-R4_A1g00316	221.776	165.373	71.568	75.868						
MvSl-1064-A1-R4_A1g00515	767	961	656	613						
MvSl-1064-A1-R4_A1g00514	6466	4726	6878	5298						
MvSl-1064-A1-R4_A1g00307	1910	2289	1592	1852						
MvSl-1064-A1-R4_A1g00503	1423	1822	2240	2369						
MvSl-1064-A1-R4_A1g00504	219	252	255	270						
MvSl-1064-A1-R4_A1g00505	1968	1186	1983	1243						
MvSl-1064-A1-R4_A1g00506	594	578	634	695						
MvSl-1064-A1-R4_A1g00507	1300.69	955.793	1376	1158						
MvSl-1064-A1-R4_A1g00510	1045	1067	1163	1259						
MvSl-1064-A1-R4_A1g00511	2166	2176	2276	2375						
MvSl-1064-A1-R4_A1g00512	641	642	728	788						
MvSl-1064-A1-R4_A1g00513	993	1069	1111	1167						
MvSl-1064-A1-R4_A1g01017	5608	6804	5918	5973						
MvSl-1064-A1-R4_A1g00969	58	66	134	114						
MvSl-1064-A1-R4_A1g00970	1294	1691	3154	3110						
MvSl-1064-A1-R4_A1g00971	892	1370	776	998						
MvSl-1064-A1-R4_A1g00972	1737	2462	714	727						
MvSl-1064-A1-R4_A1g01184	2384	2816	4056	4285						
MvSl-1064-A1-R4_A1g00804	57.16	60.8268	156.452	100.836						
MvSl-1064-A1-R4_A1g00252	139.128	172.44	39.6485	41.8087						
MvSl-1064-A1-R4_A1g00253	424.306	454.477	442.303	344.152						
MvSl-1064-A1-R4_A1g00732	1583	2017	1402	1681						
MvSl-1064-A1-R4_A1g01407	2328	2314	2008	2009						
MvSl-1064-A1-R4_A1g01406	49104	63533	36643	35248						
MvSl-1064-A1-R4_A1g01219	54923	66076	29729	44492						
MvSl-1064-A1-R4_A1g01220	599	656	6920	7297						
MvSl-1064-A1-R4_A1g01174	1801	2255	790	756						
MvSl-1064-A1-R4_A1g01173	2211	1998	2929	2767						
MvSl-1064-A1-R4_A1g01271	4105	6274	3543	4856						
MvSl-1064-A1-R4_A1g01272	9028	13168	11302	16440						
MvSl-1064-A1-R4_A1g01261	45472	54661	15131	11894						
MvSl-1064-A1-R4_A1g00153	4947	4613	5231	4077						
MvSl-1064-A1-R4_A1g00154	730	838	400	421						
MvSl-1064-A1-R4_A1g00155	1121.81	1468.88	1932.99	2050.14						
MvSl-1064-A1-R4_A1g00626	542.517	577.236	1021.91	953.87						
MvSl-1064-A1-R4_A1g00175	2575	3123	3088	2702						
MvSl-1064-A1-R4_A1g00283	83.3973	36.9193	1688.89	1180.86						
MvSl-1064-A1-R4_A1g00886	359	376	718	677						
