gene	MvSlM1	MvSlM2
MvSl-1064-A1-R4_A1g01450	2004	936
MvSl-1064-A1-R4_A1g01451	1234	1185
MvSl-1064-A1-R4_A1g01453	5949	5945
MvSl-1064-A1-R4_A1g01457	233	173
MvSl-1064-A1-R4_A1g01458	2035	1809
MvSl-1064-A1-R4_A1g01460	3488	3185
MvSl-1064-A1-R4_A1g01461	1842	1869
MvSl-1064-A1-R4_A1g01462	3892	4340
MvSl-1064-A1-R4_A1g01463	2	2
MvSl-1064-A1-R4_A1g01464	0	3
MvSl-1064-A1-R4_A1g01466	2311	2180
MvSl-1064-A1-R4_A1g01467	1342	1333
MvSl-1064-A1-R4_A1g01468	1218	1227
MvSl-1064-A1-R4_A1g01470	778	1040
MvSl-1064-A1-R4_A1g01471	2889	3053
MvSl-1064-A1-R4_A1g01472	1350	1344
MvSl-1064-A1-R4_A1g01476	566	589
MvSl-1064-A1-R4_A1g01477	2721	3054
MvSl-1064-A1-R4_A1g01485	3594	2824
MvSl-1064-A1-R4_A1g01486	2374	1923
MvSl-1064-A1-R4_A1g01487	4553	11960
MvSl-1064-A1-R4_A1g01488	15889.7	12489.6
MvSl-1064-A1-R4_A1g01489	1752	1627
MvSl-1064-A1-R4_A1g01492	0	0
MvSl-1064-A1-R4_A1g01497	1812	1627
MvSl-1064-A1-R4_A1g01498	825	781
MvSl-1064-A1-R4_A1g01500	6154	5118
MvSl-1064-A1-R4_A1g01501	2526	2020
MvSl-1064-A1-R4_A1g01502	4319	4099
MvSl-1064-A1-R4_A1g01508	3027	4384
MvSl-1064-A1-R4_A1g01509	1988	1425
MvSl-1064-A1-R4_C26g01540	2943.73	3263.58
MvSl-1064-A1-R4_C26g01541	10.1788	6.98379
MvSl-1064-A1-R4_MC01-1g01700	3	3
MvSl-1064-A1-R4_MC01-1g01701	7105	6207
MvSl-1064-A1-R4_MC01-1g01702	128	140
MvSl-1064-A1-R4_MC01-1g01708	1852	4165
MvSl-1064-A1-R4_MC01-1g01711	4034	3035
MvSl-1064-A1-R4_MC01-1g01712	3331	3636
