gene	rich1	rich2	water1	water2	di1	di2
MvSl-1064-A2-R4_A2g00740	5.47986	10.215	3810.5	6078.55	226.76	258.284
MvSl-1064-A2-R4_A2g00751	0.334074	0	3	3.89226	0.5	0
MvSl-1064-A2-R4_A2g00752	47.8917	48.6615	0	3.69682	1.59211	1.90309
MvSl-1064-A2-R4_A2g00758	67	90.3652	40.2827	27.66	475.194	663.432
MvSl-1064-A2-R4_A2g00760	0	1	12.4516	5.74574	1.41E-08	0
MvSl-1064-A2-R4_A2g00761	682.712	657.941	406.374	418.922	296.096	246.925
MvSl-1064-A2-R4_A2g00762	172.674	164.71	118.99	145.953	128.97	80.574
MvSl-1064-A2-R4_A2g00763	125.965	95.7509	131.546	116.94	97.1494	106.35
MvSl-1064-A2-R4_A2g00764	33.7622	22.3535	55.3104	59.2091	77.6375	61.5456
MvSl-1064-A2-R4_A2g00765	96.9982	103.418	296.879	244.578	249.32	209.736
MvSl-1064-A2-R4_A2g00766	18.1819	8.46639	30.4783	67.8647	26.2215	25.2788
MvSl-1064-A2-R4_A2g00767	273.415	359.318	315.52	376.558	271.116	323.054
MvSl-1064-A2-R4_A2g00768	158.349	162.532	196.63	255.798	206.329	261.235
MvSl-1064-A2-R4_A2g00769	1.01096	1.02726	5.10773	2.03224	2.08435	4.10782
MvSl-1064-A2-R4_A2g00778	4.14816	9.57821	5	3.53426	8	8.61432
MvSl-1064-A2-R4_A2g00780	6.95807	5.97496	11.7107	10.8783	2	6.83702
MvSl-1064-A2-R4_A2g00782	19	22	17	26	8	9
MvSl-1064-A2-R4_A2g00783	0	0	0	1	0	0
MvSl-1064-A2-R4_A2g00784	493.619	600.251	998.393	1163.82	378.318	456.452
MvSl-1064-A2-R4_A2g00786	45.3219	50.2761	33.5748	28.0391	29.8124	38.4432
MvSl-1064-A2-R4_A2g00787	698.828	820.952	693.951	513.833	344.358	425.271
MvSl-1064-A2-R4_A2g00788	90.7763	64	169.407	207.28	126.453	156.255
