gene	haploid	cdslength	protleng	chr	chr1	DE_status	DE_status2	mean_exp
MvSl-1064-A1-R4_MC07g08097	A1	1921	557	aAutosome	aAutosome	Up	DE	4.90426
MvSl-1064-A1-R4_MC06g07136	A1	1526	476	aAutosome	aAutosome	Up	DE	7.65861
MvSl-1064-A1-R4_MC03g04844	A1	935	297	aAutosome	aAutosome	Up	DE	3.92851
MvSl-1064-A1-R4_MC03g04845	A1	523	66	aAutosome	aAutosome	Up	DE	7.05158
MvSl-1064-A1-R4_A1g00646	A1	2263	696	faBlack	NRR	Up	DE	8.56593
MvSl-1064-A1-R4_A1g00021	A1	352	69	bPAR	bPAR	Up	DE	5.64847
MvSl-1064-A1-R4_MC03g04929	A1	2312	679	aAutosome	aAutosome	Up	DE	4.08922
MvSl-1064-A1-R4_MC11g10688	A1	398	85	aAutosome	aAutosome	Up	DE	1.29294
MvSl-1064-A1-R4_MC08g08665	A1	536	59	aAutosome	aAutosome	Up	DE	7.92834
MvSl-1064-A1-R4_MC12g11286	A1	13740	3862	aAutosome	aAutosome	Up	DE	5.60222
MvSl-1064-A1-R4_A1g00853	A1	3308	872	gPurple	NRR	Up	DE	8.02149
MvSl-1064-A1-R4_MC01-1g02161	A1	2062	636	aAutosome	aAutosome	Up	DE	3.65244
MvSl-1064-A1-R4_A1g00079	A1	5003	1388	bPAR	bPAR	Up	DE	6.20536
MvSl-1064-A1-R4_MC09-2g09232	A1	2260	662	aAutosome	aAutosome	Up	DE	5.03588
MvSl-1064-A1-R4_MC01-1g02176	A1	1305	199	aAutosome	aAutosome	Up	DE	5.29972
MvSl-1064-A1-R4_MC03g05082	A1	341	86	aAutosome	aAutosome	Up	DE	3.41015
MvSl-1064-A1-R4_MC03g05235	A1	2594	632	aAutosome	aAutosome	Up	DE	6.65707
MvSl-1064-A1-R4_MC15g12082	A1	1955	515	aAutosome	aAutosome	Up	DE	2.28575
MvSl-1064-A1-R4_MC10-1g09785	A1	1439	219	aAutosome	aAutosome	Up	DE	2.40518
MvSl-1064-A1-R4_MC12g10849	A1	499	100	aAutosome	aAutosome	Up	DE	3.72762
MvSl-1064-A1-R4_MC11g10618	A1	2817	569	aAutosome	aAutosome	Up	DE	1.61411
MvSl-1064-A1-R4_MC01-1g02837	A1	345	84	aAutosome	aAutosome	Up	DE	4.2967
MvSl-1064-A1-R4_MC10-1g09814	A1	1148	195	aAutosome	aAutosome	Up	DE	7.08372
MvSl-1064-A1-R4_MC14g11845	A1	2271	457	aAutosome	aAutosome	Up	DE	7.27577
MvSl-1064-A1-R4_MC04-1g05911	A1	316	35	aAutosome	aAutosome	Up	DE	1.56273
MvSl-1064-A1-R4_MC14g11898	A1	648	112	aAutosome	aAutosome	Up	DE	3.82667
MvSl-1064-A1-R4_A1g00254	A1	2436	738	faBlack	NRR	Up	DE	5.43568
MvSl-1064-A1-R4_A1g01212	A1	3326	922	faBlack	NRR	Up	DE	4.25857
MvSl-1064-A1-R4_MC06g06944	A1	5328	1701	aAutosome	aAutosome	Up	DE	2.63426
MvSl-1064-A1-R4_MC05-2g06432	A1	1578	402	aAutosome	aAutosome	Up	DE	7.89291
MvSl-1064-A1-R4_MC06g07412	A1	1194	397	aAutosome	aAutosome	Up	DE	2.54261
MvSl-1064-A1-R4_MC01-1g02598	A1	317	87	aAutosome	aAutosome	Up	DE	1.44595
MvSl-1064-A1-R4_A1g00495	A1	1318	342	fBlue	NRR	Up	DE	7.62627
MvSl-1064-A1-R4_A1g01261	A1	7952	2309	eOrange	NRR	Up	DE	11.3493
MvSl-1064-A1-R4_MC03g04807	A1	280	68	aAutosome	aAutosome	Up	DE	3.59949
