target_id	a1s1	a1s2
MvSl-1064-A1-R4_A1g01457	181	218
MvSl-1064-A1-R4_A1g01458	2025	1953
MvSl-1064-A1-R4_A1g01459	2	0
MvSl-1064-A1-R4_A1g01460	2465	2088
MvSl-1064-A1-R4_A1g01461	1571	1375
MvSl-1064-A1-R4_A1g01462	3856	3473
MvSl-1064-A1-R4_A1g01463	0	3
MvSl-1064-A1-R4_A1g01464	0	1
MvSl-1064-A1-R4_A1g01465	139	216
MvSl-1064-A1-R4_A1g01466	1507	2004
MvSl-1064-A1-R4_A1g01467	849	976
MvSl-1064-A1-R4_A1g01468	837	961
MvSl-1064-A1-R4_A1g01469	14	20
MvSl-1064-A1-R4_A1g01470	1251	782
MvSl-1064-A1-R4_A1g01471	2061	1910
MvSl-1064-A1-R4_A1g01472	1232	965
MvSl-1064-A1-R4_A1g01473	5367	3588
MvSl-1064-A1-R4_A1g01474	37	30
MvSl-1064-A1-R4_A1g01475	13	16
MvSl-1064-A1-R4_A1g01476	370	410
MvSl-1064-A1-R4_A1g01477	2763	2555
MvSl-1064-A1-R4_A1g01478	23	27
MvSl-1064-A1-R4_A1g01479	397	401
MvSl-1064-A1-R4_A1g01480	39	58
MvSl-1064-A1-R4_A1g01481	85	84.1105
MvSl-1064-A1-R4_A1g01482	51	58
MvSl-1064-A1-R4_A1g01483	0	4.28762
MvSl-1064-A1-R4_A1g01484	74	68
MvSl-1064-A1-R4_A1g01485	2726	2012
MvSl-1064-A1-R4_A1g01486	1099	1347
MvSl-1064-A1-R4_A1g01487	18454	11860
MvSl-1064-A1-R4_A1g01488	12176	11511
MvSl-1064-A1-R4_A1g01489	1422	1101
MvSl-1064-A1-R4_A1g01490	0	0
MvSl-1064-A1-R4_A1g01491	0	1
MvSl-1064-A1-R4_A1g01492	0	0
MvSl-1064-A1-R4_A1g01493	29	39
MvSl-1064-A1-R4_A1g01494	3246	4468
MvSl-1064-A1-R4_A1g01495	670.409	807.38
MvSl-1064-A1-R4_A1g01496	53	87
MvSl-1064-A1-R4_A1g01497	711	689
MvSl-1064-A1-R4_A1g01498	616	579
MvSl-1064-A1-R4_A1g01499	26	30
MvSl-1064-A1-R4_A1g01500	4515	4879
MvSl-1064-A1-R4_A1g01501	1627	1296
MvSl-1064-A1-R4_A1g01502	2131	2555
MvSl-1064-A1-R4_A1g01503	181.481	239.447
MvSl-1064-A1-R4_A1g01504	71.6097	92.2144
