target_id	length	eff_length	est_counts	tpm	target_id	length	eff_length	est_counts	tpm	target_id	length	eff_length	est_counts	tpm	target_id	length	eff_length	est_counts	tpm
MvSl-1064-A1-R4_MC14g11798	1416	1093.01	839	18.4912	MvSl-1064-A2-R4_MC14g12059	1416	1080	982	16.4464	MvSl-1064-A2-R4_MC14g12059	1416	1084.77	1161	17.7037	MvSl-1064-A2-R4_MC14g12059	1416	1080	982	16.4464
MvSl-1064-A1-R4_MC14g11799	1824	1501.01	202.569	3.251	MvSl-1064-A2-R4_MC14g12060	1824	1488	132.245	1.60754	MvSl-1064-A2-R4_MC14g12060	1824	1492.77	93.4233	1.03522	MvSl-1064-A2-R4_MC14g12060	1824	1488	132.245	1.60754
MvSl-1064-A1-R4_MC14g11800	1158	835.009	25.1386	0.725232	MvSl-1064-A2-R4_MC14g12061	1158	822.004	18.2898	0.402459	MvSl-1064-A2-R4_MC14g12061	1158	826.773	7.13184	0.142688	MvSl-1064-A2-R4_MC14g12061	1158	822.004	18.2898	0.402459
MvSl-1064-A1-R4_MC14g11801	210	37.4336	0	0	MvSl-1064-A2-R4_MC14g12062	210	38.4851	0	0	MvSl-1064-A2-R4_MC14g12062	210	35.9674	2.64908	1.21831	MvSl-1064-A2-R4_MC14g12062	210	38.4851	0	0
MvSl-1064-A1-R4_MC01-1g02266	417	142.172	234.024	39.6528	MvSl-1064-A2-R4_MC01g02548	417	135.349	210.578	28.1413	MvSl-1064-A2-R4_MC01g02548	417	136.726	263.575	31.8877	MvSl-1064-A2-R4_MC01g02548	417	135.349	210.578	28.1413
MvSl-1064-A1-R4_MC14g11802	513	217.61	10.7076	1.18534	MvSl-1064-A2-R4_MC14g12063	513	207.691	10.1426	0.883321	MvSl-1064-A2-R4_MC14g12063	513	208.857	10.691	0.846725	MvSl-1064-A2-R4_MC14g12063	513	207.691	10.1426	0.883321
MvSl-1064-A1-R4_MC14g11803	108	8.2	0	0	MvSl-1064-A2-R4_MC14g12064	108	10.4167	0	0	MvSl-1064-A2-R4_MC14g12064	108	16.6316	0	0	MvSl-1064-A2-R4_MC14g12064	108	10.4167	0	0
MvSl-1064-A1-R4_MC14g11804	1440	1117.01	125.076	2.69739	MvSl-1064-A2-R4_MC14g12065	1440	1104	2087.7	34.2045	MvSl-1064-A2-R4_MC14g12065	1440	1108.77	2654.95	39.6082	MvSl-1064-A2-R4_MC14g12065	1440	1104	2087.7	34.2045
MvSl-1064-A1-R4_MC14g11805	1731	1408.01	1041.89	17.8256	MvSl-1064-A2-R4_MC14g12066	1731	1395	1780.23	23.0827	MvSl-1064-A2-R4_MC14g12066	1731	1399.77	1775.12	20.9769	MvSl-1064-A2-R4_MC14g12066	1731	1395	1780.23	23.0827
MvSl-1064-A1-R4_MC14g11806	357	102.539	160.84	37.786	MvSl-1064-A2-R4_MC14g12067	357	97.4303	235.906	43.7956	MvSl-1064-A2-R4_MC14g12067	357	97.437	210.122	35.6712	MvSl-1064-A2-R4_MC14g12067	357	97.4303	235.906	43.7956
