aa	bb	cc	dd	ee	target_id	A2_1	A2_2
MvSl-1064-A1-R4_A1g00083	MvSl-1064-A2-R4_A2g00083	MvSl-1064-A1-R4_A1g00083	1.0251	2.02479	MvSl-1064-A2-R4_A2g00083	0	2.17326
MvSl-1064-A1-R4_A1g00084	MvSl-1064-A2-R4_A2g00084	MvSl-1064-A1-R4_A1g00084	1	1	MvSl-1064-A2-R4_A2g00084	0	0
MvSl-1064-A1-R4_A1g00106	MvSl-1064-A2-R4_A2g00116	MvSl-1064-A1-R4_A1g00106	42.4072	48.798	MvSl-1064-A2-R4_A2g00116	181.267	85.2873
MvSl-1064-A1-R4_A1g00107	MvSl-1064-A2-R4_A2g00117	MvSl-1064-A1-R4_A1g00107	2.10855	1.04227	MvSl-1064-A2-R4_A2g00117	1.11874	4.44133
MvSl-1064-A1-R4_A1g00108	MvSl-1064-A2-R4_A2g00118	MvSl-1064-A1-R4_A1g00108	550	784	MvSl-1064-A2-R4_A2g00118	599	623
MvSl-1064-A1-R4_A1g00109	MvSl-1064-A2-R4_A2g00119	MvSl-1064-A1-R4_A1g00109	1497	2174	MvSl-1064-A2-R4_A2g00119	1655	2139
MvSl-1064-A1-R4_A1g00110	MvSl-1064-A2-R4_A2g00120	MvSl-1064-A1-R4_A1g00110	5441	4952	MvSl-1064-A2-R4_A2g00120	7356	6724
MvSl-1064-A1-R4_A1g00111	MvSl-1064-A2-R4_A2g00121	MvSl-1064-A1-R4_A1g00111	0	1	MvSl-1064-A2-R4_A2g00121	0	0
MvSl-1064-A1-R4_A1g00113	MvSl-1064-A2-R4_A2g00123	MvSl-1064-A1-R4_A1g00113	5288	4276	MvSl-1064-A2-R4_A2g00123	5291	5124
MvSl-1064-A1-R4_A1g00367	MvSl-1064-A2-R4_A2g00124	MvSl-1064-A1-R4_A1g00367	342	371	MvSl-1064-A2-R4_A2g00124	281	275
MvSl-1064-A1-R4_A1g00368	MvSl-1064-A2-R4_A2g00125	MvSl-1064-A1-R4_A1g00368	1241	1612	MvSl-1064-A2-R4_A2g00125	1370	1794
