gida1	gidmvsv	dnds	dn	ds
MvSl-1064-A1-R4_MC01-1g02858	MvSv-1253-A1-R1_MC01g00292	0.8506	0.0723	0.085
MvSl-1064-A1-R4_MC01-1g02863	MvSv-1253-A1-R1_MC01g00291	0.3445	0.037	0.1074
MvSl-1064-A1-R4_MC01-1g02865	MvSv-1253-A1-R1_MC01g00302	5.3085	0.081	0.0153
MvSl-1064-A1-R4_MC01-1g02867	MvSv-1253-A1-R1_MC01g00303	0.4464	0.0691	0.1549
MvSl-1064-A1-R4_A1g00368	MvSv-1253-A1-R1_MC12g07717	0.1773	0.0221	0.1247
MvSl-1064-A1-R4_MC01-2g02963	MvSv-1253-A1-R1_MC01g00367	1.0502	0.2301	0.2191
MvSl-1064-A1-R4_MC01-2g02965	MvSv-1253-A1-R1_MC01g00370	0.3644	0.0291	0.0798
MvSl-1064-A1-R4_MC01-2g02973	MvSv-1253-A1-R1_MC12g07912	0.4119	0.0859	0.2085
MvSl-1064-A1-R4_MC01-2g02975	MvSv-1253-A1-R1_MC01g00375	0.3284	0.0257	0.0784
MvSl-1064-A1-R4_MC01-2g02976	MvSv-1253-A1-R1_MC01g00376	0.3356	0.0281	0.0838
MvSl-1064-A1-R4_MC01-2g02977	MvSv-1253-A1-R1_MC01g00377	0.2932	0.0238	0.0811
MvSl-1064-A1-R4_MC01-2g02978	MvSv-1253-A1-R1_MC01g00378	0.13	0.0096	0.0735
MvSl-1064-A1-R4_MC01-2g02979	MvSv-1253-A1-R1_MC01g00379	0.3168	0.0289	0.0913
MvSl-1064-A1-R4_MC01-2g02983	MvSv-1253-A1-R1_MC01g00380	0.4433	0.0396	0.0894
MvSl-1064-A1-R4_MC01-2g02984	MvSv-1253-A1-R1_MC01g00381	0.3125	0.0246	0.0788
MvSl-1064-A1-R4_A1g00369	MvSv-1253-A1-R1_MC12g07718	0.2276	0.042	0.1844
MvSl-1064-A1-R4_MC01-2g02988	MvSv-1253-A1-R1_MC05g03677	0.3596	0.0371	0.1032
MvSl-1064-A1-R4_MC01-2g02991	MvSv-1253-A1-R1_MC01g00273	0.2604	0.0268	0.1031
MvSl-1064-A1-R4_MC01-2g02992	MvSv-1253-A1-R1_MC01g00272	0.2136	0.0228	0.1067
MvSl-1064-A1-R4_MC01-2g02993	MvSv-1253-A1-R1_MC01g00271	0.1927	0.0247	0.1282
MvSl-1064-A1-R4_MC01-2g02994	MvSv-1253-A1-R1_MC01g00270	0.0305	0.0057	0.1875
MvSl-1064-A1-R4_MC01-2g02996	MvSv-1253-A1-R1_MC01g00268	0.0701	0.0167	0.2387
MvSl-1064-A1-R4_MC01-2g03003	MvSv-1253-A1-R1_MC01g00267	0.1878	0.0299	0.1593
MvSl-1064-A1-R4_MC01-2g03004	MvSv-1253-A1-R1_MC01g00266	0.1421	0.0167	0.1172
MvSl-1064-A1-R4_MC01-2g03005	MvSv-1253-A1-R1_MC01g00265	0.3285	0.0404	0.123
MvSl-1064-A1-R4_MC01-2g03007	MvSv-1253-A1-R1_MC01g00264	0.1241	0.0133	0.1071
MvSl-1064-A1-R4_A1g00370	MvSv-1253-A1-R1_MC12g07719	0.174	0.0319	0.1836
MvSl-1064-A1-R4_MC01-2g03013	MvSv-1253-A1-R1_MC01g00262	0.5715	0.0913	0.1598
MvSl-1064-A1-R4_MC01-2g03014	MvSv-1253-A1-R1_MC01g00260	0.2541	0.0385	0.1514
MvSl-1064-A1-R4_MC01-2g03015	MvSv-1253-A1-R1_MC01g00259	0.3037	0.0374	0.1231
MvSl-1064-A1-R4_MC01-2g03016	MvSv-1253-A1-R1_MC01g00258	0.3459	0.0445	0.1287
MvSl-1064-A1-R4_MC01-2g03017	MvSv-1253-A1-R1_MC01g00257	0.0277	0.0048	0.1725
MvSl-1064-A1-R4_MC01-2g03018	MvSv-1253-A1-R1_MC01g00256	0.001	0.0001	0.116
MvSl-1064-A1-R4_MC01-2g03019	MvSv-1253-A1-R1_MC01g00255	0.0179	0.004	0.2249
MvSl-1064-A1-R4_MC01-2g03020	MvSv-1253-A1-R1_MC01g00254	0.1342	0.0272	0.2029
MvSl-1064-A1-R4_MC01-2g03021	MvSv-1253-A1-R1_MC01g00253	0.22	0.026	0.1182
