gene	A1_1	A1_2	A2_1	A2_2
MvSl-1064-A1-R4_A1g01440	2434	2217	2786	2711
MvSl-1064-A1-R4_A1g01441	1444	1442	1626	1598
MvSl-1064-A1-R4_A1g01442	2	4	3	7
MvSl-1064-A1-R4_A1g01443	10.6766	9.84339	11.9536	17.3488
MvSl-1064-A1-R4_A1g01444	40527	47862	53989	51806
MvSl-1064-A1-R4_A1g01445	3572	3011	3703	4053
MvSl-1064-A1-R4_A1g01446	696	591	866	986
MvSl-1064-A1-R4_A1g01447	1223	1239	1367	1747
MvSl-1064-A1-R4_A1g01448	87.8259	68.082	77.5924	105.846
MvSl-1064-A1-R4_A1g01450	532	468	520	746
MvSl-1064-A1-R4_A1g01451	708	891	973	853
MvSl-1064-A1-R4_A1g01452	0	0	0	0
MvSl-1064-A1-R4_A1g01453	3660	4216	6689	5943
MvSl-1064-A1-R4_A1g01454	135	105	88	158
MvSl-1064-A1-R4_A1g01455	194	147	94	232
MvSl-1064-A1-R4_A1g01456	179	140	100	188
MvSl-1064-A1-R4_A1g01457	218	181	165	233
MvSl-1064-A1-R4_A1g01458	1950	2024	2120	2095
MvSl-1064-A1-R4_A1g01459	0	1	0	2
MvSl-1064-A1-R4_A1g01460	2085	2461	2971	2644
MvSl-1064-A1-R4_A1g01461	1378	1569	1654	1706
MvSl-1064-A1-R4_A1g01462	3475	3852	3763	3245
MvSl-1064-A1-R4_A1g01463	3	0	1	2
MvSl-1064-A1-R4_A1g01464	2	0	2	1
MvSl-1064-A1-R4_A1g01465	240	153	121	188
MvSl-1064-A1-R4_A1g01466	2004	1507	2034	2234
MvSl-1064-A1-R4_A1g01467	1023	885	1168	1128
MvSl-1064-A1-R4_A1g01468	959	835	1158	1247
MvSl-1064-A1-R4_A1g01469	20	18	22	22
MvSl-1064-A1-R4_A1g01470	806	1282	1209	871
MvSl-1064-A1-R4_A1g01471	1906	2061	2282	2224
MvSl-1064-A1-R4_A1g01472	961	1230	1255	1118
MvSl-1064-A1-R4_A1g01473	3584	5360	5981	4735
MvSl-1064-A1-R4_A1g01474	30	38	35	53
MvSl-1064-A1-R4_A1g01475	14	12	27	35
MvSl-1064-A1-R4_A1g01476	410	369	463	538
MvSl-1064-A1-R4_A1g01477	2554	2763	3057	2666
MvSl-1064-A1-R4_A1g01478	37	26	20	27
MvSl-1064-A1-R4_A1g01479	476	452	397	336
MvSl-1064-A1-R4_A1g01480	54	34	53	33
MvSl-1064-A1-R4_A1g01481	63	67	66	82
MvSl-1064-A1-R4_A1g01482	22.52	16.6592	14.1584	16.3198
MvSl-1064-A1-R4_A1g01483	4.18954	0	1	0
