a2	a2s1	a2s2	a1	a1s1	a1s2
MvSl-1064-A2-R4_A2g00799	564.141	380.16	MvSl-1064-A1-R4_A1g01288	403	582
MvSl-1064-A2-R4_A2g00818	393	375	MvSl-1064-A1-R4_A1g00327	357	357
MvSl-1064-A2-R4_A2g00819	716	853	MvSl-1064-A1-R4_A1g00326	0	0
MvSl-1064-A2-R4_A2g00821	8	5	MvSl-1064-A1-R4_A1g01404	448	458
MvSl-1064-A2-R4_A2g00822	535	510	MvSl-1064-A1-R4_A1g01405	550	685
MvSl-1064-A2-R4_A2g00825	1655	1736	MvSl-1064-A1-R4_A1g01137	2278	2317
MvSl-1064-A2-R4_A2g00826	34	35	MvSl-1064-A1-R4_A1g01136	576	354
MvSl-1064-A2-R4_A2g00828	0	1.74751	MvSl-1064-A1-R4_A1g00475	7.72563	14.3923
MvSl-1064-A2-R4_A2g00832	3625	3100	MvSl-1064-A1-R4_A1g01154	2910	3259
MvSl-1064-A2-R4_A2g00833	3419	3057	MvSl-1064-A1-R4_A1g01159	2090	2383
MvSl-1064-A2-R4_A2g00834	3719	3533	MvSl-1064-A1-R4_A1g01160	2575	2476
MvSl-1064-A2-R4_A2g00835	1168	1027	MvSl-1064-A1-R4_A1g01161	1171	1143
MvSl-1064-A2-R4_A2g00836	385	287	MvSl-1064-A1-R4_A1g01162	9	4
MvSl-1064-A2-R4_A2g00837	597	646	MvSl-1064-A1-R4_A1g01163	46	42
MvSl-1064-A2-R4_A2g00841	119	108	MvSl-1064-A1-R4_A1g01212	526	251
MvSl-1064-A2-R4_A2g00858	3664.51	3834.78	MvSl-1064-A1-R4_A1g01049	257	219
MvSl-1064-A2-R4_A2g00864	1868.68	1831.05	MvSl-1064-A1-R4_A1g00533	1216	1331
MvSl-1064-A2-R4_A2g00865	3906	3524	MvSl-1064-A1-R4_A1g00534	4046	4200
MvSl-1064-A2-R4_A2g00866	1345	1881	MvSl-1064-A1-R4_A1g00541	1910	1153
MvSl-1064-A2-R4_A2g00867	883.668	914.069	MvSl-1064-A1-R4_A1g00542	642	610
MvSl-1064-A2-R4_A2g00868	2796	3187	MvSl-1064-A1-R4_A1g00543	2847	2171
MvSl-1064-A2-R4_A2g00869	1208	1112	MvSl-1064-A1-R4_A1g00544	867	1040
MvSl-1064-A2-R4_A2g00885	394.162	602.645	MvSl-1064-A1-R4_A1g00527	745	553
MvSl-1064-A2-R4_A2g00886	2881	2991	MvSl-1064-A1-R4_A1g00525	3459	3430
MvSl-1064-A2-R4_A2g00887	0	0	MvSl-1064-A1-R4_A1g00524	6	3
MvSl-1064-A2-R4_A2g00888	0	0	MvSl-1064-A1-R4_A1g00523	6	10
MvSl-1064-A2-R4_A2g00889	7	1	MvSl-1064-A1-R4_A1g00522	81	101
MvSl-1064-A2-R4_A2g00894	1093.18	1092.8	MvSl-1064-A1-R4_A1g01007	79.7051	51.7978
MvSl-1064-A2-R4_A2g00902	1337	1201	MvSl-1064-A1-R4_A1g00669	1160	1304
MvSl-1064-A2-R4_A2g00904	92	61	MvSl-1064-A1-R4_A1g00668	2893.06	3139.69
MvSl-1064-A2-R4_A2g00914	1164	1337	MvSl-1064-A1-R4_A1g00312	10019	14836
MvSl-1064-A2-R4_A2g00915	6237	7565	MvSl-1064-A1-R4_A1g00311	6307	5511
MvSl-1064-A2-R4_A2g00923	3977	2703	MvSl-1064-A1-R4_A1g00842	3164	4322
MvSl-1064-A2-R4_A2g00924	267	252	MvSl-1064-A1-R4_A1g00843	308	402
MvSl-1064-A2-R4_A2g00925	5	1	MvSl-1064-A1-R4_A1g00844	16	22
MvSl-1064-A2-R4_A2g00954	449.573	254.105	MvSl-1064-A1-R4_A1g01021	2	3
MvSl-1064-A2-R4_A2g00957	5763.77	5139.5	MvSl-1064-A1-R4_A1g01317	3383	4052
MvSl-1064-A2-R4_A2g00961	0	1	MvSl-1064-A1-R4_A1g01022	0	0
MvSl-1064-A2-R4_A2g00968	1256	1002	MvSl-1064-A1-R4_A1g00352	778	951
MvSl-1064-A2-R4_A2g00969	9059	9035	MvSl-1064-A1-R4_A1g00351	6610	6727
MvSl-1064-A2-R4_A2g00970	1622	1072	MvSl-1064-A1-R4_A1g00350	593	689
MvSl-1064-A2-R4_A2g00975	3814.06	3522	MvSl-1064-A1-R4_A1g00694	2699	2879
MvSl-1064-A2-R4_A2g00976	3180	3391	MvSl-1064-A1-R4_A1g00693	2888	2890
MvSl-1064-A2-R4_A2g00977	3138.42	3514.13	MvSl-1064-A1-R4_A1g00642	13.5398	11
MvSl-1064-A2-R4_A2g00991	6401	5910	MvSl-1064-A1-R4_A1g00193	8282.96	9196.52
MvSl-1064-A2-R4_A2g00993	713	831	MvSl-1064-A1-R4_A1g00433	904	808
MvSl-1064-A2-R4_A2g00994	2817	2395	MvSl-1064-A1-R4_A1g00432	2366	2672
MvSl-1064-A2-R4_A2g00995	106942	147109	MvSl-1064-A1-R4_A1g00349	20314	15331
MvSl-1064-A2-R4_A2g01002	371	456	MvSl-1064-A1-R4_A1g00644	812	992
MvSl-1064-A2-R4_A2g01020	729.586	1216.19	MvSl-1064-A1-R4_MC03g04896	1706.21	979.629
MvSl-1064-A2-R4_A2g01028	2455.75	2395.79	MvSl-1064-A1-R4_A1g01129	2704	2765
MvSl-1064-A2-R4_A2g01032	848.853	852.033	MvSl-1064-A1-R4_A1g00835	31	49.3534
MvSl-1064-A2-R4_A2g01038	2180	2462	MvSl-1064-A1-R4_A1g00845	2051	1887
MvSl-1064-A2-R4_A2g01041	21.0208	24	MvSl-1064-A1-R4_A1g00163	99.1686	96.0819
MvSl-1064-A2-R4_A2g01042	256.948	208.55	MvSl-1064-A1-R4_A1g00546	5.12434	6.0241
MvSl-1064-A2-R4_A2g01066	1212	1877	MvSl-1064-A1-R4_A1g00407	1646	1961
MvSl-1064-A2-R4_A2g01083	4038	2633	MvSl-1064-A1-R4_A1g01346	4820	8353
MvSl-1064-A2-R4_A2g01109	131.952	132.899	MvSl-1064-A1-R4_A1g01358	46	47
MvSl-1064-A2-R4_A2g01110	747.998	819.216	MvSl-1064-A1-R4_A1g01359	1462	1120
MvSl-1064-A2-R4_A2g01111	7362	6347	MvSl-1064-A1-R4_A1g00854	3728	3215
MvSl-1064-A2-R4_A2g01112	1837.98	1908.58	MvSl-1064-A1-R4_A1g00853	4957	4959
MvSl-1064-A2-R4_A2g01134	833	598	MvSl-1064-A1-R4_A1g01385	491	669
