target_id	A2_1	A2_2
MvSl-1064-A2-R4_MC01g02066	6.26087	2
MvSl-1064-A2-R4_MC01g02069	1539.19	1406.35
MvSl-1064-A2-R4_MC01g02070	4645.49	5393.01
MvSl-1064-A2-R4_MC01g02071	1281.48	1328.63
MvSl-1064-A2-R4_MC01g02073	416.437	393.834
MvSl-1064-A2-R4_MC01g02075	322.178	385.301
MvSl-1064-A2-R4_MC01g02077	2603	2789
MvSl-1064-A2-R4_MC01g02078	448	620
MvSl-1064-A2-R4_MC01g02079	1261	1354
MvSl-1064-A2-R4_MC01g02080	879	724
MvSl-1064-A2-R4_MC01g02081	3554	5219
MvSl-1064-A2-R4_MC01g02082	2316	2141
MvSl-1064-A2-R4_MC01g02083	9347	8652
MvSl-1064-A2-R4_MC01g02084	4062	6360
MvSl-1064-A2-R4_MC01g02085	982	1111
MvSl-1064-A2-R4_MC01g02086	1298	1250
MvSl-1064-A2-R4_MC01g02087	3285	2890
MvSl-1064-A2-R4_MC01g02088	0	0
MvSl-1064-A2-R4_MC01g02089	1762	1952
MvSl-1064-A2-R4_MC01g02090	3803	4013
MvSl-1064-A2-R4_MC01g02091	332	320
MvSl-1064-A2-R4_MC01g02092	408	447
MvSl-1064-A2-R4_MC01g02093	1570	1583
MvSl-1064-A2-R4_MC01g02094	1150	1096
MvSl-1064-A2-R4_MC01g02095	474	360
MvSl-1064-A2-R4_MC01g02096	28	12
MvSl-1064-A2-R4_MC01g02097	2531	2643
MvSl-1064-A2-R4_MC01g02098	2726	2593
MvSl-1064-A2-R4_MC01g02099	1604	1548
MvSl-1064-A2-R4_MC01g02100	1606	1357
MvSl-1064-A2-R4_MC01g02101	837	847
MvSl-1064-A2-R4_MC01g02102	30253	29334
MvSl-1064-A2-R4_MC01g02103	1703.21	1925.87
MvSl-1064-A2-R4_MC01g02104	4398	3477
MvSl-1064-A2-R4_MC01g02105	3257	3958
MvSl-1064-A2-R4_MC01g02106	0	0
MvSl-1064-A2-R4_MC01g02107	108	71
MvSl-1064-A2-R4_MC01g02108	1042.95	665.95
MvSl-1064-A2-R4_MC01g02109	1283.48	1152.31
MvSl-1064-A2-R4_MC01g02110	1563.97	1266.77
MvSl-1064-A2-R4_MC01g02111	5036.14	3792.36
MvSl-1064-A2-R4_MC01g02112	0	0
MvSl-1064-A2-R4_MC01g02114	7.20772	13.5049
MvSl-1064-A2-R4_MC01g02115	46	45
MvSl-1064-A2-R4_MC01g02116	33.6162	39.1945
MvSl-1064-A2-R4_MC01g02118	0	0
MvSl-1064-A2-R4_MC01g02120	1.87452	4.4804
MvSl-1064-A2-R4_MC01g02121	339	285
MvSl-1064-A2-R4_MC01g02122	1128	972
MvSl-1064-A2-R4_MC01g02123	0	0
MvSl-1064-A2-R4_MC01g02124	27	24
MvSl-1064-A2-R4_MC01g02125	497	698
MvSl-1064-A2-R4_MC01g02126	1822	2053
MvSl-1064-A2-R4_MC01g02127	3970	3893
MvSl-1064-A2-R4_MC01g02128	12	10
MvSl-1064-A2-R4_MC01g02129	0	1
MvSl-1064-A2-R4_MC01g02130	3755	4555
MvSl-1064-A2-R4_MC01g02131	245	320
MvSl-1064-A2-R4_MC01g02132	1920	1889
MvSl-1064-A2-R4_MC01g02133	1370	1535
MvSl-1064-A2-R4_MC01g02134	1695	1627
MvSl-1064-A2-R4_MC01g02135	193	127
MvSl-1064-A2-R4_MC01g02136	2875	2889
MvSl-1064-A2-R4_MC01g02137	2481	3012
MvSl-1064-A2-R4_MC01g02138	238	242
MvSl-1064-A2-R4_MC01g02139	161	235
MvSl-1064-A2-R4_MC01g02140	7314	6002
MvSl-1064-A2-R4_MC01g02141	1148	1476
MvSl-1064-A2-R4_MC01g02142	8187	7715
MvSl-1064-A2-R4_MC01g02143	4490	4885
MvSl-1064-A2-R4_MC01g02144	1526	1470
MvSl-1064-A2-R4_MC01g02145	738	626
MvSl-1064-A2-R4_MC01g02146	540	614
MvSl-1064-A2-R4_MC01g02147	14	15
MvSl-1064-A2-R4_MC01g02148	1361	1463
MvSl-1064-A2-R4_MC01g02149	1156	1145
