gene	bPARts	youngold	dn	dnse	ds	dsse	dnds	start	end	logCPM	logFC.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE	haploid 
MvSl-1064-A1-R4_MC09-2g09038	Auto	Auto	0.00344	0.00345	0.00003	0.00019	114.2857143	294156	294515	5.149693912	-0.070797481	0.999948201	4.746642348	5.405902809	5.355458833	4.990416571	NON	A1
MvSl-1064-A1-R4_MC09-2g09457	Auto	Auto	0.00343	0.00344	0.00003	0.00022	113.9534884	1376037	1378579	4.952432626	0.312894267	0.796349266	5.104575936	5.096492754	4.803765131	4.773205829	NON	A1
MvSl-1064-A1-R4_MC07g07589	Auto	Auto	0.00343	0.00343	0.00003	0.0002	113.9534884	154396	155601	1.52650833	0.212567389	0.999948201	1.820910787	1.408352334	1.095444864	1.689386051	NON	A1
MvSl-1064-A1-R4_MC11g10164	Auto	Auto	0.00343	0.00243	0.00003	0.00002	113.9534884	44416	45640	6.857478844	0.052224318	0.999948201	6.990154197	6.768102216	6.927974999	6.727391091	NON	A1
MvSl-1064-A1-R4_MC02g03778	Auto	Auto	0.00229	0.00228	0.00002	0	113.9303483	1480894	1481817	6.83457328	0.067679193	0.999948201	6.860299225	6.875699427	6.88601481	6.70937764	NON	A1
MvSl-1064-A1-R4_MC02g03722	Auto	Auto	0.00342	0.00342	0.00003	0	113.6212625	1350627	1351379	7.994989753	0.309422636	0.823424142	7.924544013	8.329908483	7.988161837	7.657146872	NON	A1
MvSl-1064-A1-R4_MC01-2g03027	Auto	Auto	0.00342	0	0.00003	0	113.6212625	2723144	2725352	5.098299775	-0.178907764	0.999948201	5.106790927	4.89794867	5.144241471	5.223604488	NON	A1
MvSl-1064-A1-R4_MC12g11203	Auto	Auto	0.00342	0.00171	0.00003	0.00007	113.6212625	1148894	1152232	8.01792896	-0.14793481	0.999948201	8.127167081	7.729717905	8.105359064	8.074358968	NON	A1
MvSl-1064-A1-R4_MC05-2g06468	Auto	Auto	0.00228	0.00228	0.00002	0	113.4328358	306859	308436	8.141148346	0.267934263	0.944198069	7.979365742	8.509916899	8.253506658	7.694886301	NON	A1
MvSl-1064-A1-R4_MC06g06936	Auto	Auto	0.00228	0.00228	0.00002	0	113.4328358	232660	235326	7.602639317	0.188758156	0.999948201	7.642921728	7.743212796	7.770318551	7.180331617	NON	A1
