gene	youngold		dn	dnse	ds	dsse	dnds	start	end	logCPM	logFC.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE	haploid 
MvSl-1064-A1-R4_MC10-2g09998	Auto	Auto	0.00316	0.00225	0.01031	0.00736	0.306496	535889	536905	7.967262717	0.581874843	0.143491759	8.131524995	8.320475151	7.751018547	7.535855831	NON	A1
MvSl-1064-A1-R4_MC01-1g01823	Auto	Auto	0.00858	0.0026	0.00532	0.00267	1.61275	160702	162814	7.255096022	-0.53929225	0.150080663	7.028046745	6.889457984	7.325024214	7.654876768	NON	A1
MvSl-1064-A1-R4_MC09-2g09514	Auto	Auto	0.00443	0.00444	0.0124	0.01247	0.357255	1506939	1509535	6.632344034	0.579174928	0.158865845	6.580870884	7.14959588	6.426265969	6.193411724	NON	A1
MvSl-1064-A1-R4_MC11g10569	Auto	Auto	0.00484	0	0.00005	0	96.6068	1021641	1023240	0.519694425	1.210644812	0.162816014	0.921629069	1.064673057	-0.061645703	-0.204868116	NON	A1
MvSl-1064-A1-R4_MC12g11081	Auto	Auto	0.00001	0	0.01203	0	0.000831248	880124	882093	7.201732727	0.593694207	0.163895761	7.1709147	7.714691129	7.025068899	6.707501278	NON	A1
MvSl-1064-A1-R4_MC01-1g01956	Auto	Auto	0.00633	0.00448	0.00006	0	105.324	330192	331523	3.29896266	-0.86811059	0.164726757	2.995236734	2.579915051	3.312346911	3.942587647	NON	A1
MvSl-1064-A1-R4_A1g00245	Black	OldStrata	0.00912	0.00651	0.00009	0.00085	101.221	1108286	1110870	4.559171405	0.822696746	0.16700818	4.587624957	5.178248508	4.452946278	3.614410342	NON	A1
MvSl-1064-A1-R4_MC10-1g09716	Auto	Auto	0.0021	0.00211	0.0163	0.0095	0.128834	185651	187575	6.098342613	-0.516488834	0.169957796	5.818903126	5.815318891	6.493133445	6.152620001	NON	A1
MvSl-1064-A1-R4_MC02g04141	Auto	Auto	0.0036	0.00136	0.00935	0.00332	0.385023	2344582	2345481	6.905487197	0.471070647	0.169999558	7.127394145	7.116476079	6.754092738	6.540478654	NON	A1
MvSl-1064-A1-R4_MC15g12057	Auto	Auto	0.00577	7122.83921	0.00006	14691.21338	96.0067	114976	116198	3.590424392	0.755069621	0.171147844	3.834353668	4.000388908	3.279047906	3.053641519	NON	A1
MvSl-1064-A1-R4_MC03g04653	Auto	Auto	0.00416	0.00242	0.00564	0.00402	0.737576	973608	977163	6.378315417	0.559008589	0.175123123	6.344177709	6.870032888	6.209204261	5.921795916	NON	A1
MvSl-1064-A1-R4_A1g00009	bPAR	bPAR	0.00248	0.00248	0.01672	0.00969	0.148324	17742	19664	7.47181281	0.706049451	0.176287493	7.284361666	8.151441299	7.286584646	6.830414906	NON	A1
MvSl-1064-A1-R4_MC01-2g03063	Auto	Auto	0.00481	0.00279	0.00907	0.00647	0.530314	2815756	2817732	7.411367877	0.645060087	0.178396331	7.322026631	7.996230724	7.25353601	6.821189511	NON	A1
MvSl-1064-A1-R4_MC01-1g01921	Auto	Auto	0.00695	0.00495	0.01539	0.01101	0.451589	287915	288953	6.807735429	-0.469129762	0.179140054	6.58246341	6.525356642	6.890431558	7.144258214	NON	A1
MvSl-1064-A1-R4_MC09-2g09407	Auto	Auto	0.00432	0.0025	0.01302	0.00758	0.331795	1243206	1245836	6.35005534	-0.582124958	0.179140054	5.941861065	6.112692157	6.904147386	6.243478712	NON	A1
