gida1	a1GC0	a1GC3	gencomp	youngold	DE	haploid
MvSl-1064-A1-R4_MC10-2g10026	54.38	61.86	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC01-1g01952	57.24	72.64	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC04-1g05373	56.41	69.11	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g01137	54.92	57.21	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_A1g00165	55.58	65.51	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_MC09-2g09142	55.84	66.5	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC04-1g05441	55.54	61.3	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC05-1g06149	55.54	67.93	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC09-2g09340	57.72	70.83	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC04-1g05310	57.61	64.13	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC02g04171	55.25	63.64	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC05-3g06516	52.64	59.37	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC15g12029	52.38	78.57	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC01-2g03112	51.45	63.24	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g01164	55.86	59.22	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_MC10-1g09718	54.4	64.02	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC06g07298	56.77	70.8	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC04-1g05865	57.27	72.96	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC04-1g05729	58.55	58.55	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g00624	59.79	63.81	Purple	OldStrata	Up	A1
MvSl-1064-A1-R4_MC07g07981	57.69	59.62	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC07g08104	56.81	69.29	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g00913	57.82	66.4	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_MC02g03224	56.7	63.45	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC07g08138	53.96	68.32	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC03g04747	51.56	60.89	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC07g07855	57.86	73.89	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g00800	58.74	70.85	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_MC06g07419	55.09	61.45	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC04-1g05945	58.16	67.86	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g01253	52.64	61.75	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_MC12g11233	60.3	63.32	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g00292	54.74	66.06	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_A1g01359	51.17	57.68	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_MC05-2g06430	54.44	57.5	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g00920	60.16	61.7	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_A1g01384	59.96	65.91	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_MC13g11645	55.36	57.84	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g00078	54.55	62.34	bPAR	bPAR	Up	A1
MvSl-1064-A1-R4_MC05-3g06519	57.6	60.25	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g00516	55.69	63.11	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_MC01-1g02603	57.1	67.25	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC01-1g02022	53.41	51.14	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC06g06896	56.26	74.02	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC05-3g06707	54.27	72.32	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC05-3g06517	64.29	73.21	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC03g04642	58.42	79.24	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g00400	54.31	57.99	Red	ColorStrata	Up	A1
MvSl-1064-A1-R4_MC05-3g06518	59.8	67.86	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC07g08057	62	67.83	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC03g05159	64.82	77.55	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC02g03484	53.97	60	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC10-1g09850	60.01	67.68	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC10-1g09620	56.03	64.66	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC05-3g06514	58.93	64.83	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC10-1g09801	57.89	57.89	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC10-2g10098	57.28	75.77	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC12g10990	46.12	46.58	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g00270	55.56	67.19	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_MC05-3g06515	58.53	73.36	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC11g10594	58.82	70.81	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g01346	56.65	72.02	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_MC11g10198	49.74	55.56	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC01-2g03113	55.38	61.49	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g00154	53.7	57.01	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_MC05-3g06513	63.83	64.81	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC10-1g09733	54.7	58.56	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC03g05233	53.67	55.24	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC03g05154	56.35	71.49	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC12g10761	57.4	67.2	Auto	Auto	Up	A1
MvSl-1064-A1-R4_MC04-1g05987	57.26	58.97	Auto	Auto	Up	A1
MvSl-1064-A1-R4_A1g00644	60.04	58.61	Black	OldStrata	Up	A1
MvSl-1064-A1-R4_MC05-3g06511	50.56	60	Auto	Auto	Up	A1
