target_id	est_counts	est_counts	tpm	tpm
MvSl-1064-A1-R4_A1g00166	3091.91	2313.53	5.58268	4.13539
MvSl-1064-A1-R4_A1g00167	52.1004	81.3079	0.318963	0.492073
MvSl-1064-A1-R4_A1g00168	1279.29	1003.34	6.28298	4.87326
MvSl-1064-A1-R4_A1g00169	64.0453	131.475	1.05565	2.12668
MvSl-1064-A1-R4_A1g00170	669.042	857.085	6.46553	8.17821
MvSl-1064-A1-R4_A1g00171	13.0534	23.245	2.1729	3.6668
MvSl-1064-A1-R4_A1g00172	239.331	242.509	1.23409	1.23656
MvSl-1064-A1-R4_A1g00173	53353	50768	4636.88	4101.23
MvSl-1064-A1-R4_A1g00174	1.86E+06	1.83E+06	483476	477999
MvSl-1064-A1-R4_A1g00175	2587	3136	8.84405	10.6077
MvSl-1064-A1-R4_A1g00176	183.744	243.415	3.17368	4.12059
MvSl-1064-A1-R4_A1g00177	9	9	2.36848	2.39173
MvSl-1064-A1-R4_A1g00178	2356.33	2409.54	5.2939	5.35841
MvSl-1064-A1-R4_A1g00179	865.358	720.932	1.51761	1.25168
MvSl-1064-A1-R4_A1g00180	605.418	442.424	1.50034	1.08518
MvSl-1064-A1-R4_A1g00181	50.898	24.0294	0.170999	0.0798794
MvSl-1064-A1-R4_A1g00182	79.592	125.206	0.397669	0.618639
MvSl-1064-A1-R4_A1g00183	209.458	251.955	1.6584	1.97085
MvSl-1064-A1-R4_A1g00184	1293	1366	50.9974	51.1442
MvSl-1064-A1-R4_A1g00185	5402	5797	12.8506	13.6494
MvSl-1064-A1-R4_A1g00186	3348	3401	18.4578	18.5391
MvSl-1064-A1-R4_A1g00187	173.766	153.447	1.16899	1.02027
MvSl-1064-A1-R4_A1g00188	24.6428	37.5042	10.6573	16.083
MvSl-1064-A1-R4_A1g00189	32043.3	36836.6	56.3135	64.0896
MvSl-1064-A1-R4_A1g00190	328	438	3.03315	3.9998
MvSl-1064-A1-R4_A1g00191	1527.78	1665.56	6.81908	7.35301
MvSl-1064-A1-R4_A1g00192	2292.09	2107.34	27.6402	25.0716
MvSl-1064-A1-R4_A1g00193	8282.96	9196.52	36.1413	39.6913
MvSl-1064-A1-R4_A1g00194	250.391	209.005	1.3105	1.08169
MvSl-1064-A1-R4_A1g00195	97.4777	56.3034	1.9102	1.07651
MvSl-1064-A1-R4_A1g00196	2.7287	1.1583	0.523214	0.214788
MvSl-1064-A1-R4_A1g00197	175.617	148.025	0.84128	0.701293
MvSl-1064-A1-R4_A1g00198	285.472	209.678	23.762	16.163
MvSl-1064-A1-R4_A1g00199	1	1	0.191745	0.185433
MvSl-1064-A1-R4_A1g00200	82.6187	61.7477	0.131725	0.0974688
MvSl-1064-A1-R4_A1g00201	1135.35	1930.21	13.5352	22.7035
MvSl-1064-A1-R4_A1g00202	0	0	0	0
MvSl-1064-A1-R4_A1g00203	16.8202	2.87E-05	0.0367344	6.20E-08
MvSl-1064-A1-R4_A1g00204	0	0	0	0
MvSl-1064-A1-R4_A1g00205	19.7571	45.6589	0.0431483	0.0987042
MvSl-1064-A1-R4_A1g00206	7.73918	1.31664	0.0125131	0.00210761
MvSl-1064-A1-R4_A1g00207	0	1	0	0.261395
MvSl-1064-A1-R4_A1g00208	414.656	373.578	2.27108	2.0231
MvSl-1064-A1-R4_A1g00209	1523.19	1448.81	5.93452	5.58425
MvSl-1064-A1-R4_A1g00210	737.727	790	7.28922	7.70664
MvSl-1064-A1-R4_A1g00211	9180.05	9448	27.7954	28.3084
MvSl-1064-A1-R4_A1g00212	172.496	68.9021	0.922429	0.364331
MvSl-1064-A1-R4_A1g00213	28.749	25.3354	0.322086	0.280115
MvSl-1064-A1-R4_A1g00214	0	1.39289	0	0.00682124
MvSl-1064-A1-R4_A1g00215	195.897	237.164	65.8467	81.5446
MvSl-1064-A1-R4_A1g00216	35.6129	28.9671	0.398452	0.319842
MvSl-1064-A1-R4_A1g00217	569.491	395.281	0.798723	0.548908
MvSl-1064-A1-R4_A1g00218	64.2845	62.4034	0.453235	0.434799
MvSl-1064-A1-R4_A1g00219	609.726	519.024	4.00214	3.36728
MvSl-1064-A1-R4_A1g00220	45.8839	33.8928	0.0823141	0.0601933
MvSl-1064-A1-R4_A1g00221	29.152	19.1942	0.0651103	0.042434
MvSl-1064-A1-R4_A1g00222	138.446	141.411	0.5557	0.561499
MvSl-1064-A1-R4_A1g00223	32.8416	52.9749	0.308126	0.490793
MvSl-1064-A1-R4_A1g00224	23.8754	6.41136	3.09303	0.784146
MvSl-1064-A1-R4_A1g00225	0.529958	0	0.0288749	0
MvSl-1064-A1-R4_A1g00226	1.05079	1.05769	0.016376	0.0162021
MvSl-1064-A1-R4_A1g00227	257.537	163.625	2.0068	1.2597
MvSl-1064-A1-R4_A1g00228	637.671	454.079	1.04947	0.739868
MvSl-1064-A1-R4_A1g00229	0.529958	0	0.0288749	0
MvSl-1064-A1-R4_A1g00230	485	374	4.86682	3.70514
MvSl-1064-A1-R4_A1g00231	13.6945	10.6961	5.60979	4.39237
MvSl-1064-A1-R4_A1g00232	27.1494	25.1236	3.77397	3.31444
MvSl-1064-A1-R4_A1g00233	7.08146	12.2429	1.1325	1.83315
MvSl-1064-A1-R4_A1g00234	93.6196	140.81	1.67292	2.46305
MvSl-1064-A1-R4_A1g00235	2812.93	3888.98	7.15748	9.79391
MvSl-1064-A1-R4_A1g00236	13301.3	14866	40.9703	45.3117
MvSl-1064-A1-R4_A1g00237	303.639	254.357	1.62372	1.34495
MvSl-1064-A1-R4_A1g00238	5.04159	16.8332	1.96428	6.40468
MvSl-1064-A1-R4_A1g00239	672.591	1304.07	8.06428	15.4263
MvSl-1064-A1-R4_A1g00240	580.891	540.086	3.18572	2.92864
MvSl-1064-A1-R4_A1g00241	2778	2856	32.7911	33.2625
MvSl-1064-A1-R4_A1g00242	762	711	10.9552	10.0661
MvSl-1064-A1-R4_A1g00243	53	44	2.40475	1.88707
MvSl-1064-A1-R4_A1g00244	214	174	1.2931	1.03938
MvSl-1064-A1-R4_A1g00245	453	706	37.7066	54.4219
MvSl-1064-A1-R4_A1g00246	1112	1086	8.87151	8.55955
MvSl-1064-A1-R4_A1g00247	223.419	118.312	0.954935	0.500207
MvSl-1064-A1-R4_A1g00248	4830.12	4559.48	3.4826	3.2557
MvSl-1064-A1-R4_A1g00249	468.462	374.633	2.82457	2.23304
MvSl-1064-A1-R4_A1g00250	150.312	113.397	1.96189	1.45899
MvSl-1064-A1-R4_A1g00251	316.564	223.823	0.704034	0.49272
MvSl-1064-A1-R4_A1g00252	122.474	158.719	0.808973	1.03621
MvSl-1064-A1-R4_A1g00253	451.021	474.075	1.46755	1.52636
MvSl-1064-A1-R4_A1g00254	912	745	3.62757	2.93148
MvSl-1064-A1-R4_A1g00255	182	127.3	15.3682	9.98355
MvSl-1064-A1-R4_A1g00256	358.475	261.136	3.2086	2.3084
MvSl-1064-A1-R4_A1g00257	1259.87	1375.21	23.2246	24.8056
MvSl-1064-A1-R4_A1g00258	0	0	0	0
MvSl-1064-A1-R4_A1g00259	0	4.92939	0	0.252525
MvSl-1064-A1-R4_A1g00260	559.241	419.453	0.640246	0.475502
MvSl-1064-A1-R4_A1g00261	0	0	0	0
MvSl-1064-A1-R4_A1g00262	17.8824	21	1.60201	1.74723
MvSl-1064-A1-R4_A1g00263	1419.99	1284.01	1.47807	1.32347
MvSl-1064-A1-R4_A1g00264	9	10	0.689839	0.712692
MvSl-1064-A1-R4_A1g00265	62.4295	99.1154	11.9705	18.3793
MvSl-1064-A1-R4_A1g00266	814.449	892.439	10.6469	11.499
MvSl-1064-A1-R4_A1g00267	1	1	0.221973	0.221983
MvSl-1064-A1-R4_A1g00268	0	2	0	0.257779
MvSl-1064-A1-R4_A1g00269	7542	7735	19.0286	19.3153
MvSl-1064-A1-R4_A1g00270	1194	1223	6.96337	7.05151
MvSl-1064-A1-R4_A1g00271	44.6777	50.4577	0.557235	0.620801
MvSl-1064-A1-R4_A1g00272	6.35464	6.34343	1.41056	1.40813
MvSl-1064-A1-R4_A1g00273	24.3827	16.2957	0.156846	0.103614
MvSl-1064-A1-R4_A1g00274	7.47096	6.09116	0.0508322	0.0409601
MvSl-1064-A1-R4_A1g00275	51.1634	121.485	0.0921012	0.216499
MvSl-1064-A1-R4_A1g00276	4.44933	6	0.448178	0.563743
MvSl-1064-A1-R4_A1g00277	198	225	1.4409	1.61802
MvSl-1064-A1-R4_A1g00278	1	1.03544	0.0655229	0.063229
MvSl-1064-A1-R4_A1g00279	154.622	158.892	6.54403	6.3656
MvSl-1064-A1-R4_A1g00280	3999	4259	7.10401	7.49013
MvSl-1064-A1-R4_A1g00281	1662	1498	3.2078	2.86217
MvSl-1064-A1-R4_A1g00282	29.2357	23.281	4.55897	3.39192
MvSl-1064-A1-R4_A1g00283	96.4561	48.9981	0.159594	0.0802625
MvSl-1064-A1-R4_A1g00284	0	0	0	0
MvSl-1064-A1-R4_A1g00285	19.3728	20.2999	0.13322	0.137962
MvSl-1064-A1-R4_A1g00286	0	0	0	0
MvSl-1064-A1-R4_A1g00287	120.009	99.786	0.281721	0.231858
MvSl-1064-A1-R4_A1g00288	3.69948	0.562251	0.329379	0.0465167
MvSl-1064-A1-R4_A1g00289	113.373	90.6171	0.811637	0.641078
