target_id	est_counts	est_counts	mean_oldcounts	tpm	tpm	target_id	est_counts	est_counts	mean_newcounts	tpm	tpm	ratio_a2_oldnew
MvSl-1064-A2-R4_MC12g11544	1.85661	0	0.928305	0	0.00576838	MvSl-1064-A2-R4_MC12g11544	0	0	0	0	0	9283050
MvSl-1064-A2-R4_MC05g06606	0	1.58247	0.791235	0.313922	0	MvSl-1064-A2-R4_MC05g06606	0	0	0	0	0	7912350
MvSl-1064-A2-R4_MC07g08005	1.47164	0	0.73582	0	0.310663	MvSl-1064-A2-R4_MC07g08005	0	0	0	0	0	7358200
MvSl-1064-A2-R4_MC05g06557	0	1.44731	0.723655	0.0185097	0	MvSl-1064-A2-R4_MC05g06557	0	0	0	0	0	7236550
MvSl-1064-A2-R4_MC02g04547	1.30534	0	0.65267	0	0.555864	MvSl-1064-A2-R4_MC02g04547	0	0	0	0	0	6526700
MvSl-1064-A2-R4_MC01g02119	0.694238	0.529011	0.6116245	0.138701	0.174159	MvSl-1064-A2-R4_MC01g02119	0	0	0	0	0	6116245
MvSl-1064-A2-R4_MC04-1g06111	0.694238	0.529011	0.6116245	0.138701	0.174159	MvSl-1064-A2-R4_MC04-1g06111	0	0	0	0	0	6116245
MvSl-1064-A2-R4_MC01g03181	0	1.19389	0.596945	0.0190905	0	MvSl-1064-A2-R4_MC01g03181	0	0	0	0	0	5969450
MvSl-1064-A2-R4_C22g01831	0	1.15956	0.57978	0.00923837	0	MvSl-1064-A2-R4_C22g01831	0	0	0	0	0	5797800
MvSl-1064-A2-R4_MC03g04845	1.13994	0	0.56997	0	0.344131	MvSl-1064-A2-R4_MC03g04845	0	0	0	0	0	5699700
MvSl-1064-A2-R4_MC16g12451	1.12043	0	0.560215	0	0.0351092	MvSl-1064-A2-R4_MC16g12451	0	0	0	0	0	5602150
MvSl-1064-A2-R4_MC03g05314	1.09652	0	0.54826	0	0.0807862	MvSl-1064-A2-R4_MC03g05314	0	0	0	0	0	5482600
MvSl-1064-A2-R4_MC16g12459	0	1.08689	0.543445	0.0139002	0	MvSl-1064-A2-R4_MC16g12459	0	0	0	0	0	5434450
MvSl-1064-A2-R4_A2g01726	0	1.03555	0.517775	0.0930814	0	MvSl-1064-A2-R4_A2g01726	0	0	0	0	0	5177750
