gida1	part8	youngold	genea10k	up5k	upk10	upk15	upk20	down5k	down10k	down15k	down20k	logCPM	logFC.A1.A2	abs	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE	DE2	gida2	genea20k	a2up5k	a2upk10	a2upk15	a2upk20	a2down5k	a2down10k	a2down15k	a2down20k	genediff	upk5diff	upk10diff	upk15diff	upk20diff	down5kdiff	down10kdiff	down15kdiff	down20kdiff
MvSl-1064-A1-R4_MC07g07786	Auto	Auto	0	0	2	0	0	0	0	0	0	7.083881569	0.682329542	0.682329542	0.006438524	0.082523155	7.598298252	7.133638269	6.325544301	7.001655983	NON	NON	MvSl-1064-A2-R4_MC07g08051	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC12g10771	Auto	Auto	0	0	0	0	0	0	0	2	1	7.22561138	-0.531746218	0.531746218	0.006456394	0.082628314	6.995657804	6.873325664	7.472286194	7.462070984	NON	NON	MvSl-1064-A2-R4_MC12g11034	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC03g04773	Auto	Auto	0	0	0	0	0	0	0	0	0	3.796361967	0.838048118	0.838048118	0.006504089	0.083114287	4.394932573	3.855219365	3.183238716	3.441936028	NON	NON	MvSl-1064-A2-R4_MC03g05051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC03g04701	Auto	Auto	0	0	0	0	0	0	0	2	0	2.707019103	0.981024476	0.981024476	0.006585317	0.083652115	3.365900263	2.783665327	1.973684198	2.286831375	NON	NON	MvSl-1064-A2-R4_MC03g04979	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC04-1g05815	Auto	Auto	0	0	0	0	0	0	0	0	0	5.20921439	0.709975861	0.709975861	0.006837425	0.086341424	5.671161567	5.349261682	4.462871657	5.091852163	NON	NON	MvSl-1064-A2-R4_MC04-1g06091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC10-2g10028	Auto	Auto	0	0	0	0	0	0	0	0	0	4.178691797	0.734093386	0.734093386	0.006922292	0.087155637	4.461437934	4.529519803	3.598496464	3.916205701	NON	NON	MvSl-1064-A2-R4_MC10g10292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC05-2g06454	Auto	Auto	0	0	1	0	0	0	0	2	0	7.672216527	0.550124514	0.550124514	0.007099347	0.088861378	7.897233935	7.944280313	7.319366163	7.421041567	NON	NON	MvSl-1064-A2-R4_MC05g06728	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC01-1g01985	Auto	Auto	0	1	2	0	0	0	0	0	1	6.300570594	-0.563748337	0.563748337	0.007372514	0.091743259	5.759400964	6.192516102	6.642703849	6.461996466	NON	NON	MvSl-1064-A2-R4_MC01g02266	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC14g11845	Auto	Auto	0	0	2	0	0	0	0	0	0	4.343831701	-0.733860974	0.733860974	0.00748073	0.09295459	3.731946741	4.112654554	4.807640407	4.506697018	NON	NON	MvSl-1064-A2-R4_MC14g12106	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC10-2g10025	Auto	Auto	0	0	0	0	0	0	0	0	0	6.254751497	0.502466711	0.502466711	0.007515718	0.09325381	6.530631562	6.434933717	5.955962636	6.007109006	NON	NON	MvSl-1064-A2-R4_MC10g10289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
