genea1	dNa1	dNa1se	dSa1	dSa1se	dNdSa1	chr	chrom	DE	a1expmean	haploid
MvSl-1064-A1-R4_MC01-1g01862	0.00637	0.0045	0.00623	0.00622	1.02246	aAutosome	aAutosome	NON	7.794	A1
MvSl-1064-A1-R4_MC01-1g01865	0.00201	0.002	0.00585	0.00584	0.343584	aAutosome	aAutosome	NON	4.95406	A1
MvSl-1064-A1-R4_MC01-1g01869	0.0056	0.00282	0.01114	0.00652	0.502688	aAutosome	aAutosome	NON	5.97067	A1
MvSl-1064-A1-R4_MC01-1g01871	0.00859	0.00611	0.0098	0.00985	0.876522	aAutosome	aAutosome	NON	6.41165	A1
MvSl-1064-A1-R4_MC01-1g01873	0.00459	0.00205	0.00875	0.00438	0.524565	aAutosome	aAutosome	NON	6.94147	A1
MvSl-1064-A1-R4_MC01-1g01874	0.005	0.00268	0.01312	0.00746	0.381095	aAutosome	aAutosome	NON	6.61983	A1
MvSl-1064-A1-R4_MC01-1g01875	0	0	0.0045	0.00033	0	aAutosome	aAutosome	NON	7.79358	A1
MvSl-1064-A1-R4_MC01-1g01876	0.00305	0.00307	0.01908	0.0136	0.159852	aAutosome	aAutosome	NON	8.74138	A1
MvSl-1064-A1-R4_MC01-1g01879	0.00622	0.00367	0.00716	0.00401	0.868703	aAutosome	aAutosome	NON	4.08523	A1
MvSl-1064-A1-R4_MC01-1g01881	0.00456	0.00196	0.00668	0.00269	0.682625	aAutosome	aAutosome	NON	7.09469	A1
MvSl-1064-A1-R4_MC01-1g01882	0.00265	0.00119	0.00878	0.00361	0.301819	aAutosome	aAutosome	NON	6.04934	A1
MvSl-1064-A1-R4_MC01-1g01883	0.00279	0.00279	0.00003	0.00016	92.691	aAutosome	aAutosome	NON	4.48683	A1
MvSl-1064-A1-R4_MC01-1g01884	0.00832	0.00372	0.00812	0.00569	1.02462	aAutosome	aAutosome	NON	5.17536	A1
MvSl-1064-A1-R4_MC01-1g01887	0.00555	0.00177	0.00956	0.00341	0.580538	aAutosome	aAutosome	NON	9.51328	A1
MvSl-1064-A1-R4_MC01-1g01889	0.00632	0.00448	0.0058	0.00582	1.08964	aAutosome	aAutosome	NON	6.838	A1
MvSl-1064-A1-R4_MC01-1g01893	0.00162	0.00094	0.00948	0.00336	0.170884	aAutosome	aAutosome	NON	6.41595	A1
MvSl-1064-A1-R4_MC01-1g01895	0.0032	0.00319	0.02622	0.01523	0.122044	aAutosome	aAutosome	NON	6.12717	A1
MvSl-1064-A1-R4_MC01-1g01896	0.00255	0.00115	0.00321	0.00187	0.794368	aAutosome	aAutosome	NON	5.21357	A1
MvSl-1064-A1-R4_MC01-1g01900	0.00804	0.00404	0.02484	0.01125	0.32367	aAutosome	aAutosome	NON	4.89546	A1
MvSl-1064-A1-R4_MC01-1g01903	0.00612	0.00443	0.02636	0.01918	0.232169	aAutosome	aAutosome	NON	-0.360923	A1
MvSl-1064-A1-R4_MC01-1g01905	0.00474	0.00212	0.00662	0.00383	0.716001	aAutosome	aAutosome	NON	6.90929	A1
MvSl-1064-A1-R4_MC01-1g01906	0	0	0.00001	0	0	aAutosome	aAutosome	NON	8.09621	A1
MvSl-1064-A1-R4_MC01-1g01912	0.00528	0.00375	0.00659	0.00661	0.801202	aAutosome	aAutosome	NON	5.88284	A1
