gida1	a1prot	a1cds	part8	youngold	intron_nr_a1	intron_nr_byprota1	intron_nr_byprota1_transf	intron_mean_a1	intron_total_a1	intron_total_byprota1	intron_total_byprota1_trans	DE	DE2	haploid
MvSl-1064-A1-R4_A1g00109	238	717	Green	ColorStrata	2	0.008403361	0.09166985	71	142	0.596638655	0.772423883	NON	NON	A1
MvSl-1064-A1-R4_A1g00110	856	2571	Green	ColorStrata	2	0.002336449	0.048336824	200.5	401	0.468457944	0.684439876	NON	NON	A1
MvSl-1064-A1-R4_A1g00113	899	2700	Green	ColorStrata	2	0.002224694	0.047166663	84	168	0.186874305	0.432289608	NON	NON	A1
MvSl-1064-A1-R4_A1g00367	543	1632	Red	ColorStrata	4	0.007366483	0.085828215	75.25	301	0.554327808	0.744531939	NON	NON	A1
MvSl-1064-A1-R4_A1g00368	400	1203	Red	ColorStrata	3	0.0075	0.08660254	85.6667	257	0.6425	0.801560977	NON	NON	A1
MvSl-1064-A1-R4_A1g00369	649	1950	Red	ColorStrata	5	0.00770416	0.087773346	75.8	379	0.583975347	0.764182797	NON	NON	A1
MvSl-1064-A1-R4_A1g00370	678	2037	Red	ColorStrata	5	0.007374631	0.085875673	64.8	324	0.477876106	0.691285835	NON	NON	A1
MvSl-1064-A1-R4_A1g00371	1141	3426	Red	ColorStrata	6	0.005258545	0.072515827	88.6667	548	0.480280456	0.693022695	NON	NON	A1
MvSl-1064-A1-R4_A1g00372	877	2634	Red	ColorStrata	5	0.005701254	0.075506651	79	395	0.450399088	0.67111779	NON	NON	A1
MvSl-1064-A1-R4_A1g00373	354	1065	Red	ColorStrata	3	0.008474576	0.092057462	100	300	0.847457627	0.920574618	NON	NON	A1
MvSl-1064-A1-R4_A1g00374	703	2112	Red	ColorStrata	4	0.0056899	0.075431429	71.5	286	0.406827881	0.637830605	NON	NON	A1
MvSl-1064-A1-R4_A1g00375	133	402	Red	ColorStrata	1	0.007518797	0.086710997	75	75	0.563909774	0.750939261	NON	NON	A1
MvSl-1064-A1-R4_A1g01392	1213	3642	Black	OldStrata	4	0.003297609	0.057424814	72.5	308	0.253915911	0.503900696	NON	NON	A1
MvSl-1064-A1-R4_A1g01393	401	1206	Black	OldStrata	2	0.004987531	0.070622455	81	232	0.578553616	0.76062712	NON	NON	A1
MvSl-1064-A1-R4_A1g00209	621	1866	Black	OldStrata	1	0.001610306	0.040128618	61	61	0.098228663	0.313414523	NON	NON	A1
MvSl-1064-A1-R4_A1g01415	364	1095	Black	OldStrata	10	0.027472527	0.165748386	107.8	1078	2.961538462	1.720912102	NON	NON	A1
MvSl-1064-A1-R4_A1g00290	1078	3237	Black	OldStrata	4	0.003710575	0.06091449	86.75	345	0.320037106	0.565718221	NON	NON	A1
MvSl-1064-A1-R4_A1g00772	343	1032	Blue	OldStrata	3	0.008746356	0.093521953	65.6667	248	0.72303207	0.850312925	NON	NON	A1
MvSl-1064-A1-R4_A1g01388	748	2247	Black	OldStrata	2	0.002673797	0.051708769	64	131	0.17513369	0.418489773	NON	NON	A1
MvSl-1064-A1-R4_A1g01252	321	966	Orange	ColorStrata	4	0.012461059	0.111629114	130.25	521	1.62305296	1.273990957	NON	NON	A1
MvSl-1064-A1-R4_A1g01253	182	549	Black	OldStrata	4	0.021978022	0.148249863	105	420	2.307692308	1.519109051	Down	DE	A1
MvSl-1064-A1-R4_A1g00800	445	1338	Black	OldStrata	9	0.020224719	0.142213639	96.1111	819	1.840449438	1.356631652	NON	NON	A1
MvSl-1064-A1-R4_A1g00801	348	1047	Blue	OldStrata	2	0.005747126	0.075809804	76	152	0.436781609	0.660894552	NON	NON	A1
MvSl-1064-A1-R4_A1g00591	443	1332	Black	OldStrata	1	0.002257336	0.047511434	0	0	0	0	Down	DE	A1
MvSl-1064-A1-R4_A1g00593	1188	3567	Blue	OldStrata	6	0.005050505	0.071066905	89.6667	541	0.455387205	0.674823833	NON	NON	A1
MvSl-1064-A1-R4_A1g00726	261	786	Black	OldStrata	6	0.022988506	0.151619609	111	689	2.639846743	1.624760519	NON	NON	A1
MvSl-1064-A1-R4_A1g00120	557	1674	Black	OldStrata	7	0.012567325	0.112104081	66	567	1.017953321	1.008936728	NON	NON	A1
MvSl-1064-A1-R4_A1g00246	344	1035	Black	OldStrata	2	0.005813953	0.076249285	173	346	1.005813953	1.002902764	Up	DE	A1
MvSl-1064-A1-R4_A1g00165	889	2670	Black	OldStrata	6	0.006749156	0.082153249	82.8333	497	0.559055118	0.747699885	Down	DE	A1
MvSl-1064-A1-R4_A1g00481	182	549	Black	OldStrata	2	0.010989011	0.104828484	49.5	99	0.543956044	0.737533758	Up	DE	A1
MvSl-1064-A1-R4_A1g00718	460	1383	Black	OldStrata	2	0.004347826	0.065938047	71.5	143	0.310869565	0.557556782	Up	DE	A1
MvSl-1064-A1-R4_A1g00254	738	2217	Black	OldStrata	3	0.004065041	0.063757671	73	219	0.296747967	0.544745782	Down	DE	A1
MvSl-1064-A1-R4_A1g00359	340	1023	Black	OldStrata	8	0.023529412	0.153392998	125.375	1002	2.947058824	1.716699981	NON	NON	A1
MvSl-1064-A1-R4_A1g00281	1324	3975	Black	OldStrata	8	0.006042296	0.077732207	77	553	0.417673716	0.646276811	NON	NON	A1
MvSl-1064-A1-R4_A1g00280	1470	4413	Black	OldStrata	9	0.006122449	0.07824608	70	630	0.428571429	0.654653671	NON	NON	A1
MvSl-1064-A1-R4_A1g00168	534	1605	Black	OldStrata	4	0.007490637	0.086548464	107.75	431	0.807116105	0.898396407	Down	DE	A1
MvSl-1064-A1-R4_A1g00648	502	1509	Black	OldStrata	3	0.005976096	0.077305211	109.667	329	0.655378486	0.809554499	Up	DE	A1
MvSl-1064-A1-R4_A1g00647	286	861	Black	OldStrata	6	0.020979021	0.144841365	84.3333	442	1.545454545	1.243163121	NON	NON	A1
MvSl-1064-A1-R4_A1g00778	827	2484	Black	OldStrata	7	0.008464329	0.092001787	77.1429	540	0.652962515	0.80806096	NON	NON	A1
MvSl-1064-A1-R4_A1g00779	1011	3036	Black	OldStrata	10	0.009891197	0.099454496	96	960	0.949554896	0.974451074	Up	DE	A1
MvSl-1064-A1-R4_A1g01282	224	675	Black	OldStrata	3	0.013392857	0.115727512	114.333	343	1.53125	1.237436867	NON	NON	A1
MvSl-1064-A1-R4_A1g00869	609	1830	Black	OldStrata	10	0.016420361	0.128141957	84.8	840	1.379310345	1.174440439	NON	NON	A1
MvSl-1064-A1-R4_A1g00405	548	1647	Red	ColorStrata	5	0.009124088	0.09552009	80.2	401	0.731751825	0.855424938	NON	NON	A1
MvSl-1064-A1-R4_A1g00404	266	801	Red	ColorStrata	5	0.018796992	0.137102124	70.4	352	1.323308271	1.150351368	NON	NON	A1
MvSl-1064-A1-R4_A1g00403	1342	4029	Red	ColorStrata	7	0.005216095	0.072222541	66.7143	467	0.347988077	0.589905143	NON	NON	A1
MvSl-1064-A1-R4_A1g00402	1560	4683	Red	ColorStrata	3	0.001923077	0.043852901	82.3333	247	0.158333333	0.397911213	NON	NON	A1
